Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",13,6,0,32,32,192,9.9375,1.828125,0.9375,0.29191321499013806,0.7128,0.41221374,0.0990099,95.96198830409357,3.609375,3.21,3.150873215993246,3.5361715966214744,5.944300174713135,"Zack Wheeler",10310,554430
"Spencer Strider","ATL",20,5,0,32,32,186.2,13.548189552070072,2.796423466263574,1.06071234927239,0.3155216284987277,0.7025,0.34057971,0.121546961,97.37582417582418,3.8571358155359636,3.09,2.853254901874916,2.9242737606487665,5.518599987030029,"Spencer Strider",27498,675911
"Kevin Gausman","TOR",12,9,0,31,31,185,11.52972972972973,2.675675675675676,0.9243243243243243,0.3207126948775056,0.7665,0.426406926,0.107344632,94.64551282051282,3.1621621621621623,3.87,2.9685533961734256,3.215274834955061,5.295440196990967,"Kevin Gausman",14107,592332
"Sonny Gray","MIN",8,8,0,32,32,184,8.951086956521738,2.6902173913043477,0.391304347826087,0.2948207171314741,0.7677,0.473267326,0.051948051,92.84129464285714,2.7880434782608696,3.69,2.8256920565729557,3.6442591712526653,5.284530162811279,"Sonny Gray",12768,543243
"Gerrit Cole","NYY",15,4,0,33,33,209,9.559808612440191,2.0669856459330145,0.861244019138756,0.26145038167938933,0.8043,0.396296296,0.094339622,96.83391003460207,2.626794258373206,3.48,3.1641307917508215,3.5971969077461647,5.226980209350586,"Gerrit Cole",13125,543037
"Zac Gallen","ARI",17,9,0,34,34,210,9.428571428571429,2.0142857142857142,0.9428571428571428,0.3007246376811594,0.7314,0.417832167,0.109452736,93.51571164510166,3.4714285714285715,4.18,3.2645636921837218,3.485153864395051,5.1658501625061035,"Zac Gallen",19291,668678
"Justin Steele","CHC",16,5,0,30,30,173.1,9.138479505043817,1.869234444213508,0.7269245060830309,0.3167701863354037,0.73,0.493877551,0.098591549,,3.063467561349916,3.5,3.0185009560773386,3.3229791360742857,4.872099876403809,"Justin Steele",17312,657006
"Logan Webb","SFG",11,13,0,33,33,216,8.083333333333334,1.2916666666666667,0.8333333333333334,0.3016666666666667,0.7368,0.621138211,0.153846153,92.66991323285399,3.25,3.66,3.1624472900673197,2.9538171007677363,4.854579925537109,"Logan Webb",17995,657277
"Zach Eflin","TBR",16,8,0,31,31,177.2,9.422120764352217,1.2157575179809312,0.9624747017349038,0.2951167728237792,0.7323,0.497925311,0.11728395,93.10000253652598,3.495302864195177,3.11,3.0073855734415744,3.1247015159487574,4.799570083618164,"Zach Eflin",13774,621107
"Pablo López","MIN",11,8,0,32,32,194,10.855670103092784,2.2268041237113403,1.1134020618556701,0.31275720164609055,0.7623,0.452380952,0.13114754,94.87547709923665,3.6649484536082473,3,3.3323594702887784,3.283718149010668,4.470280170440674,"Pablo Lopez",17085,641154
"George Kirby","SEA",13,10,0,31,31,190.2,8.118866607984456,0.8968515439052598,1.0384596824166166,0.29182156133828996,0.7506,0.441651705,0.106796116,96.18571428571428,3.351392611435444,3.82,3.3442005624633593,3.6305149147823403,4.377769947052002,"George Kirby",25436,669923
"Framber Valdez","HOU",12,11,0,31,31,198,9.090909090909092,2.590909090909091,0.8636363636363636,0.28160919540229884,0.7122,0.542056074,0.139705882,95.66156877790179,3.4545454545454546,4.33,3.4974641250841545,3.3856257241181655,4.341350078582764,"Framber Valdez",17295,664285
"Jordan Montgomery","- - -",10,11,0,32,32,188.2,7.918726420828211,2.289752218070808,0.858657081776553,0.29390018484288355,0.7556,0.432432432,0.093264248,93.38051694399351,3.1961124710571696,4.04,3.562460319345345,4.0135050019011596,4.297829866409302,"Jordan Montgomery",16511,656756
"Blake Snell","SDP",14,9,0,32,32,180,11.7,4.95,0.75,0.2557544757033248,0.8673,0.444444444,0.108695652,95.68591823491239,2.25,3.77,3.4383732159932454,3.6226104517777764,4.099480152130127,"Blake Snell",13543,605483
"Aaron Nola","PHI",12,9,0,32,32,193.2,9.387246821089017,2.0912183512327016,1.4870886053210324,0.28460038986354774,0.6641,0.426199261,0.15609756,92.87472647702407,4.461265815963097,3.77,4.029565197931284,3.6316520314771035,3.880150079727173,"Aaron Nola",16149,605400
"Kyle Bradish","BAL",12,7,0,30,30,168.2,8.96440876548715,2.3478213433418724,0.7470340637905958,0.2700228832951945,0.7908,0.492204899,0.102189781,,2.8280575272072555,3.82,3.266897566212144,3.5307864571035563,3.7822799682617188,"Kyle Bradish",24586,680694
"Jesús Luzardo","MIA",10,10,0,32,32,178.2,10.477591955877815,2.7705171037176917,1.1082068414870767,0.3111111111111111,0.7492,0.401709401,0.115183246,96.79129734085414,3.5764857157082925,3.96,3.551681107906453,3.7184181425037766,3.7081398963928223,"Jesus Luzardo",19959,666200
"Dylan Cease","CHW",7,9,0,33,33,177,10.88135593220339,4.016949152542373,0.9661016949152542,0.3304535637149028,0.6941,0.359832635,0.101604278,95.77556818181819,4.576271186440678,4.07,3.723966436332228,4.075248895863355,3.690190076828003,"Dylan Cease",18525,656302
"Corbin Burnes","MIL",10,8,0,32,32,193.2,9.294303783256453,3.0671202484746294,1.0223734161582099,0.24385245901639344,0.7492,0.440944881,0.127906976,95.49455430772569,3.392420880888605,3.4,3.812698109655299,3.8043162049209522,3.434429883956909,"Corbin Burnes",19361,669203
"Luis Castillo","SEA",14,9,0,33,33,197,10.00507614213198,2.5583756345177666,1.2791878172588833,0.26720647773279355,0.7701,0.389210019,0.127272727,96.40323715693174,3.33502538071066,3.79,3.8083393750456995,3.8070076063804827,3.4306700229644775,"Luis Castillo",15689,622491
"Kodai Senga","NYM",12,7,0,29,29,166.1,10.929882112311217,4.166341201227543,0.9198415639073796,0.27735368956743,0.8035,0.44691358,0.115646258,95.87376724346564,2.9759580008768163,3.87,3.6337981736805984,3.766320761947408,3.3843700885772705,"Kodai Senga",31838,673540
"Justin Verlander","- - -",13,8,0,27,27,162.1,7.9835746462787895,2.4948670769621217,0.9979468307848487,0.2647702407002188,0.7692,0.355179704,0.08490566,94.44869371639786,3.215606454751179,3.69,3.846415782384267,4.564141719531046,3.30348002910614,"Justin Verlander",8700,434378
"Tarik Skubal","DET",7,3,0,15,15,80.1,11.427390956751191,1.568465425436438,0.4481329786961251,0.2887700534759358,0.6772,0.515957446,0.06779661,95.80662278824201,2.800831116850782,2.28,1.997777914651339,2.5647635027641895,3.2838499546051025,"Tarik Skubal",22267,669373
"Mitch Keller","PIT",13,9,0,32,32,194.1,9.72557451600829,2.5471742780021716,1.157806490000987,0.30975143403441685,0.7169,0.436697247,0.135135135,95.25898389095416,4.214415623603593,4.16,3.8004953846159335,3.702057593667056,3.2545299530029297,"Mitch Keller",17594,656605
"Merrill Kelly","ARI",12,8,0,30,30,177.2,9.472777327601422,3.495302864195177,1.0131312649841093,0.27828054298642535,0.7713,0.451965065,0.128205128,92.30932168635171,3.292676611198355,4.13,3.8460331205673093,3.834343020664659,3.1731998920440674,"Merrill Kelly",11156,518876
"Logan Gilbert","SEA",13,7,0,32,32,190.2,8.92131272621548,1.6992976621362816,1.368878672276449,0.2723735408560311,0.7512,0.414498141,0.133027522,95.7673469387755,3.729014314132396,3.69,3.8476961660592943,3.7607956347012585,3.1710801124572754,"Logan Gilbert",22250,669302
"Tyler Glasnow","TBR",10,7,0,21,21,120,12.15,2.775,0.975,0.29411764705882354,0.7004,0.512280701,0.144444444,96.491123046875,3.525,3.63,2.9133732159932455,2.7450545698404314,3.1504499912261963,"Tyler Glasnow",14374,607192
"Miles Mikolas","STL",9,13,0,35,35,201.1,6.124182551307702,1.7433804343138712,1.1622536228759142,0.3076923076923077,0.6889,0.388392857,0.098484848,93.52962005395683,4.7831206787585705,5.41,4.273253526632401,4.762419105697984,3.0654900074005127,"Miles Mikolas",9803,571945
"Freddy Peralta","MIL",12,10,0,30,30,165.2,11.408427236864028,2.9335955751936074,1.4124719436117368,0.2734375,0.7374,0.41728395,0.160493827,94.4455172413793,3.857134922939743,3.35,3.8465879616084173,3.4231069761638446,3.0341200828552246,"Freddy Peralta",18679,642547
"Tanner Bibee","CLE",10,4,0,25,25,142,8.93661971830986,2.852112676056338,0.823943661971831,0.28608923884514437,0.7997,0.368286445,0.079754601,94.9981718464351,2.9788732394366195,3.66,3.5156032629416023,4.2233252724291575,3.0172600746154785,"Tanner Bibee",30134,676440
"Eduardo Rodriguez","DET",13,9,0,26,26,152.2,8.430112186831128,2.8296880067684906,0.8842775021151533,0.27427184466019416,0.7595,0.410071942,0.096774193,92.29425636574074,3.301302674563239,4.04,3.6611525132609457,4.062481543299496,3.0005500316619873,"Eduardo Rodriguez",13164,593958
"José Berríos","TOR",11,12,0,32,32,189.2,8.731091518217553,2.4674823855832217,1.186289608453472,0.2890625,0.7638,0.415730337,0.126262626,94.295,3.6537719940366937,4.55,3.993175639030961,4.005638942203635,2.966520071029663,"Jose Berrios",14168,621244
"Braxton Garrett","MIA",9,7,0,31,30,159.2,8.793300647738992,1.6346520434899408,1.1273462368896143,0.30248306997742663,0.759,0.491341991,0.151515151,90.79420215503589,3.6638752698912467,4.55,3.6809262388182105,3.419398101452227,2.9303367882966995,"Braxton Garrett",21844,666129
"Sandy Alcantara","MIA",7,12,0,28,28,184.2,7.359192195689147,2.339345863530325,1.072200187451399,0.2873134328358209,0.6963,0.519927536,0.129411764,98.08243206521739,4.14259163333495,4.3,4.029406684708144,4.00270996011582,2.869040012359619,"Sandy Alcantara",18684,645261
"Seth Lugo","SDP",8,7,0,26,26,146.1,8.610498411952602,2.2141281630735263,1.1685676416221389,0.29802955665024633,0.7677,0.451764705,0.132867132,93.70977130118891,3.567206484951792,4.48,3.829073110123419,3.7568369534432966,2.8328299522399902,"Seth Lugo",12447,607625
"Bobby Miller","LAD",11,4,0,22,22,124.1,8.61396409981852,2.3163600940688456,0.8686350352758172,0.2767857142857143,0.7132,0.476744186,0.107142857,99.12948207171314,3.7640851528618744,3.45,3.5124132264453394,3.747069565277272,2.8260200023651123,"Bobby Miller",27483,676272
"Tanner Scott","MIA",9,5,12,74,0,78,12,2.769230769230769,0.34615384615384615,0.29069767441860467,0.7682,0.50867052,0.063829787,96.81870765952797,2.3076923076923075,2.54,2.165296292916323,2.6615474091126368,2.7918200492858887,"Tanner Scott",17586,656945
"Félix Bautista","BAL",8,2,33,56,0,61,16.229508196721312,3.8360655737704916,0.5901639344262295,0.2736842105263158,0.8397,0.357142857,0.085106382,100.03999837239583,1.4754098360655739,2.12,1.8779907023320435,2.29942655582897,2.775820016860962,"Felix Bautista",20666,642585
"Kyle Hendricks","CHC",6,8,0,24,24,137,6.109489051094891,1.7737226277372262,0.8540145985401459,0.2834467120181406,0.6698,0.46325167,0.08496732,87.78784864193925,3.7445255474452557,4.18,3.8097844082073573,4.422652993498057,2.756930112838745,"Kyle Hendricks",12049,543294
"Marcus Stroman","CHC",10,9,0,27,25,136.2,7.836565825302857,3.424381705174358,0.592681448972485,0.28316326530612246,0.6589,0.571072319,0.102272727,92.17881133339621,3.9512096598165667,4.18,3.5769902993857072,3.785490193849114,2.748127117753029,"Marcus Stroman",13431,573186
"Charlie Morton","ATL",14,12,0,30,30,163.1,10.08369450806698,4.573478929888303,0.7714301809450149,0.32075471698113206,0.7764,0.43287037,0.093959731,94.99827387802071,3.6367422815979276,4.7,3.8734085197666306,4.267386389845159,2.7049200534820557,"Charlie Morton",4676,450203
"Chris Bassitt","TOR",16,8,0,33,33,200,8.37,2.655,1.26,0.2735674676524954,0.7652,0.422735346,0.132075471,92.50818783362989,3.6,4.04,4.280039882659912,4.212593973875046,2.6419599056243896,"Chris Bassitt",12304,605135
"Michael Wacha","SDP",14,4,0,24,24,134.1,8.307713382874166,2.8809006085773317,1.0049653285734879,0.266304347826087,0.7971,0.344647519,0.09090909,92.28523861069277,3.215889051435161,4.3,3.8877958302802567,4.466977680551372,2.6103599071502686,"Michael Wacha",14078,608379
"Yusei Kikuchi","TOR",11,6,0,32,32,167.2,9.715686018442469,2.576535518702975,1.4493012292704235,0.31363636363636366,0.7757,0.397408207,0.152542372,95.08811959087333,3.8648032780544628,4.27,4.119849258150494,3.7717990679895492,2.5968499183654785,"Yusei Kikuchi",20633,579328
"Kyle Gibson","BAL",15,9,0,33,33,192,7.359375,2.578125,1.078125,0.30918727915194344,0.6966,0.488850771,0.127071823,92.2119785299511,4.734375,4.73,4.130039882659913,4.131377788074316,2.5569100379943848,"Kyle Gibson",10123,502043
"Aaron Civale","- - -",7,5,0,23,23,122.1,8.534062163137847,2.4277935464099047,0.882834016876329,0.2869822485207101,0.768,0.389534883,0.089552238,91.92500157510081,3.457766566098955,3.71,3.5656666663756575,4.101492070814489,2.533558964729309,"Aaron Civale",19479,650644
"Reid Detmers","LAA",4,10,0,28,28,148.2,10.170380274495406,3.632278669462645,1.1502215786631709,0.3177083333333333,0.7097,0.366583541,0.11728395,94.33479532163743,4.479810359003929,4.45,4.129477340123142,4.269677730169484,2.508389949798584,"Reid Detmers",27468,672282
"Nathan Eovaldi","TEX",12,5,0,25,25,144,8.25,2.9375,0.9375,0.27055702917771884,0.745,0.51025641,0.12,95.27144201807229,3.625,4.01,3.8800398826599123,3.9610754002299577,2.4814999103546143,"Nathan Eovaldi",9132,543135
"Taijuan Walker","PHI",15,6,0,31,31,172.2,7.1930359966790105,3.7007648968420996,1.0424689850259437,0.2721774193548387,0.7136,0.446183953,0.106382978,93.09406952965236,4.378369737108963,4.42,4.534960136497321,4.829343811786659,2.4682400226593018,"Taijuan Walker",11836,592836
"Kutter Crawford","BOS",6,8,0,31,23,129.1,9.394303250494811,2.505147533465283,1.1829863352474947,0.2694610778443114,0.7166,0.348571428,0.098837209,93.77442238885506,4.0360710261385115,3.3,3.8272032082044527,4.317227861525035,2.4470250755548477,"Kutter Crawford",20531,676710
"Ranger Suárez","PHI",4,6,0,22,22,125,8.568,3.456,0.936,0.3240223463687151,0.7463,0.485013623,0.115044247,93.44758441091955,4.176,4.39,3.9030398826599124,4.045670918941498,2.4162800312042236,"Ranger Suarez",17277,624133
"Yu Darvish","SDP",8,10,0,24,24,136.1,9.30809172621993,2.8386379023223896,1.18826702887914,0.31868131868131866,0.7134,0.415789473,0.135338345,94.84070824795081,4.55502361070337,3.74,4.025212956933429,3.9217599198086743,2.40585994720459,"Yu Darvish",13074,506433
"Shohei Ohtani","LAA",10,5,0,23,23,132,11.386363636363637,3.75,1.2272727272727273,0.2392857142857143,0.8029,0.454545454,0.166666666,96.74738064868805,3.1363636363636362,3.85,3.9974641250841545,3.5774801474629028,2.368269920349121,"Shohei Ohtani",19755,660271
"Bailey Ober","MIN",8,6,0,26,26,144.1,9.10394759196182,1.8083183573074848,1.3718277193367125,0.2761394101876676,0.7911,0.342710997,0.113402061,91.3770431561618,3.4295692983417814,3.63,3.9617390108030675,4.202504930887226,2.3604400157928467,"Bailey Ober",21224,641927
"Patrick Sandoval","LAA",7,13,0,28,28,144.2,7.963114882484221,4.60367579143619,0.7465420202328957,0.3064516129032258,0.6499,0.46590909,0.09090909,93.00839814467766,4.105981111280927,4.73,4.181304981837764,4.611552251360363,2.349600076675415,"Patrick Sandoval",19447,663776
"Clayton Kershaw","LAD",13,5,0,24,24,131.2,9.364532724744867,2.73417013861164,1.298730815840529,0.25,0.8935,0.475073313,0.168141592,90.86029411764706,2.460753124750476,3.82,4.0297214219332105,3.5727267530952527,2.3413898944854736,"Clayton Kershaw",2036,477132
"David Bednar","PIT",3,3,39,66,0,67.1,10.693074961107063,2.806932177290604,0.4009903110415149,0.29411764705882354,0.7555,0.394117647,0.038461538,96.61656494140625,2.0049515552075743,2.84,2.5273167255845705,3.863379721164996,2.3295700550079346,"David Bednar",19569,670280
"Mike Clevinger","CHW",9,9,0,24,24,131.1,7.538090625591449,2.741123863851436,1.0964495455405745,0.2807486631016043,0.7724,0.30927835,0.082051282,94.6412651159921,3.7690453127957246,4.13,4.2829613316042,5.1540586578921666,2.245460033416748,"Mike Clevinger",12808,605182
"Cole Ragans","- - -",7,5,0,29,12,96,10.593749789521102,3.84374992363155,0.6562499869614842,0.27510917030567683,0.7074,0.44017094,0.082352941,96.55886970172685,3.468749931082131,3.28,3.192539883901676,3.708529434904664,2.24098601937294,"Cole Ragans",21846,666142
"Joe Ryan","MIN",11,10,0,29,29,161.2,10.96698719179946,1.8927795153359472,1.7814395438455974,0.3052109181141439,0.7457,0.315545243,0.148837209,92.27868852459017,4.509268845359169,3.53,4.133388546639339,3.7589823894129744,2.220089912414551,"Joe Ryan",21390,657746
