Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Julian Aguiar","CIN",6,7,,4.62162,24,22,,,111,475,109,61,57,15,33,0,8,89,7.21622,2.67568,2.69697,1.21622,0.187368,0.0694737,0.1178947389125824,0.251152,1.27928,0.284848,0.669421,,,4.5163,1.5746,1.41749,999,,,,"sa3017763"
"Luis Garcia","HOU",9,6,,3.89189,20,19,,,111,464,99,51,48,15,38,0,2,110,8.91892,3.08108,2.89474,1.21622,0.237069,0.0818966,0.1551724150776863,0.233491,1.23423,0.280936,0.741379,,,4.1109,1.57385,1.98001,999,,,,"23735"
"Victor Santos","STL",6,7,,4.14159,22,18,,,113,475,109,56,52,12,31,0,5,79,6.29204,2.46903,2.54839,0.955752,0.166316,0.0652632,0.10105263441801071,0.248292,1.23894,0.278736,0.681818,,,4.19309,1.57033,1.58102,999,,,,"sa3003083"
"José Suarez","LAA",6,8,,4.33944,24,19,,,103.7,443,97,53,50,13,37,1,5,100,8.67888,3.21119,2.7027,1.12825,0.225734,0.0835214,0.1422121897339821,0.241895,1.29219,0.291667,0.699482,,,4.17114,1.56027,1.39862,999,,,,"19911"
"Mason Montgomery","TBR",5,4,,3.95778,25,25,,,113.7,482,101,53,50,12,44,0,4,105,8.31135,3.48285,2.38636,0.949868,0.217842,0.0912863,0.12655601650476456,0.232719,1.27529,0.280757,0.717629,,,4.0466,1.55717,1.74686,999,,,,"sa3017306"
"Connor Phillips","CIN",4,6,,4.73684,26,25,,,114,497,102,64,60,17,52,0,8,125,9.86842,4.10526,2.40385,1.34211,0.251509,0.104628,0.14688127487897873,0.23341,1.35088,0.288136,0.691244,,,4.5796,1.55275,1.33996,999,,,,"27649"
"Clarke Schmidt","NYY",7,7,,4.46281,27,23,,,121,519,118,64,60,17,39,1,7,115,8.55372,2.90083,2.94872,1.26446,0.22158,0.0751445,0.14643544703722,0.249471,1.29752,0.296188,0.698198,,,4.32116,1.55049,1.18834,999,,,,"19899"
"Huascar Ynoa","ATL",7,6,,4.11122,22,20,,,100.7,431,92,49,46,12,40,0,4,102,9.11619,3.57498,2.55,1.07249,0.236659,0.0928074,0.14385150372982025,0.237726,1.31082,0.29304,0.720486,,,4.0892,1.54871,1.71733,999,,,,"20468"
"Joan Adon","WSN",5,7,,4.64567,23,22,,,114.3,498,112,63,59,13,44,1,7,96,7.55905,3.46457,2.18182,1.02362,0.192771,0.0883534,0.10441766679286957,0.250559,1.36483,0.292899,0.674891,,,4.3924,1.54244,1.16976,999,,,,"22925"
"Tanner Gordon","COL",7,9,,4.81414,22,21,,,110.3,477,123,63,59,15,29,0,3,74,6.03808,2.36627,2.55172,1.22393,0.155136,0.0607966,0.09433962777256966,0.276405,1.37806,0.303371,0.679389,,,4.5515,1.53651,1.71333,999,,,,"sa3010570"
