"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Zack Cozart","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".307",".374",".681",".294","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","2616"
"Jose Rojas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".289",".408",".697",".294","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918928"
"Oneil Cruz","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".301",".381",".682",".291","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917318"
"Heliot Ramos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".304",".392",".696",".297","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004693"
"Brian O'Keefe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".288",".352",".639",".277","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829152"
"Rob Brantly","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".296",".353",".649",".279","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","10655"
"Josh Lowe","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".295",".372",".667",".287","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917926"
"Kade Scivicque","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".288",".358",".646",".277","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875053"
"Jhon Nunez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".289",".353",".642",".277","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736923"
"Dan Butler","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".297",".340",".638",".279","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","9968"
"Carlos Garay","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".290",".352",".643",".276","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657431"
"Raudy Read","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".280",".396",".676",".284","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","15766"
"Esteban Quiroz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".313",".372",".685",".297","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","sa596560"
"Corban Joseph","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".266",".317",".391",".708",".303","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","5503"
"Xorge Carrillo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".288",".353",".641",".276","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa392212"
"Ryan Lavarnway","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".300",".357",".657",".285","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","8879"
"Chad De La Guerra","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".296",".376",".672",".288","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875729"
"Christian Villanueva","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".296",".426",".722",".305","","87","0.0","0.0","","0.0","0.0","0.0","","999.0","11738"
"Stevie Berman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".286",".340",".626",".272","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873599"
"Freddy Fermin","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".280",".358",".638",".273","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918173"
"Julio Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".277",".364",".641",".273","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917669"
"Nick Dini","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".291",".382",".673",".287","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","18206"
"Robbie Glendinning","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".300",".364",".664",".286","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004978"
"Dominic Miroglio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".295",".352",".647",".279","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa739013"
"Rene Pinto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".276",".332",".608",".263","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa826668"
"Carlos Perez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".282",".361",".643",".276","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","10642"
"Julian Leon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".290",".331",".621",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa739577"
"Nori Aoki","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".268",".348",".411",".759",".326","","101","0.0","0.0","","0.0","0.0","0.0","","999.0","13075"
"Christian Colon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".260",".323",".369",".691",".300","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","11145"
"Jorge Saez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".284",".344",".628",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658909"
"Scooter Gennett","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".260",".310",".420",".729",".308","","89","0.0","0.0","","0.0","0.0","0.0","","598.2","10339"
"Seth Beer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".260",".325",".450",".776",".326","","98","0.0","0.0","","0.0","0.0","0.0","","595.5","sa3006658"
"Mike Ohlman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".292",".331",".623",".274","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","10347"
"Braden Shewmake","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".303",".363",".666",".287","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010332"
"Jed Lowrie","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".320",".375",".695",".301","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","4418"
"Taylor Gushue","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".281",".368",".649",".277","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827360"
"Matt Reynolds","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".308",".349",".658",".287","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","13788"
"Mitchell Kranson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".285",".341",".626",".271","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918156"
"J.C. Millan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".297",".381",".678",".290","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa922148"
"Domingo Santana","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".330",".422",".752",".321","","98","0.0","0.0","","0.0","0.0","0.0","","999.0","10348"
"Nick Tanielu","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".290",".364",".655",".280","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829082"
"Ben Zobrist","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".326",".360",".686",".299","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","7435"
"Jonathan Arauz","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".307",".379",".686",".294","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","20275"
"Drew Ferguson","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".312",".336",".648",".286","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875766"
"Jose Osuna","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".308",".441",".748",".315","","94","0.0","0.0","","0.0","0.0","0.0","","999.0","12937"
"Ryan Lidge","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".286",".334",".620",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738984"
"Trey Harris","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".268",".321",".418",".739",".314","","90","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006876"
"Jake Lowery","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".290",".329",".619",".271","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597837"
"Caleb Hamilton","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".281",".333",".614",".267","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738961"
"Emmanuel Rivera","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".298",".380",".678",".288","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875798"
"Brennon Lund","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".297",".363",".660",".284","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857730"
"Howie Kendrick","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".287",".340",".446",".785",".331","","104","0.0","0.0","","0.0","0.0","0.0","","999.0","4229"
"Christian Lopes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".314",".346",".661",".289","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","sa601044"
"Jonathan India","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".306",".385",".690",".296","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008178"
"Colton Shaver","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".281",".369",".649",".278","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915847"
"Gabriel Cancel","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".293",".382",".675",".287","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875231"
"Raffy Lopez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".280",".349",".629",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","12606"
"Ian Sagdal","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".256",".306",".381",".687",".294","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875695"
"Joe DeCarlo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".279",".338",".617",".268","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657935"
"L.T. Tolbert","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".266",".311",".374",".685",".294","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876146"
"Max Pentecost","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".266",".350",".616",".263","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","sa601924"
"Blake Perkins","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".308",".348",".657",".286","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874806"
"David Freese","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".331",".414",".744",".319","","96","0.0","0.0","","0.0","0.0","0.0","","999.0","9549"
"Randy Cesar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".297",".365",".662",".285","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657542"
"John Ryan Murphy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".255",".322",".577",".249","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","10346"
"Kody Clemens","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".295",".373",".668",".286","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008002"
"Tito Polo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".295",".375",".671",".287","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657705"
"Brian Serven","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".295",".391",".686",".292","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857231"
"Wynston Sawyer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".283",".334",".617",".268","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548430"
"Mason McCoy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".296",".333",".629",".273","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002758"
"Ruben Sosa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".308",".353",".661",".287","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa599247"
"Armando Alvarez","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".288",".374",".661",".283","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa913279"
"Josh Morgan","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".279",".312",".591",".257","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828797"
"Ryan LaMarre","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".307",".374",".681",".293","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","10700"
"Jacob Wilson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".306",".378",".684",".294","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658158"
"Adeiny Hechavarria","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".292",".363",".655",".280","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","10459"
"Ryan Schimpf","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".295",".418",".713",".302","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","9953"
"Gabriel Lino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".277",".338",".614",".266","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548048"
"Ramiro Rodriguez","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".287",".351",".638",".276","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917287"
"Dustin Pedroia","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".312",".346",".658",".287","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","8370"
"Forrest Wall","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".300",".350",".649",".281","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828682"
"Jecksson Flores","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".295",".339",".634",".275","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597007"
"Kean Wong","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".301",".357",".658",".283","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","15994"
"Webster Rivas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".287",".328",".615",".266","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa547912"
"Luis Santana","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".292",".345",".636",".275","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa921577"
"Martin Cervenka","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".277",".336",".613",".265","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa492636"
"Michael Osinski","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".302",".362",".665",".287","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004298"
"Justin Toerner","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".320",".381",".700",".302","","87","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006735"
"Jack Kruger","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".278",".321",".599",".260","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918429"
"Irving Lopez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".299",".361",".660",".284","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002878"
"Trenton Brooks","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".308",".403",".711",".303","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873268"
"Marco Hernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".264",".302",".382",".683",".291","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","13154"
"Adrian Beltre","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".292",".374",".665",".285","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","639"
"Jae-Gyun Hwang","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".299",".390",".689",".293","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","19369"
"Jett Bandy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".269",".349",".618",".266","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","12508"
"Tyler Payne","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".272",".350",".621",".266","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa876024"
"Odubel Herrera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".305",".407",".712",".302","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","11476"
"Eric Filia","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".325",".346",".671",".292","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827359"
"Luis Villegas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".272",".337",".609",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa547944"
"Connor Joe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".326",".368",".694",".303","","87","0.0","0.0","","0.0","0.0","0.0","","999.0","16572"
"Devin Mesoraco","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".290",".365",".655",".282","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","5666"
"Eric Peterson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".288",".373",".661",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004405"
"Taylor Davis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".295",".319",".614",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","12782"
"Joey Morgan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".275",".327",".602",".261","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004032"
"Justin Bour","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".323",".424",".746",".316","","94","0.0","0.0","","0.0","0.0","0.0","","999.0","9744"
"Logan Moore","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".283",".319",".602",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa598265"
"Hudson Potts","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".284",".386",".670",".285","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917936"
"Mike Marjama","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".272",".344",".616",".265","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","12594"
"Juan Graterol","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".284",".337",".621",".268","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","5398"
"Jason Delay","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".273",".342",".615",".265","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa857222"
"Yariel Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".291",".369",".660",".281","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa920278"
"Dilson Herrera","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".292",".401",".693",".293","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","14335"
"John Nogowski","Cardinals","4","17","15","4","1","0","0","2","2","2","3","0","0","0","",".254",".336",".388",".724",".314","","95","0.0","0.0","","-0.1","-0.4","0.0","","999.0","16852"
"Carlos Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".279",".324",".603",".262","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa737214"
"Stephen Alemais","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".300",".330",".630",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874070"
"Drew Ellis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".298",".368",".666",".287","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004687"
"Cade Gotta","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".302",".346",".648",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829411"
"J.T. Riddle","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".280",".374",".653",".277","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","17642"
"Alexander Alvarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".273",".334",".606",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa826656"
"Jordan Procyshen","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".273",".331",".603",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829345"
"Brett Netzer","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".302",".356",".658",".284","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004804"
"Jacob Robson","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".316",".378",".694",".299","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658804"
"Luis Liberato","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".281",".350",".632",".272","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737020"
"Victor Mendoza","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".319",".410",".729",".311","","91","0.0","0.0","","0.0","0.0","0.0","","999.0","sa722315"
"Alan Trejo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".300",".398",".698",".297","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002726"
"Tim Federowicz","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".271",".336",".607",".262","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","8609"
"Jake Meyers","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".281",".347",".628",".271","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004621"
"Spencer Kieboom","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".288",".313",".601",".265","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","13300"
"Lars Nootbaar","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".311",".384",".694",".298","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006649"
"Ronny Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".277",".396",".673",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","11875"
"Evan Mendoza","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".295",".354",".649",".279","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002836"
"Luis Castro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".269",".339",".450",".789",".334","","91","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736954"
"Leonys Martin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".290",".367",".657",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","11846"
"Nick Rickles","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".263",".350",".612",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa546837"
"Devon Travis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".295",".399",".694",".294","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","13862"
"Andy Ibanez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".303",".371",".674",".290","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa914201"
"Ronnie Freeman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".275",".328",".603",".262","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa658013"
"Clayton Daniel","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".303",".351",".654",".283","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007646"
"Drew Ward","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".286",".366",".652",".280","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737690"
"Justin Smoak","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".329",".419",".748",".320","","97","0.0","0.0","","0.0","0.0","0.0","","999.0","9054"
"Michael Gettys","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".272",".389",".662",".280","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828692"
"Charlie Madden","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".265",".348",".613",".263","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918568"
"Cristian Santana","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".275",".381",".656",".278","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829387"
"Chris Gittens","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".309",".403",".712",".305","","88","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829048"
"Dawel Lugo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".292",".379",".671",".285","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","14713"
"Tyler Austin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".294",".429",".723",".304","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","11850"
"Scott Hurst","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".291",".355",".646",".279","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915819"
"Oscar Hernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".266",".348",".614",".264","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","13490"
"Jim Haley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".272",".359",".631",".269","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918418"
"Alan Espinoza","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".264",".348",".612",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa543678"
"Hunter Owen","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".279",".386",".664",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918597"
"Kungkuan Giljegiljaw","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".269",".334",".603",".260","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa830277"
"Hoy Jun Park","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".305",".317",".622",".275","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa877610"
