"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Josh Donaldson","Twins","139","605","502","123","25","1","30","87","86","90","152","7","3","1","",".244",".364",".477",".841",".355","","121","-1.1","0.0","","15.5","-0.7","3.5","","187.4","5038"
"Ketel Marte","Diamondbacks","149","666","593","170","35","6","21","90","79","57","89","7","7","3","",".287",".354",".473",".827",".349","","113","0.8","-1.8","","12.2","1.0","3.4","","83.7","13613"
"Kris Bryant","Cubs","149","665","562","143","31","2","27","92","84","80","162","15","4","2","",".254",".360",".462",".821",".349","","115","2.5","-2.9","","16.0","-3.3","3.3","","128.6","15429"
"Eloy Jimenez","White Sox","150","632","578","166","30","2","39","90","107","42","141","5","1","1","",".287",".339",".546",".885",".365","","130","0.8","-1.7","","25.3","-13.9","3.3","","34.5","17484"
"Byron Buxton","Twins","136","531","483","126","29","3","25","73","77","34","135","5","18","5","",".261",".315",".488",".802",".333","","107","3.6","4.5","","8.1","6.8","3.3","","118.4","14161"
"Anthony Rizzo","Cubs","150","663","554","149","29","2","30","94","92","82","100","21","6","3","",".270",".381",".490",".870",".366","","126","-2.4","3.9","","20.6","-8.6","3.2","","98.4","3473"
"Jose Altuve","Astros","150","673","599","166","31","2","23","94","82","58","110","6","11","4","",".278",".345",".450",".796",".338","","114","0.2","-4.9","","12.4","-2.9","3.2","","97.3","5417"
"Luis Robert","White Sox","149","610","553","143","26","3","29","79","85","41","165","7","22","9","",".259",".317",".475",".792",".331","","107","1.2","2.3","","6.9","4.8","3.2","","38.6","20043"
"Paul DeJong","Cardinals","150","644","570","142","29","1","28","79","85","56","158","11","6","3","",".249",".325",".450",".775",".327","","104","0.4","0.9","","3.5","8.4","3.2","","225.3","18015"
"Max Kepler","Twins","149","668","578","143","33","1","31","98","84","73","117","8","7","3","",".248",".338",".471",".810",".341","","112","1.6","4.3","","11.9","-3.0","3.2","","175.9","12144"
"Matt Olson","Athletics","146","629","540","130","24","1","38","87","99","74","166","9","2","1","",".241",".340",".499",".839",".348","","122","-0.6","5.5","","16.9","-6.6","3.2","","83.0","14344"
"Alec Bohm","Phillies","146","601","536","154","29","2","23","76","82","52","107","5","5","2","",".287",".353",".480",".833",".351","","116","0.4","-1.1","","12.8","0.1","3.2","","999.0","21618"
"Marcus Semien","","150","687","599","153","31","3","25","95","75","74","120","3","11","4","",".256",".339",".441",".780",".331","","105","1.5","-4.1","","5.7","3.4","3.1","","153.8","12533"
"Michael Conforto","Mets","150","648","547","139","27","1","31","89","91","84","157","10","7","3","",".254",".361",".478",".839",".354","","123","0.9","-1.7","","20.3","-9.2","3.1","","73.4","16376"
"Jeff McNeil","Mets","150","665","592","168","36","2","19","87","74","49","89","15","8","3","",".285",".352",".448",".800",".339","","113","0.4","-2.0","","11.8","-1.5","3.1","","83.9","15362"
"Justin Turner","","130","567","489","137","28","2","21","75","76","60","95","12","2","1","",".280",".369",".474",".843",".357","","122","-1.0","-3.1","","15.2","-2.7","3.1","","229.3","5235"
"Yoan Moncada","White Sox","147","650","570","143","27","4","24","85","78","68","189","5","7","3","",".250",".332",".439",".771",".327","","104","2.1","0.5","","5.8","2.9","3.1","","90.8","17232"
"Ke'Bryan Hayes","Pirates","136","581","516","145","31","4","18","72","70","52","114","6","9","4","",".281",".351",".463",".813",".343","","112","0.6","0.9","","9.5","3.2","3.1","","141.7","18577"
"Alex Verdugo","Red Sox","139","595","531","156","37","2","16","80","71","50","97","5","8","3","",".294",".357",".461",".818",".346","","112","0.6","-0.6","","9.5","0.6","3.0","","129.4","17027"
"Aaron Hicks","Yankees","141","611","507","120","22","2","24","83","77","92","136","4","8","3","",".236",".356",".432",".787",".338","","111","2.0","-3.6","","10.3","-1.3","3.0","","302.5","5297"
"Ramon Laureano","Athletics","149","621","548","136","29","2","23","76","76","52","164","13","11","4","",".248",".325",".432",".757",".322","","104","2.1","0.5","","5.2","2.9","2.9","","146.1","17128"
"Cavan Biggio","Blue Jays","146","649","539","126","26","2","21","89","68","95","163","6","14","5","",".235",".353",".405",".759",".329","","105","1.2","-1.0","","5.4","1.4","2.9","","58.1","19252"
"Marcell Ozuna","","150","647","568","157","26","1","35","90","104","70","139","4","5","2","",".276",".357",".513",".870",".362","","125","0.0","0.0","","20.9","-13.2","2.9","","46.4","10324"
"Kyle Tucker","Astros","149","618","551","142","27","6","30","85","92","54","134","6","20","8","",".258",".328",".491",".819",".340","","116","1.3","1.3","","13.7","-6.2","2.9","","32.1","18345"
"Luis Arraez","Twins","134","558","501","156","31","2","7","66","58","47","51","3","5","2","",".311",".371",".419",".791",".341","","112","0.6","-1.8","","8.8","0.7","2.8","","365.5","18568"
"Adalberto Mondesi","Royals","149","646","599","154","30","7","21","84","78","34","176","4","55","16","",".257",".299",".434",".733",".307","","88","5.5","3.4","","-4.5","10.8","2.8","","25.0","13769"
"Brandon Lowe","Rays","133","579","508","126","25","3","26","75","75","56","159","8","6","3","",".248",".328",".459",".787",".332","","111","1.9","0.1","","9.7","-1.2","2.8","","72.3","18882"
"Andrelton Simmons","","139","583","530","148","30","2","10","65","62","40","58","5","9","3","",".278",".333",".400",".733",".314","","93","-0.6","7.2","","-5.7","14.1","2.7","","466.1","10847"
"Paul Goldschmidt","Cardinals","150","662","564","149","27","1","28","86","87","86","159","5","4","1","",".264",".363",".464",".827",".351","","119","1.1","1.2","","17.6","-11.3","2.7","","98.2","9218"
"Brandon Nimmo","Mets","143","623","503","121","24","4","18","84","62","96","151","15","9","4","",".240",".375",".413",".788",".343","","116","1.2","-8.6","","14.2","-6.8","2.7","","255.4","12927"
"Sean Murphy","Athletics","102","396","346","84","18","1","17","50","51","39","94","4","3","1","",".243",".325",".444",".769",".325","","106","0.3","0.0","","3.5","8.6","2.7","","158.1","19352"
"Pete Alonso","Mets","149","649","558","135","24","1","42","94","103","70","170","14","2","1","",".242",".339",".516",".855",".352","","122","-1.0","0.9","","17.6","-11.5","2.6","","55.9","19251"
"Jorge Polanco","Twins","150","670","600","162","35","4","19","89","77","56","112","5","9","4","",".271",".336",".434",".770",".327","","103","0.9","-6.5","","3.1","-0.2","2.6","","205.9","13152"
"Christian Vazquez","Red Sox","109","443","404","104","21","1","13","51","53","30","89","3","6","3","",".258",".312",".413",".726",".307","","86","-1.6","2.6","","-9.7","10.1","2.6","","149.7","9774"
"J.P. Crawford","Mariners","150","671","578","139","27","4","14","79","59","74","135","9","12","5","",".240",".333",".374",".707",".308","","94","0.6","-0.7","","-4.4","6.8","2.5","","429.8","15491"
"Ian Happ","Cubs","149","636","542","131","25","2","29","86","79","79","185","6","9","4","",".241",".342",".456",".798",".337","","108","0.6","1.3","","6.9","-1.6","2.5","","155.2","17919"
"Salvador Perez","Royals","125","541","506","132","27","1","29","69","85","21","116","9","3","1","",".260",".298",".487",".785",".325","","100","-1.9","6.1","","-1.9","12.4","2.5","","74.4","7304"
"Giancarlo Stanton","Yankees","138","588","507","128","23","1","39","89","102","69","185","7","4","2","",".253",".348",".534",".882",".364","","129","-0.7","0.0","","20.7","-15.7","2.5","","114.1","4949"
"Tommy Pham","Padres","124","548","466","124","22","2","21","78","69","70","119","5","14","5","",".267",".367",".458",".824",".351","","119","0.6","0.2","","14.0","-6.2","2.5","","126.0","2967"
"Brian Anderson","Marlins","150","647","565","142","29","2","21","74","77","61","150","14","3","2","",".251",".337",".423",".760",".325","","104","0.2","-1.5","","3.5","1.0","2.5","","231.7","18289"
"Eugenio Suarez","Reds","150","655","560","133","23","1","35","87","96","80","181","9","3","2","",".238",".340",".474",".814",".342","","107","-1.6","-3.3","","4.7","-0.8","2.4","","81.5","12552"
"Rhys Hoskins","Phillies","134","587","479","112","23","2","31","84","83","92","142","9","3","1","",".235",".366",".484",".850",".359","","121","0.1","1.2","","16.2","-10.1","2.4","","166.9","16472"
"Joc Pederson","","120","520","448","112","22","3","29","76","73","55","116","9","4","2","",".249",".341",".507",".848",".353","","119","0.3","1.0","","13.0","-5.7","2.4","","396.8","11899"
"Nick Madrigal","White Sox","143","553","504","153","28","2","7","66","58","34","37","7","20","8","",".304",".353",".412",".765",".329","","106","-0.6","-0.4","","3.3","1.9","2.4","","197.1","20521"
"Travis d'Arnaud","Braves","105","445","401","106","20","1","18","55","59","35","105","4","2","1","",".263",".325",".449",".774",".327","","99","-1.0","-2.6","","-1.7","6.2","2.4","","134.6","7739"
"Kyle Schwarber","Nationals","120","515","436","108","20","1","33","76","81","68","141","5","4","2","",".247",".352",".523",".875",".361","","121","0.0","-0.1","","14.2","-6.2","2.4","","199.1","16478"
"Willy Adames","Rays","131","526","466","116","23","2","17","59","62","50","143","4","6","3","",".248",".323",".416",".739",".315","","99","1.3","-1.2","","0.4","5.4","2.4","","330.7","15986"
"Didi Gregorius","","133","559","509","134","24","3","22","67","76","38","79","7","6","3","",".263",".320",".452",".772",".322","","99","1.2","-1.5","","0.3","5.2","2.4","","166.9","6012"
"Michael Brantley","Astros","139","606","545","155","32","1","19","77","82","50","78","6","5","2","",".284",".348",".451",".799",".339","","115","-0.4","-0.1","","11.2","-8.4","2.4","","160.5","4106"
"Max Muncy","Dodgers","143","615","508","118","20","1","30","84","81","92","160","8","3","1","",".232",".356",".451",".806",".343","","115","1.1","1.6","","13.1","-8.8","2.4","","90.9","13301"
"Buster Posey","Giants","109","469","417","108","22","1","9","50","48","42","75","5","2","1","",".259",".331",".379",".710",".307","","90","-2.1","4.5","","-8.2","10.4","2.3","","254.3","9166"
"Joey Gallo","Rangers","149","634","532","113","22","1","40","85","96","89","223","6","6","3","",".212",".330",".484",".814",".339","","102","2.4","5.1","","4.1","-2.7","2.3","","158.3","14128"
"Mark Canha","Athletics","141","594","505","124","26","3","22","74","75","68","138","15","4","2","",".245",".349",".439",".788",".336","","113","-0.2","0.2","","10.0","-7.4","2.3","","259.6","11445"
"Kyle Seager","Mariners","149","634","560","132","28","1","26","74","82","60","127","8","5","2","",".235",".317",".430",".746",".315","","99","-0.6","0.4","","-1.7","2.9","2.3","","263.0","9785"
"Javier Baez","Cubs","150","646","601","154","32","4","30","80","95","33","180","6","12","5","",".256",".298",".471",".769",".318","","95","1.5","-2.6","","-2.6","4.9","2.3","","73.5","12979"
"J.D. Martinez","Red Sox","149","647","566","159","34","1","34","95","106","70","152","5","3","1","",".280",".362",".525",".886",".366","","125","-3.2","-0.4","","17.7","-17.5","2.2","","93.4","6184"
"Tommy La Stella","","128","561","496","141","26","3","16","73","63","51","54","6","3","1","",".283",".355",".442",".797",".340","","110","-0.6","-2.7","","7.0","-3.0","2.2","","333.1","12371"
"Starling Marte","Marlins","146","646","590","161","32","3","19","77","77","35","117","14","23","8","",".273",".326",".435",".761",".322","","102","1.9","-4.1","","3.6","-1.7","2.2","","52.0","9241"
"Danny Jansen","Blue Jays","92","358","311","74","14","1","13","44","43","36","71","6","2","1","",".239",".327",".415",".742",".318","","97","0.1","0.3","","-1.2","8.0","2.2","","298.8","16535"
"Amed Rosario","Indians","134","556","515","144","27","5","14","65","63","30","102","4","15","6","",".281",".322",".430",".752",".317","","94","1.3","-0.5","","-3.2","6.3","2.2","","293.5","15518"
"David Fletcher","Angels","150","666","601","167","34","2","9","81","59","51","73","4","8","3","",".279",".336",".385",".722",".311","","93","0.3","1.2","","-5.4","3.9","2.1","","221.8","17992"
"Randy Arozarena","Rays","146","614","543","140","28","3","24","79","77","48","147","14","20","9","",".257",".331",".449",".780",".330","","109","0.4","0.2","","7.3","-7.1","2.1","","58.2","19290"
"Jean Segura","Phillies","149","645","588","166","30","4","17","77","75","43","94","6","10","4","",".281",".334",".430",".765",".324","","98","1.1","-5.6","","-0.4","1.4","2.1","","188.2","5933"
"Tim Anderson","White Sox","150","664","621","170","33","2","23","85","79","29","149","5","17","6","",".274",".310",".445",".755",".317","","98","1.3","-8.8","","-0.5","-1.3","2.1","","45.0","15172"
"Dansby Swanson","Braves","149","642","565","141","30","2","20","79","72","61","151","6","11","4","",".250",".328",".415",".743",".316","","92","2.5","-3.0","","-4.6","4.5","2.0","","108.4","18314"
"Brandon Belt","Giants","130","561","473","120","28","2","20","72","69","77","125","5","3","1","",".253",".361",".451",".812",".345","","115","-0.4","2.5","","10.6","-8.3","2.0","","400.7","10264"
"Giovanny Urshela","Yankees","146","592","539","146","29","1","19","70","75","40","108","6","3","1","",".270",".325",".431",".756",".320","","99","-1.3","-0.7","","-2.3","1.7","2.0","","155.0","10681"
"J.D. Davis","Mets","127","541","476","121","23","1","22","68","70","52","128","6","2","1","",".255",".334",".445",".778",".329","","107","-1.3","-2.5","","3.6","-0.8","2.0","","219.0","16219"
"Austin Riley","Braves","141","568","511","132","25","2","29","72","83","44","148","6","2","1","",".258",".321",".485",".807",".335","","104","0.1","-3.1","","3.0","-1.1","2.0","","212.2","18360"
"Chris Taylor","Dodgers","144","592","519","128","30","4","17","70","68","59","166","7","8","3","",".246",".329",".418",".747",".319","","99","1.7","-1.2","","0.7","0.4","2.0","","209.0","13757"
"Willson Contreras","Cubs","103","433","374","94","19","2","17","54","56","43","107","11","3","1","",".252",".343",".446",".789",".335","","106","-1.1","0.5","","2.5","8.3","1.9","","122.7","11609"
"Austin Nola","Padres","97","405","358","90","18","2","11","46","46","37","86","5","2","1","",".250",".327",".398",".725",".311","","93","0.1","-0.3","","-3.9","6.8","1.9","","160.0","15941"
"Luke Voit","Yankees","141","615","532","135","22","1","31","87","88","67","159","9","1","1","",".253",".344",".473",".817",".344","","115","-0.7","-1.4","","10.9","-13.1","1.9","","56.6","14811"
"Miguel Rojas","Marlins","136","571","515","140","28","2","10","61","54","40","76","7","10","4","",".272",".331",".390",".721",".309","","93","-1.3","0.5","","-6.3","7.3","1.9","","411.1","7802"
"Mike Moustakas","Reds","146","620","552","137","26","1","35","82","96","54","117","8","3","1","",".249",".323",".492",".815",".338","","105","-2.0","-4.7","","2.0","-2.8","1.9","","121.4","4892"
"Max Stassi","Angels","80","313","273","61","11","1","11","36","37","31","86","4","2","1","",".222",".309",".394",".703",".302","","87","-0.7","-2.0","","-6.0","4.7","1.9","","370.3","10059"
"Whit Merrifield","Royals","150","691","627","176","37","4","16","93","67","46","113","7","24","7","",".281",".335",".427",".763",".324","","99","2.4","-1.7","","1.4","-6.7","1.9","","39.2","11281"
"Lourdes Gurriel Jr.","Blue Jays","139","591","545","147","29","1","28","77","88","33","136","7","8","4","",".270",".317",".482",".799",".333","","108","-0.3","0.0","","5.5","-7.4","1.8","","78.5","19238"
"Kolten Wong","","120","509","444","116","22","4","9","61","49","47","83","11","13","5","",".260",".343",".390",".733",".316","","95","2.0","1.3","","-1.6","3.3","1.8","","404.0","12532"
"Willi Castro","Tigers","128","534","489","131","23","5","14","62","61","31","121","7","9","4","",".268",".318",".424",".742",".315","","93","0.1","-1.5","","-4.7","4.7","1.8","","238.0","17338"
"Carlos Santana","Royals","144","627","519","128","26","1","24","81","82","98","104","4","2","1","",".247",".368",".443",".811",".346","","114","-0.8","-0.7","","10.2","-13.6","1.8","","284.1","2396"
"Jose Iglesias","Angels","130","539","502","137","30","2","10","59","60","23","70","7","6","3","",".272",".311",".400",".711",".302","","87","0.7","1.6","","-8.3","8.1","1.8","","416.6","10231"
"Jeimer Candelario","Tigers","146","621","539","134","29","4","22","76","77","67","154","9","4","2","",".249",".339",".442",".781",".332","","105","0.8","4.0","","4.6","-8.1","1.8","","249.5","13621"
"Cesar Hernandez","","139","602","527","141","27","1","11","70","56","61","114","5","7","3","",".268",".348",".385",".733",".318","","96","0.4","-1.4","","-3.0","0.9","1.8","","370.6","10556"
"Isaac Paredes","Tigers","113","443","394","105","20","1","13","52","51","37","72","5","4","1","",".265",".333",".422",".755",".322","","98","0.3","1.0","","-0.8","2.9","1.7","","539.3","20036"
"Gary Sanchez","Yankees","93","388","339","76","13","1","24","53","61","39","113","6","1","1","",".224",".312",".479",".791",".329","","105","-0.4","-2.8","","2.0","5.0","1.7","","166.9","11442"
"Tommy Edman","Cardinals","144","634","577","154","27","5","15","75","65","40","117","8","16","6","",".267",".321",".409",".729",".311","","93","2.2","-1.7","","-3.6","0.8","1.7","","128.6","19470"
"Harrison Bader","Cardinals","124","484","421","97","18","3","16","55","54","45","143","11","11","5","",".231",".319",".400",".719",".308","","91","1.5","4.7","","-4.5","6.5","1.7","","500.5","18030"
"Ryan Jeffers","Twins","75","290","260","68","13","1","11","37","38","21","66","4","2","1","",".263",".325",".448",".773",".326","","102","0.3","-0.5","","1.0","5.8","1.7","","999.0","24618"
"Andrew Benintendi","Red Sox","134","587","507","131","33","3","16","79","65","67","126","6","12","5","",".259",".349",".428",".777",".333","","103","1.1","-0.5","","3.2","-6.4","1.7","","222.7","17901"
"Anthony Santander","Orioles","146","639","587","154","33","2","30","82","90","38","123","6","5","2","",".263",".312",".481",".793",".328","","104","0.3","-0.2","","3.2","-8.4","1.7","","160.2","14551"
"Roberto Perez","Indians","89","350","306","63","12","1","11","36","37","35","108","4","1","0","",".207",".294",".361",".655",".283","","71","-1.0","4.5","","-14.0","11.9","1.7","","468.0","2900"
"Austin Hays","Orioles","126","528","486","124","23","1","22","64","66","29","112","6","11","5","",".255",".303",".444",".747",".314","","94","0.6","0.8","","-3.4","1.9","1.7","","229.1","19363"
"Carson Kelly","Diamondbacks","90","353","307","74","15","1","12","40","40","37","72","4","1","1","",".241",".328",".411",".738",".313","","89","-0.3","-0.3","","-5.2","7.2","1.7","","259.0","13620"
"Shohei Ohtani","Angels","117","499","439","115","21","2","25","70","76","52","135","3","13","5","",".262",".342",".495",".837",".350","","119","0.9","0.0","","13.0","-13.6","1.7","","231.4","19755"
"Will Smith","Dodgers","92","369","321","76","15","1","19","48","52","38","88","5","2","1","",".237",".324",".466",".790",".331","","107","-0.3","0.8","","3.2","8.5","1.6","","95.1","19197"
"Lorenzo Cain","Brewers","138","614","540","140","25","1","13","73","56","58","113","7","16","5","",".260",".338",".382",".720",".312","","90","0.8","1.7","","-7.3","3.9","1.6","","251.6","9077"
"Nico Hoerner","Cubs","125","488","439","121","23","3","10","56","54","36","71","6","10","4","",".275",".335",".412",".746",".319","","96","0.8","0.6","","-1.9","2.6","1.6","","443.9","21479"
"Kyle Lewis","Mariners","149","650","575","134","24","1","23","72","76","64","187","4","6","3","",".232",".311",".397",".708",".303","","91","1.0","-2.3","","-6.6","0.1","1.6","","132.9","19508"
"Dylan Carlson","Cardinals","133","526","468","117","23","3","17","61","62","45","118","5","11","5","",".251",".320",".425",".746",".316","","96","0.1","6.9","","-2.7","2.1","1.6","","999.0","20126"
"Kevin Kiermaier","Rays","122","490","438","100","18","5","14","53","53","39","120","6","15","6","",".229",".299",".387",".686",".292","","83","2.2","5.3","","-8.2","7.3","1.6","","489.5","11038"
