Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Max Fried","ATL",11,6,,3.33333,24,24,,,135,563,129,53,50,12,36,1,4,120,8,2.4,3.33333,0.8,0.213144,0.0639432,0.1492007076740265,0.246654,1.22222,0.299233,0.755736,,,3.52171,3.00003,3.67328,999,,,,"13743"
"Bobby Miller","LAD",11,6,,3.71329,27,27,,,143,586,124,63,59,15,40,0,7,133,8.37063,2.51748,3.325,0.944056,0.226962,0.0682594,0.15870307385921478,0.230056,1.14685,0.278772,0.706294,,,3.74455,2.98339,2.8876,999,,,,"27483"
"Shane McClanahan","TBR",11,5,,3.14031,24,24,,,134.7,546,114,50,47,14,38,1,2,143,9.55457,2.53898,3.76316,0.935412,0.261905,0.0695971,0.1923077031970024,0.225296,1.12843,0.286533,0.770393,,,3.37382,2.93807,3.50851,999,,,,"21483"
"Shane Bieber","CLE",8,6,,3.62953,25,24,,,146.3,611,139,63,59,17,37,0,4,146,8.98154,2.27614,3.94595,1.0458,0.238953,0.0605565,0.1783960685133934,0.24386,1.20301,0.299754,0.742444,,,3.61047,2.92594,2.98119,999,,,,"19427"
"Logan Gilbert","SEA",10,8,,3.53757,29,29,,,173,716,160,73,68,21,45,1,4,159,8.27168,2.34104,3.53333,1.09249,0.222067,0.0628492,0.15921787917613983,0.23988,1.18497,0.285421,0.751708,,,3.84464,2.89624,3.52592,999,,,,"22250"
"Framber Valdez","HOU",12,8,,3.47979,27,27,,,170.7,719,154,71,66,16,58,0,10,150,7.90861,3.058,2.58621,0.843585,0.208623,0.0806676,0.12795548886060715,0.236559,1.24194,0.284536,0.743671,,,3.91116,2.83241,3.8743,999,,,,"17295"
"Julio Urías",,13,8,,3.73469,27,26,,,147,595,134,65,61,20,30,1,6,138,8.44898,1.83673,4.6,1.22449,0.231933,0.0504202,0.18151260539889336,0.239714,1.11565,0.284289,0.727941,,,3.88089,2.82644,2.93243,999,,,,"14765"
"Gerrit Cole","NYY",10,7,,3.71856,27,27,,,167,685,149,74,69,25,45,0,3,173,9.32335,2.42515,3.84444,1.34731,0.252555,0.0656934,0.1868613138794899,0.233909,1.16168,0.28246,0.754717,,,3.99157,2.81462,3.1945,999,,,,"13125"
"Blake Snell",,12,8,,3.47305,27,27,,,150.3,637,121,62,58,18,72,0,3,185,11.0778,4.31138,2.56944,1.07784,0.290424,0.11303,0.17739403992891312,0.215302,1.2841,0.286908,0.780691,,,3.84719,2.77021,3.28948,999,,,,"13543"
"Shota Imanaga","CHC",8,5,,3.67215,26,26,,,139.7,589,131,61,57,17,41,2,6,146,9.40587,2.64137,3.56098,1.0952,0.247878,0.0696095,0.17826825380325317,0.241697,1.23121,0.300792,0.748988,,,3.75611,2.74689,2.97682,999,,,,"sa3023346"
"Jesús Luzardo","MIA",8,9,,3.91039,27,26,,,147.3,617,133,68,64,19,48,1,6,163,9.95927,2.93279,3.39583,1.1609,0.264182,0.0777958,0.18638573586940765,0.236234,1.22878,0.299213,0.731865,,,3.81852,2.73357,2.83991,999,,,,"19959"
"Shohei Ohtani","LAD",12,5,,3.41379,25,25,,,145,590,116,59,55,19,47,1,9,159,9.86897,2.91724,3.38298,1.17931,0.269492,0.079661,0.1898305043578148,0.217228,1.12414,0.272472,0.762463,,,3.92401,2.72907,3.46856,999,,,,"19755"
"Eury Pérez","MIA",8,7,,3.4965,28,28,,,128.7,525,109,53,50,15,39,0,4,138,9.65035,2.72727,3.53846,1.04895,0.262857,0.0742857,0.18857142329216003,0.226141,1.14996,0.285714,0.748031,,,3.628,2.68233,3.16165,999,,,,"27768"
"Mitch Keller","PIT",8,10,,4.21154,27,27,,,156,673,152,78,73,18,50,0,10,146,8.42308,2.88462,2.92,1.03846,0.216939,0.0742942,0.14264487475156784,0.247961,1.29487,0.298441,0.701357,,,4.03709,2.6347,2.48112,999,,,,"17594"
"Kodai Senga","NYM",10,7,,3.72,26,26,,,150,637,126,66,62,17,69,0,5,171,10.26,4.14,2.47826,1.02,0.268446,0.10832,0.16012559831142426,0.223801,1.3,0.290667,0.753505,,,3.92837,2.62312,2.8752,999,,,,"31838"
"Justin Steele","CHC",10,7,,3.67983,27,25,,,144.3,612,141,63,59,16,42,1,6,131,8.17048,2.61954,3.11905,0.997921,0.214052,0.0686275,0.14542483538389206,0.25,1.26819,0.29976,0.747198,,,3.87874,2.60875,3.0528,999,,,,"17312"
"Zac Gallen","ARI",11,9,,3.67876,29,29,,,173.7,716,157,76,71,22,51,0,7,160,8.29016,2.64249,3.13725,1.1399,0.223464,0.071229,0.15223463624715805,0.238602,1.19747,0.283613,0.744921,,,4.06103,2.59942,3.79033,999,,,,"19291"
"Brandon Pfaadt","ARI",9,8,,3.88309,26,26,,,143.7,600,136,66,62,18,34,0,7,139,8.70564,2.12944,4.08824,1.12735,0.231667,0.0566667,0.17500000074505806,0.243292,1.18302,0.293532,0.718232,,,3.8048,2.58039,2.80144,999,,,,"27782"
"Hunter Greene","CIN",9,9,,4.20438,27,27,,,137,566,111,68,64,22,45,0,11,168,11.0365,2.9562,3.73333,1.44526,0.29682,0.0795053,0.2173144742846489,0.217647,1.13869,0.278125,0.702875,,,4.11635,2.55397,2.47587,999,,,,"22182"
"Brandon Woodruff",,7,5,,3.29555,21,21,,,114.7,462,96,45,42,14,30,0,5,123,9.65126,2.35397,4.1,1.09852,0.266234,0.0649351,0.20129870623350143,0.224824,1.09852,0.282759,0.761278,,,3.61249,2.53608,3.06193,999,,,,"16162"
"Tyler Glasnow","LAD",10,5,,3.70161,23,23,,,124,505,105,55,51,19,39,0,0,149,10.8145,2.83065,3.82051,1.37903,0.29505,0.0772277,0.21782179921865463,0.225322,1.16129,0.288591,0.758092,,,3.7873,2.52643,2.46449,999,,,,"14374"
"Triston McKenzie","CLE",10,8,,3.54709,25,24,,,149.7,611,135,63,59,20,38,0,4,146,8.77756,2.28457,3.84211,1.2024,0.238953,0.0621931,0.17675940692424774,0.237258,1.15564,0.28536,0.758621,,,3.88296,2.51013,3.21317,999,,,,"18000"
"Kyle Bradish","BAL",10,7,,3.73744,28,28,,,149.3,624,133,66,62,16,50,0,6,141,8.49967,3.01407,2.82,0.964501,0.225962,0.0801282,0.1458333283662796,0.234155,1.22572,0.284672,0.728518,,,3.88465,2.50078,2.85183,999,,,,"24586"
"Grayson Rodriguez","BAL",7,6,,3.98454,28,28,,,142.3,593,125,67,63,18,42,0,6,149,9.42375,2.65636,3.54762,1.13844,0.251265,0.0708263,0.18043844401836395,0.229358,1.17358,0.283069,0.705219,,,3.81723,2.4954,2.28006,999,,,,"24492"
"Freddy Peralta","MIL",10,8,,3.93712,28,27,,,146.3,604,121,68,64,20,53,0,8,162,9.96582,3.26042,3.0566,1.23035,0.268212,0.0877483,0.18046358972787857,0.222836,1.18934,0.279778,0.726027,,,4.06844,2.45645,2.75603,999,,,,"18679"
"Drew Thorpe","SDP",9,7,,3.72315,22,22,,,125.7,518,112,56,52,15,35,0,0,117,8.37709,2.50597,3.34286,1.07399,0.225869,0.0675676,0.15830116719007492,0.231884,1.16945,0.276353,0.722222,,,3.7801,2.41579,2.28991,999,,,,"sa3020678"
"Jordan Montgomery",,8,8,,4.03247,27,27,,,154,655,153,74,69,21,47,0,4,142,8.2987,2.74675,3.02128,1.22727,0.216794,0.0717557,0.1450381726026535,0.253311,1.2987,0.29932,0.73857,,,4.17712,2.40845,2.66652,999,,,,"16511"
"Andrew Abbott","CIN",8,9,,4.34968,28,28,,,140.7,598,131,73,68,22,50,0,4,152,9.72281,3.19829,3.04,1.40725,0.254181,0.083612,0.1705685704946518,0.240809,1.28642,0.294595,0.719041,,,4.27849,2.37655,2.23463,999,,,,"29911"
"Tarik Skubal","DET",7,5,,3.62416,21,21,,,104.3,428,93,45,42,11,26,0,3,107,9.23298,2.24353,4.11538,0.949185,0.25,0.0607477,0.1892523355782032,0.233083,1.14094,0.291815,0.714286,,,3.40844,2.37614,2.23585,999,,,,"22267"
"Brayan Bello","BOS",11,10,,4.25887,27,26,,,143.7,627,148,73,68,16,50,0,4,130,8.14196,3.13152,2.6,1.00209,0.207337,0.0797448,0.12759171426296234,0.25829,1.37787,0.309133,0.711845,,,4.02052,2.33774,2.33434,999,,,,"23920"
"Joe Ryan","MIN",10,9,,4.10504,26,26,,,144.7,597,131,71,66,20,38,0,8,146,9.08086,2.36351,3.84211,1.24395,0.244556,0.0636516,0.18090452253818512,0.23775,1.16793,0.288312,0.695035,,,3.98759,2.27373,2.09237,999,,,,"21390"
"Patrick Sandoval","LAA",9,8,,4.01609,26,25,,,136.7,592,133,65,61,16,53,1,4,134,8.82224,3.48939,2.5283,1.0534,0.226351,0.089527,0.1368243247270584,0.248598,1.36064,0.303896,0.739609,,,4.06704,2.27347,2.39332,999,,,,"19447"
"Joe Musgrove","SDP",9,5,,3.54545,23,23,,,132,550,122,56,52,16,32,1,11,121,8.25,2.18182,3.78125,1.09091,0.22,0.0581818,0.16181818023324013,0.240631,1.16667,0.286486,0.744681,,,3.97474,2.23834,2.716,999,,,,"12970"
"Eduardo Rodriguez","ARI",10,8,,3.79688,23,23,,,128,550,129,58,54,15,41,0,2,123,8.64844,2.88281,3,1.05469,0.223636,0.0745455,0.14909090101718903,0.254438,1.32812,0.308943,0.751678,,,3.86442,2.20855,2.57835,999,,,,"13164"
"José Berríos","TOR",10,8,,4.23052,28,28,,,155.3,660,153,78,73,22,42,1,10,142,8.22923,2.434,3.38095,1.27495,0.215152,0.0636364,0.1515151560306549,0.251645,1.25563,0.295045,0.712546,,,4.27243,2.18864,2.05245,999,,,,"14168"
"Reid Detmers","LAA",6,7,,4.2,25,25,,,135,572,123,67,63,18,45,1,9,139,9.26667,3,3.08889,1.2,0.243007,0.0786713,0.16433566063642502,0.237452,1.24444,0.290859,0.707283,,,4.12911,2.16244,2.08881,999,,,,"27468"
"Tanner Bibee","CLE",8,7,,3.75,26,26,,,144,601,133,64,60,18,44,0,5,133,8.3125,2.75,3.02273,1.125,0.221298,0.0732113,0.1480865180492401,0.240942,1.22917,0.286783,0.744401,,,4.05365,2.141,2.72774,999,,,,"30134"
"Bryce Miller","SEA",8,6,,3.79157,26,26,,,135.3,559,124,61,57,16,33,0,7,118,7.84922,2.19512,3.57576,1.0643,0.211091,0.059034,0.1520572453737259,0.238921,1.16038,0.280519,0.713224,,,3.93501,2.12064,2.32312,999,,,,"29837"
"Braxton Garrett","MIA",7,7,,3.95455,26,25,,,132,565,133,62,58,16,37,0,8,120,8.18182,2.52273,3.24324,1.09091,0.212389,0.0654867,0.1469026505947113,0.255769,1.28788,0.304688,0.731707,,,4.03534,2.11794,2.43285,999,,,,"21844"
"Germán Márquez","COL",7,9,,4.80278,23,23,,,129.3,551,129,74,69,17,43,1,3,109,7.58701,2.99304,2.53488,1.18329,0.197822,0.0780399,0.1197822093963623,0.255446,1.33024,0.295515,0.661269,,,4.34553,2.09559,2.00815,999,,,,"15038"
"Brady Singer","KCR",7,9,,4.46715,25,24,,,137,593,137,73,68,16,42,0,9,125,8.21168,2.75912,2.97619,1.05109,0.210793,0.0708263,0.13996627926826477,0.252768,1.30657,0.301746,0.676884,,,4.06526,2.07592,1.76415,999,,,,"25377"
"MacKenzie Gore","WSN",7,7,,4.11207,24,23,,,116,497,105,57,53,15,46,0,3,128,9.93103,3.56897,2.78261,1.16379,0.257545,0.0925553,0.16498993337154388,0.234375,1.30172,0.295082,0.723077,,,3.99642,2.07431,1.87581,999,,,,"22201"
"Hunter Brown","HOU",11,8,,3.96355,27,22,,,131.7,560,117,62,58,15,49,0,5,133,9.08884,3.34852,2.71429,1.02506,0.2375,0.0875,0.14999999850988388,0.231225,1.26044,0.284916,0.717241,,,3.946,2.07322,2.1477,999,,,,"25880"
"Graham Ashcraft","CIN",6,8,,4.722,23,23,,,127.7,553,127,72,67,16,42,0,9,110,7.75255,2.96006,2.61905,1.12764,0.198915,0.0759494,0.12296564131975174,0.252988,1.32341,0.295213,0.661664,,,4.35919,2.04722,1.48233,999,,,,"27552"
"Alex Cobb","SFG",6,6,,4.1811,25,25,,,127,567,142,63,59,12,46,0,3,109,7.72441,3.25984,2.36957,0.850394,0.19224,0.0811287,0.111111119389534,0.274131,1.48031,0.327456,0.73014,,,3.92433,2.0254,1.72771,999,,,,"6562"
"Ranger Suárez","PHI",7,5,,4.05594,27,23,,,128.7,551,128,62,58,15,45,1,4,108,7.55245,3.14685,2.4,1.04895,0.196007,0.0816697,0.11433757841587067,0.25498,1.34421,0.298153,0.730263,,,4.23406,2.00434,2.18416,999,,,,"17277"
"Cristopher Sánchez","PHI",6,6,,4.36765,27,24,,,136,575,135,71,66,19,39,0,6,118,7.80882,2.58088,3.02564,1.25735,0.205217,0.0678261,0.13739130645990372,0.254717,1.27941,0.295165,0.698779,,,4.32857,1.99042,1.7696,999,,,,"20778"
"Trevor Rogers","MIA",6,8,,4.04873,22,22,,,106.7,457,102,51,48,12,35,1,5,108,9.10965,2.9522,3.08571,1.01218,0.236324,0.0765864,0.15973741561174393,0.244604,1.28397,0.30303,0.715474,,,3.81736,1.98826,1.88373,999,,,,"22286"
"Carlos Rodón","NYY",8,7,,4.03477,21,21,,,109.3,450,93,52,49,15,34,0,5,122,10.0457,2.79963,3.58824,1.23513,0.271111,0.0755556,0.19555554538965225,0.226277,1.16194,0.284672,0.707547,,,3.87718,1.98394,1.70784,999,,,,"16137"
"Dean Kremer","BAL",8,7,,3.89156,28,27,,,145.7,618,141,67,63,17,46,0,6,123,7.5978,2.84146,2.67391,1.0501,0.199029,0.0744337,0.12459547817707062,0.249117,1.28346,0.29108,0.735294,,,4.15415,1.97684,2.49373,999,,,,"19350"
"Bailey Ober","MIN",7,7,,3.98693,27,27,,,137.7,571,134,65,61,21,33,0,4,132,8.62745,2.15686,4,1.37255,0.231173,0.0577933,0.1733800359070301,0.250936,1.21278,0.296588,0.741279,,,4.1265,1.94411,2.25774,999,,,,"21224"
"Lucas Giolito","BOS",9,10,,4.5509,27,27,,,150.3,648,149,81,76,23,55,1,4,156,9.34132,3.29341,2.83636,1.37725,0.240741,0.0848765,0.1558642014861107,0.252971,1.35729,0.307317,0.715949,,,4.34619,1.90799,2.00505,999,,,,"15474"
"Gavin Stone","LAD",6,5,,4.35356,25,20,,,113.7,484,107,59,55,15,39,0,2,113,8.94459,3.08707,2.89744,1.18734,0.233471,0.0805785,0.15289256721735,0.241535,1.28408,0.292064,0.696,,,4.06419,1.90359,1.31175,999,,,,"27792"
"Johan Oviedo","PIT",8,10,,4.20382,29,25,,,141.3,609,129,71,66,17,57,0,10,136,8.66242,3.63057,2.38596,1.0828,0.223317,0.0935961,0.12972085177898407,0.238007,1.31635,0.287918,0.709001,,,4.31661,1.89987,2.1675,999,,,,"22487"
"Quinn Priester","PIT",7,9,,4.43382,27,24,,,136,588,130,72,67,15,50,0,9,116,7.67647,3.30882,2.32,0.992647,0.197279,0.085034,0.11224490404129028,0.245747,1.32353,0.288945,0.679245,,,4.28445,1.88602,1.73269,999,,,,"25977"
"Logan Allen","CLE",7,6,,3.89764,25,25,,,127,538,119,59,55,15,43,0,4,117,8.29134,3.04724,2.72093,1.06299,0.217472,0.0799256,0.13754647225141525,0.242363,1.27559,0.289694,0.730496,,,4.05819,1.8815,2.13119,999,,,,"27589"
"Chris Bassitt","TOR",10,8,,4.10204,24,24,,,147,623,146,72,67,20,41,1,10,123,7.53061,2.5102,3,1.22449,0.197432,0.0658106,0.13162119686603546,0.255245,1.27211,0.293706,0.72327,,,4.39109,1.87999,2.13148,999,,,,"12304"
"Robert Gasser","MIL",5,6,,4.1371,24,23,,,124,531,114,61,57,16,42,0,11,124,9,3.04839,2.95238,1.16129,0.233522,0.079096,0.15442561358213425,0.238494,1.25806,0.289941,0.711078,,,4.21472,1.87768,1.9886,999,,,,"sa3017310"
"Drew Rasmussen","TBR",7,4,,3.36264,22,17,,,91,371,79,36,34,8,25,0,2,85,8.40659,2.47253,3.4,0.791209,0.229111,0.0673854,0.16172506660223007,0.229651,1.14286,0.282869,0.732759,,,3.41988,1.87571,2.05067,999,,,,"25385"
"Sonny Gray","STL",7,6,,3.74165,25,25,,,134.7,566,127,60,56,16,44,0,6,113,7.55011,2.93987,2.56818,1.06904,0.199647,0.0777385,0.12190812081098557,0.246124,1.26949,0.286822,0.746972,,,4.235,1.86568,2.65263,999,,,,"12768"
"Andrew Painter","PHI",5,5,,4.37121,28,28,,,115.3,490,108,60,56,15,40,0,5,110,8.5863,3.12229,2.75,1.17086,0.22449,0.0816327,0.1428571417927742,0.242697,1.28361,0.290625,0.692913,,,4.20907,1.86549,1.54751,999,,,,"sa3017880"
"Garrett Whitlock","BOS",6,5,,3.80282,31,12,,,92.3,383,88,42,39,11,20,0,3,96,9.36078,1.95016,4.8,1.07259,0.250653,0.0522193,0.19843341037631035,0.244444,1.1701,0.304348,0.712743,,,3.47172,1.8626,1.75845,999,,,,"20191"
"Jon Gray","TEX",7,7,,4.43816,24,24,,,123.7,528,119,65,61,17,41,1,6,120,8.7308,2.98302,2.92683,1.23686,0.227273,0.0776515,0.14962121844291687,0.247401,1.29345,0.296512,0.697504,,,4.2413,1.84666,1.58475,999,,,,"14916"
"Taj Bradley","TBR",9,8,,3.94209,30,28,,,134.7,562,119,63,59,18,43,0,4,135,9.02004,2.87305,3.13953,1.20267,0.240214,0.0765125,0.16370107233524323,0.231068,1.20267,0.279006,0.723684,,,4.03455,1.84473,2.02787,999,,,,"22543"
"Louie Varland","MIN",7,7,,4.12587,27,22,,,128.7,544,124,63,59,17,37,0,5,121,8.46154,2.58741,3.27027,1.18881,0.222426,0.0680147,0.15441177040338516,0.247012,1.25097,0.293956,0.714286,,,4.07089,1.84277,1.82021,999,,,,"27691"
"David Peterson","NYM",6,6,,4.41396,28,23,,,120.3,533,115,63,59,14,54,0,6,131,9.8005,4.0399,2.42593,1.04738,0.245779,0.101313,0.14446528255939484,0.243129,1.40482,0.307927,0.709505,,,4.0863,1.83473,1.1895,999,,,,"20302"
"Richard Fitts","BOS",7,8,,4.44009,24,24,,,127.7,549,134,67,63,16,35,0,4,102,7.18872,2.46672,2.91429,1.12764,0.185792,0.0637523,0.12204007804393768,0.262745,1.32341,0.30102,0.695771,,,4.20257,1.82497,1.87791,999,,,,"sa3018182"
"Ricky Tiedemann","TOR",7,6,,3.88004,33,33,,,106.7,455,88,49,46,12,45,0,9,119,10.0375,3.79569,2.64444,1.01218,0.261538,0.0989011,0.1626373752951622,0.219451,1.24649,0.281481,0.722892,,,4.00481,1.82034,1.88427,999,,,,"sa3018096"
"Bryce Elder","ATL",8,7,,4.15941,27,27,,,149.3,641,146,74,69,18,54,0,8,125,7.53516,3.25519,2.31481,1.08506,0.195008,0.0842434,0.11076442897319794,0.252159,1.33958,0.293578,0.720824,,,4.39369,1.81574,2.44096,999,,,,"27779"
"Jared Jones","PIT",6,7,,4.28571,26,25,,,119.7,516,112,61,57,13,44,0,8,107,8.04511,3.30827,2.43182,0.977444,0.207364,0.0852713,0.12209301441907883,0.241379,1.30326,0.287791,0.689405,,,4.18236,1.81551,1.77859,999,,,,"sa3014459"
"Pierson Ohl","MIN",8,7,,3.97297,22,19,,,111,465,115,52,49,13,19,1,4,82,6.64865,1.54054,4.31579,1.05405,0.176344,0.0408602,0.13548386842012405,0.260181,1.20721,0.293948,0.708117,,,3.92171,1.79452,1.8275,999,,,,"sa3017977"
"Slade Cecconi","ARI",6,6,,4.0146,25,22,,,123.3,520,120,59,55,14,32,0,8,100,7.29927,2.33577,3.125,1.0219,0.192308,0.0615385,0.13076923415064812,0.25,1.23277,0.289617,0.702417,,,4.08229,1.78196,2.12381,999,,,,"27500"
"Roansy Contreras","PIT",4,6,,4.14706,26,19,,,102,429,93,50,47,12,34,1,3,98,8.64706,3,2.88235,1.05882,0.228438,0.0792541,0.14918415248394012,0.237245,1.2451,0.287234,0.69873,,,3.95112,1.74965,1.65071,999,,,,"22810"
"Mike Vasil","NYM",5,5,,4.32457,25,24,,,110.3,471,104,57,53,13,39,0,3,103,8.40435,3.18223,2.64103,1.06074,0.218684,0.0828025,0.13588109612464905,0.242424,1.29646,0.290735,0.689103,,,4.06193,1.7496,1.20583,999,,,,"sa3017915"
"Paul Skenes","PIT",4,6,,4.41101,23,23,,,116.3,480,109,61,57,13,39,0,0,88,6.80997,3.01806,2.25641,1.00602,0.183333,0.08125,0.10208334028720856,0.247166,1.27257,0.282353,0.670262,,,4.20087,1.7493,1.5661,999,,,,"sa3023079"
"Cole Ragans","KCR",6,7,,4.03477,30,18,,,109.3,465,100,52,49,12,41,0,3,109,8.9753,3.37603,2.65854,0.988106,0.234409,0.088172,0.14623656123876572,0.23753,1.29003,0.293333,0.716586,,,3.89548,1.74773,1.90059,999,,,,"21846"
"Bryan Woo","SEA",6,6,,4.04494,25,25,,,115.7,481,101,56,52,14,32,1,11,112,8.71219,2.4892,3.5,1.08902,0.232848,0.0665281,0.16632016003131866,0.230594,1.14952,0.278846,0.679012,,,4.00699,1.7163,1.5753,999,,,,"30279"
"Cade Cavalli","WSN",6,6,,4.18182,20,20,,,99,433,89,49,46,9,46,0,7,98,8.90909,4.18182,2.13043,0.818182,0.226328,0.106236,0.12009237706661224,0.234211,1.36364,0.29304,0.702614,,,4.06312,1.70493,1.57375,999,,,,"27473"
"Chris Paddack","MIN",6,6,,4.1402,20,19,,,91.3,383,89,45,42,12,21,1,2,91,8.97043,2.0701,4.33333,1.18291,0.237598,0.0548303,0.1827676258981228,0.247222,1.20482,0.299611,0.697425,,,3.72602,1.70247,1.28969,999,,,,"20099"
"Christian Scott","NYM",6,5,,4.15929,24,24,,,101.7,434,95,50,47,12,28,8,7,93,8.23009,2.47788,3.32143,1.06195,0.214286,0.0645161,0.149769589304924,0.238095,1.20944,0.282313,0.687382,,,3.9925,1.70179,1.38539,999,,,,"sa3017948"
"Cristian Mena","CHW",6,7,,4.40257,26,26,,,124.7,537,118,65,61,16,50,0,4,112,8.0834,3.60866,2.24,1.15477,0.208566,0.0931099,0.1154562458395958,0.244306,1.34723,0.287324,0.707418,,,4.42585,1.70161,1.56111,999,,,,"sa3015302"
"Frankie Montas","CIN",6,9,,4.74856,23,22,,,121.3,524,122,68,64,21,39,2,5,124,9.20033,2.89365,3.17949,1.55812,0.236641,0.0744275,0.1622137501835823,0.254167,1.32729,0.301493,0.706687,,,4.54935,1.68938,1.43372,999,,,,"14309"
"Coleman Crow","MIL",5,5,,4.04011,19,19,,,104.7,446,99,50,47,12,32,0,6,89,7.65043,2.75072,2.78125,1.03152,0.199552,0.0717489,0.12780268490314484,0.242647,1.25119,0.283388,0.709282,,,4.13374,1.68916,1.84261,999,,,,"sa3015142"
"Nestor Cortes","NYY",6,4,,3.94222,22,19,,,107.3,440,96,50,47,15,30,0,2,102,8.55545,2.51631,3.4,1.25815,0.231818,0.0681818,0.16363636404275894,0.235294,1.17428,0.278351,0.72381,,,4.06585,1.684,1.75384,999,,,,"17874"
"Dustin May","LAD",6,3,,3.54577,19,17,,,86.3,351,71,36,34,10,27,0,6,89,9.28158,2.81576,3.2963,1.04287,0.253561,0.0769231,0.1766381785273552,0.22327,1.13557,0.278539,0.738095,,,3.846,1.67803,1.93782,999,,,,"19716"
