Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",14,7,,3.33962,29,27,,,159,646,122,63,59,19,46,1,8,225,12.7358,2.60377,4.8913,1.07547,0.348297,0.0712074,0.27708977460861206,0.206081,1.0566,0.295977,0.742574,,,2.99718,4.53576,4.23618,999,,,,"27498"
"Logan Webb","SFG",13,8,,3.35132,30,30,,,185.3,762,176,74,69,16,39,0,7,160,7.77118,1.89423,4.10256,0.777118,0.209974,0.0511811,0.1587926484644413,0.24581,1.16028,0.296296,0.732087,,,3.39535,4.14734,4.47552,999,,,,"17995"
"Corbin Burnes","MIL",10,7,,3.44748,29,29,,,172.3,704,142,71,66,17,53,0,8,185,9.66338,2.76843,3.49057,0.887986,0.262784,0.0752841,0.1875,0.22084,1.13175,0.283447,0.724299,,,3.45237,4.1434,4.23511,999,,,,"19361"
"Aaron Nola","PHI",10,9,,4.01069,28,28,,,168.3,689,158,80,75,20,34,1,6,171,9.14438,1.81818,5.02941,1.06952,0.248186,0.0493469,0.19883890450000763,0.243451,1.14082,0.30131,0.682927,,,3.48083,4.12743,3.02724,999,,,,"16149"
"Sandy Alcantara","MIA",10,9,,3.59606,28,28,,,182.7,747,168,78,73,19,42,1,7,161,7.93103,2.06897,3.83333,0.935961,0.215529,0.0562249,0.15930388495326042,0.240688,1.14943,0.287645,0.719738,,,3.64913,3.77699,4.22271,999,,,,"18684"
"Yoshinobu Yamamoto","LAD",14,7,,3.54081,26,26,,,170.3,670,132,72,67,22,34,1,5,166,8.77275,1.79683,4.88235,1.16265,0.247761,0.0507463,0.1970149204134941,0.209192,0.97475,0.248307,0.695266,,,3.67195,3.70771,3.7821,999,,,,"sa3023345"
"Zack Wheeler","PHI",9,7,,3.7987,26,26,,,154,644,145,70,65,16,43,1,7,148,8.64935,2.51299,3.44186,0.935065,0.229814,0.0667702,0.16304347664117813,0.244108,1.22078,0.3,0.71256,,,3.65764,3.45567,3.10386,999,,,,"10310"
"Luis Castillo","SEA",11,8,,3.34145,28,28,,,164.3,672,139,65,61,17,48,1,6,169,9.25746,2.62934,3.52083,0.931223,0.251488,0.0714286,0.180059514939785,0.224919,1.13816,0.282407,0.747549,,,3.52893,3.37387,3.83974,999,,,,"15689"
"Pablo López","MIN",9,8,,3.77245,29,29,,,167,690,149,75,70,20,43,1,9,177,9.53892,2.31737,4.11628,1.07784,0.256522,0.0623188,0.19420289248228073,0.233542,1.1497,0.292517,0.713415,,,3.6263,3.33473,3.14622,999,,,,"17085"
"George Kirby","SEA",11,8,,3.47853,28,28,,,163,667,156,67,63,19,25,0,6,145,8.00613,1.38037,5.8,1.04908,0.217391,0.0374813,0.17991003766655922,0.245283,1.11043,0.290254,0.738342,,,3.56179,3.28158,3.52173,999,,,,"25436"
"Kevin Gausman","TOR",11,7,,3.67466,27,27,,,154.3,645,150,67,63,21,37,0,2,162,9.44913,2.15813,4.37838,1.22489,0.251163,0.0573643,0.1937984563410282,0.247525,1.21192,0.304965,0.761421,,,3.68278,3.20877,3.14728,999,,,,"14107"
"Dylan Cease","CHW",8,8,,4.00125,29,29,,,159.7,685,141,76,71,19,66,2,7,183,10.3131,3.71947,2.77273,1.07076,0.267153,0.0963504,0.17080292850732803,0.230392,1.29618,0.297561,0.726164,,,3.88121,3.13716,2.73316,999,,,,"18525"
"Walker Buehler","LAD",10,6,,3.61184,25,25,,,152,615,134,65,61,19,37,1,5,145,8.58553,2.19079,3.91892,1.125,0.235772,0.0601626,0.1756097562611103,0.233857,1.125,0.281174,0.734072,,,3.80109,3.07669,3.28948,999,,,,"19374"
"Zach Eflin","TBR",12,8,,3.55828,27,26,,,146.7,599,140,62,58,17,25,2,4,138,8.46626,1.53374,5.52,1.04294,0.230384,0.0417362,0.18864775076508522,0.245614,1.12474,0.296386,0.729462,,,3.47317,3.00663,2.94332,999,,,,"13774"
