Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Jazz Chisholm Jr.","MIA",137.7,606.717,547.549,134.447,79.2464,23.6773,3.8288,27.6944,77.9363,83.4708,47.5666,0,170.452,5.4605,4.4477,1.6932,,27.7627,10.0097,0.245543,0.0783999,0.280942,0.279061,0.309862,0.454507,0.327197,0.764369,0.208964,6.29217,0.301688,0.686,0.308482,78.3703,4.4453,104.031,0.994482,-3.634,4.024212539196014,-1.3389999866485596,2.32834,75.2699966430664,,,,"20454"
"Amed Rosario",,136.08,600.216,556.904,153.363,109.672,26.1078,6.6087,10.9739,71.4808,63.2472,30.611,0,106.369,4.8017,4.3661,3.5338,,14.6489,4.7794,0.275385,0.051,0.177217,0.287782,0.316375,0.405114,0.312412,0.721489,0.12973,5.97894,0.320748,0.216,-0.205397,70.1607,-2.97218,96.1136,0.0106032,1.757,-2.8318226290866733,5.644999980926514,2.31653,345.7300109863281,,,,"15518"
"Cedric Mullins","BAL",140.94,598.5,535.244,133.64,85.1062,27.3298,2.8172,18.3868,73.0382,66.377,49.9149,1.197,122.089,5.985,4.0446,3.3118,,27.1027,7.9137,0.249681,0.0834,0.203992,0.40884,0.318454,0.414324,0.317543,0.732778,0.164644,5.84464,0.288991,0.299,1.00309,72.5105,-0.41331,103.443,1.30209,-3.339,3.7709853649139404,-0.9900000095367432,2.30502,155.02000427246094,,,,"17929"
"Max Kepler","MIN",132.84,561.422,491.481,122.859,73.5725,24.7755,2.0654,22.4453,70.1938,74.4543,57.5458,0.5614,111.271,6.1756,4.3636,1.8559,,3.7002,1.5708,0.249976,0.1025,0.198196,0.517166,0.333437,0.445797,0.336504,0.779234,0.195821,3.4828,0.277287,-0.196,-0.976501,76.8589,8.45292,115.578,-1.1725,1.326,9.306827187538147,-5.31600022315979,2.30005,278.239990234375,,,,"12144"
"Byron Buxton","MIN",126.36,532.431,473.213,109.716,54.6565,25.3032,2.206,27.5503,68.5814,74.3029,45.8956,1.5973,158.29,7.454,3.6653,2.2036,,9.658,3.1002,0.231854,0.0862001,0.297296,0.289947,0.307539,0.469307,0.330327,0.776846,0.237454,4.89696,0.28232,0.9,-0.196819,70.1588,5.28516,111.297,0.703181,1.472,7.910114228725433,-3.1180001497268677,2.28173,281.67999267578125,,,,"14161"
"Christian Walker","ARI",150,646.147,570.672,145.965,84.9621,29.9328,1.9442,29.1263,83.8099,96.4929,63.0639,2.5846,133.309,7.1076,4.389,0.9141,,5.5802,2.3126,0.255778,0.0976,0.206314,0.473066,0.334975,0.468159,0.343705,0.803135,0.212381,3.70436,0.28316,0.349,-1.03547,92.3222,13.593,115.321,-0.686466,1.759,11.577987432479858,-10.794000506401062,2.27266,93.0199966430664,,,,"13419"
"Yoán Moncada","CHW",144.18,620.405,551.385,137.934,89.0187,29.3277,1.4034,18.1843,69.0318,72.1596,56.9532,1.2408,168.834,6.2041,4.3746,1.4882,,2.6524,1.1368,0.250159,0.0918,0.272135,0.337332,0.324909,0.407377,0.31887,0.732285,0.157218,2.85808,0.324753,0.261,-1.11231,75.8479,0.255205,101.062,-0.851313,0.541,-0.0618627667427063,1.593999981880188,2.25471,377.20001220703125,,,,"17232"
"Thairo Estrada","SFG",139.32,616.453,561.463,146.114,98.388,27.9475,2.3683,17.4104,75.1777,68.5137,35.7543,0.6165,121.557,11.0962,4.4315,3.7081,,22.2643,8.0685,0.260238,0.058,0.197187,0.294137,0.314918,0.411478,0.314815,0.726396,0.151239,5.39598,0.301465,0.912,-0.067007,73.2886,-1.82258,99.9309,0.844993,-1.92,0.7922160439193249,0.7259999513626099,2.24503,134.22000122070312,,,,"16426"
"TJ Friedl","CIN",134.46,609.858,534.352,136.335,87.61,23.2849,6.1964,19.2433,84.9426,64.9881,55.863,1.2197,107.886,10.3676,3.9865,5.2895,,21.9456,7.3934,0.25514,0.0916,0.176903,0.517798,0.335057,0.429946,0.331682,0.765003,0.174805,6.54246,0.284749,1.061,0.0925654,81.0476,6.73995,102.378,1.15357,-3.569,2.9499692916870117,-1.3280000686645508,2.23298,156.32000732421875,,,,"19522"
"DJ LeMahieu","NYY",136.08,618.213,538.12,138.161,98.14,23.0144,2.1171,14.8899,80.295,59.7938,66.087,1.2364,116.664,4.9457,4.0081,5.0524,,5.0849,1.9095,0.256748,0.1069,0.188712,0.566471,0.341173,0.390396,0.32213,0.731569,0.133647,3.89828,0.300242,-1.218,-1.08295,77.2537,1.92796,106.384,-2.30095,0.229,2.4280178546905518,-1.282999962568283,2.20868,362.04998779296875,,,,"9874"
