Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",152,688,585,178,99,34,2,43,140,116,88,4,114,11,4,0,9,51,10,0.304274,0.127907,0.165698,0.77193,0.402616,0.589744,0.417273,0.99236,0.28547,6.82681,0.3125,,4.48443,140.338,56.5093,163.455,4.48443,1.8,58.56861972808838,-5.700000047683716,7.60856,1,,,,"18401"
"Juan Soto","NYY",152,660,523,144,85,25,1,33,101,103,131,13,108,3,3,0,16,11,4,0.275335,0.198485,0.163636,1.21296,0.421212,0.516252,0.398931,0.937465,0.240918,3.72213,0.288312,,-1.07557,124.573,44.1555,159.617,-1.07557,-2.6,46.070253014564514,-9.875132083892822,5.84536,10.970000267028809,,,,"20123"
"Aaron Judge","NYY",128,552,461,125,65,20,0,40,89,101,84,9,149,3,4,0,11,5,1,0.27115,0.152174,0.269928,0.563758,0.384058,0.574837,0.399217,0.958895,0.303688,3.02278,0.307971,,-0.523911,104.319,37.0611,159.815,-0.523911,6.4,39.03821164369583,0.31534385681152344,5.79441,12.279999732971191,,,,"15640"
"Mookie Betts","LAD",143,649,550,153,87,33,2,31,112,100,86,3,101,8,5,0,5,12,3,0.278182,0.132512,0.155624,0.851485,0.380586,0.514545,0.381823,0.895131,0.236364,4.98755,0.288416,,-0.237746,113.275,34.1984,143.48,-0.237746,-3.1,34.720627918839455,-0.7153732776641846,5.5951,5.170000076293945,,,,"13611"
"Fernando Tatis Jr.","SDP",142,624,555,149,79,32,2,36,102,101,60,2,141,4,4,1,12,26,4,0.268468,0.0961538,0.225962,0.425532,0.341894,0.527928,0.367266,0.869822,0.259459,6.07416,0.295812,,2.42527,101.368,25.3373,136.561,2.42527,9.2,30.688319444656372,2.321692943572998,5.41095,8.25,,,,"19709"
"Julio Rodríguez","SEA",152,673,613,168,103,31,2,32,100,104,48,5,157,10,2,0,11,34,9,0.274062,0.0713224,0.233284,0.305732,0.33581,0.487765,0.350165,0.823575,0.213703,6.01455,0.319249,,1.7993,99.77,17.7688,128.036,1.7993,4.5,24.407343983650208,6.9728100299835205,5.40927,2.890000104904175,,,,"23697"
"Adley Rutschman","BAL",135,578,497,132,79,34,1,18,77,69,72,3,88,5,4,0,8,2,1,0.265594,0.124567,0.152249,0.818182,0.361592,0.44668,0.350084,0.808272,0.181087,2.87034,0.288608,,-1.20096,85.6473,15.2214,125.997,-1.20096,5,16.803915143013,15.618753433227539,5.19136,54.61000061035156,,,,"26288"
"José Ramírez","CLE",150,649,571,158,90,38,4,26,90,95,68,16,76,4,6,0,8,22,5,0.276708,0.104777,0.117103,0.894737,0.354391,0.49387,0.35413,0.848262,0.217163,5.75248,0.277895,,1.16466,98.3488,19.2719,128.61,1.16466,4.1,23.4126113653183,6.484626531600952,5.18008,14.670000076293945,,,,"13510"
"Trea Turner","PHI",148,655,601,174,112,34,4,24,98,85,45,1,128,5,4,0,12,27,2,0.289517,0.0687023,0.19542,0.351562,0.341985,0.479201,0.351308,0.821186,0.189684,6.66296,0.331126,,3.31532,97.7231,17.9151,120.117,3.31532,1.5,19.6392822265625,8.720017433166504,5.05247,12,,,,"16252"
"Francisco Lindor","NYM",150,646,569,144,89,27,3,25,92,89,61,2,121,9,6,1,10,20,4,0.253076,0.0944272,0.187307,0.504132,0.331783,0.442882,0.333637,0.774665,0.189807,5.81297,0.277389,,1.10198,86.8997,8.18835,113.356,1.10198,8.3,11.790737509727478,15.420811653137207,4.90746,25.719999313354492,,,,"12916"
"Yordan Alvarez","HOU",134,567,483,144,76,30,2,36,92,109,70,7,112,9,5,0,12,1,1,0.298137,0.123457,0.197531,0.625,0.393298,0.592133,0.410798,0.985431,0.293996,2.98507,0.317647,,-1.36244,112.607,43.5217,166.633,-1.36244,0,43.90710258483887,-14.583333015441895,4.84508,17.579999923706055,,,,"19556"
"Corey Seager","TEX",126,556,492,145,87,31,1,26,81,84,54,7,88,5,5,0,11,2,1,0.294715,0.0971223,0.158273,0.613636,0.366906,0.520325,0.374044,0.887232,0.22561,2.90227,0.310705,,-1.09309,93.4512,25.7059,137.888,-1.09309,-0.6,24.148054003715515,5.528747916221619,4.84302,19.690000534057617,,,,"13624"
"Gunnar Henderson","BAL",152,640,561,146,86,27,7,26,103,93,68,1,158,6,5,0,7,12,4,0.26025,0.10625,0.246875,0.43038,0.34375,0.472371,0.349843,0.816121,0.212121,6.32465,0.314136,,-0.513427,94.7065,16.7262,125.831,-0.513427,4.8,19.294848442077637,7.15155816078186,4.80548,33.810001373291016,,,,"26289"
"Alex Bregman","HOU",148,650,552,147,91,32,2,22,91,88,85,2,81,8,5,0,17,2,1,0.266304,0.130769,0.124615,1.04938,0.369231,0.451087,0.356338,0.820318,0.184783,3.12517,0.27533,,-1.42441,99.6924,20.4937,128.886,-1.42441,1.3,21.072972536087036,3.688300848007202,4.67132,105.72000122070312,,,,"17678"
"Andrés Giménez","CLE",152,585,523,142,96,27,4,15,71,71,33,3,109,22,3,4,9,25,5,0.271511,0.0564103,0.186325,0.302752,0.339071,0.424474,0.3313,0.763545,0.152964,6.32638,0.31592,,1.74925,77.5583,6.27951,112.786,1.74925,14.1,10.711308717727661,16.249471187591553,4.67043,105.11000061035156,,,,"19950"
"Austin Riley","ATL",152,655,582,164,96,32,2,34,96,103,55,3,156,11,7,0,14,2,1,0.281787,0.0839695,0.238168,0.352564,0.351145,0.5189,0.368058,0.870045,0.237113,3.20146,0.325815,,-1.24719,106.835,27.0268,130.462,-1.24719,-1.5,23.47085726261139,0.906672477722168,4.65542,19.940000534057617,,,,"18360"
"Marcus Semien","TEX",152,698,626,166,101,36,3,26,106,93,66,1,110,3,3,0,7,11,2,0.265176,0.0945559,0.157593,0.6,0.336676,0.456869,0.341659,0.793545,0.191693,5.22525,0.283976,,0.0536781,98.545,13.4978,115.441,0.0536781,7.4,12.96807624772191,9.900000095367432,4.64516,31,,,,"12533"
"Will Smith","LAD",134,555,471,122,75,24,2,21,74,78,61,3,94,14,9,0,10,2,1,0.259023,0.10991,0.169369,0.648936,0.354955,0.452229,0.347447,0.807184,0.193206,3.21998,0.276712,,-1.15473,81.0238,13.4003,120.435,-1.15473,4.5,12.895475029945374,14.696208000183105,4.6363,85.11000061035156,,,,"19197"
"Corbin Carroll","ARI",148,636,556,151,95,27,9,20,98,87,60,2,137,13,3,4,5,39,5,0.271583,0.0943396,0.215409,0.437956,0.35443,0.460432,0.351468,0.814862,0.188849,8.43171,0.325871,,4.41056,94.9727,17.4798,120.525,4.41056,9.9,20.582632541656494,2.8894176483154297,4.5006,4.139999866485596,,,,"25878"
"Freddie Freeman","LAD",149,664,578,173,107,39,2,25,109,94,73,11,107,9,4,0,11,14,1,0.299308,0.10994,0.161145,0.682243,0.384036,0.50346,0.376506,0.887496,0.204152,5.3387,0.328889,,1.00641,112.961,32.0567,139.915,1.00641,-0.3,33.84068048000336,-12.498706638813019,4.38329,9.390000343322754,,,,"5361"
"Sean Murphy","ATL",126,484,418,106,58,25,1,22,64,72,49,1,111,14,3,0,13,0,1,0.253589,0.10124,0.229339,0.441441,0.349174,0.476077,0.355088,0.82525,0.222488,2.19395,0.291667,,-1.34669,73.7301,14.7575,121.767,-1.34669,6.6,11.704769253730774,15.491828441619873,4.35577,143.97000122070312,,,,"19352"
"Bobby Witt Jr.","KCR",152,670,615,169,101,35,7,26,97,97,41,1,127,6,7,1,9,35,10,0.274797,0.061194,0.189552,0.322835,0.32287,0.481301,0.34124,0.804171,0.206504,7.17767,0.304904,,1.64657,94.3589,12.7233,113.385,1.64657,0.6,12.392239689826965,7.985361695289612,4.30196,2.559999942779541,,,,"25764"
"Bo Bichette","TOR",150,657,614,179,119,34,2,24,90,93,37,0,127,3,3,0,14,11,4,0.291531,0.0563166,0.193303,0.291339,0.333333,0.470684,0.344707,0.804017,0.179153,4.53223,0.332618,,-0.713427,94.4194,14.3678,121.367,-0.713427,-2.7,16.10684186220169,4.542063474655151,4.28497,37.86000061035156,,,,"19612"
"Kyle Tucker","HOU",152,626,550,151,84,35,4,28,87,102,68,6,95,2,6,0,10,23,4,0.274545,0.108626,0.151757,0.715789,0.353035,0.505455,0.362343,0.85849,0.230909,5.86952,0.284065,,1.77133,99.1336,22.8591,133.048,1.77133,1.6,26.560195684432983,-5.300352931022644,4.24086,6.639999866485596,,,,"18345"
"Dansby Swanson","CHC",149,633,566,144,92,28,2,22,85,77,58,1,153,5,4,0,8,9,3,0.254417,0.0916272,0.241706,0.379085,0.327014,0.427562,0.326809,0.754576,0.173145,4.46039,0.308861,,-0.652823,81.5611,4.43377,105.185,-0.652823,10.5,3.413074791431427,17.477513313293457,4.23299,127.08000183105469,,,,"18314"
"Willy Adames","MIL",149,622,553,138,76,33,1,28,82,89,63,2,161,3,3,0,11,5,3,0.249548,0.101286,0.258842,0.391304,0.327974,0.464738,0.339401,0.792712,0.21519,3.34052,0.299728,,-1.34495,86.6487,10.8616,112.435,-1.34495,5.1,8.237018823623657,11.956261157989502,4.1261,189.38999938964844,,,,"15986"
"Manny Machado","SDP",141,603,540,145,90,28,1,26,80,92,55,5,110,2,6,0,15,6,2,0.268519,0.0912106,0.182421,0.5,0.334992,0.468519,0.341432,0.80351,0.2,3.65155,0.290244,,-0.738284,85.0188,11.5468,119.242,-0.738284,4.6,13.635789394378662,6.815608263015747,4.08731,73.27999877929688,,,,"11493"
