"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","SO","WHIP","playerid"
"Tanner Rainey","WSN","0","2","9.42","19","0","0","0","0","1","14.1","73","16","16","15","3","14","1","0","0","20","2.09","17610"
"Wade LeBlanc","BAL","0","1","9.45","6","1","0","0","0","0","6.2","33","11","7","7","1","1","0","1","2","6","1.80","5221"
"Amir Garrett","CIN","0","1","9.56","19","0","0","0","2","2","16.0","74","17","17","17","7","12","2","0","1","17","1.81","14375"
"Anthony Swarzak","ARI","0","1","9.64","6","0","0","0","0","0","4.2","21","7","5","5","1","1","0","0","0","4","1.71","7466"
"Jeremy Beasley","TOR","0","1","9.64","4","0","0","0","0","0","4.2","23","5","6","5","2","4","2","0","0","7","1.93","20205"
"Josh Lindblom","MIL","0","0","9.72","8","0","0","0","0","0","16.2","85","23","18","18","5","10","0","3","3","17","1.98","7882"
"Alex Blandino","CIN","0","0","9.82","4","0","0","0","0","0","3.2","18","4","5","4","1","4","0","0","0","1","2.18","16271"
"Hector Santiago","SEA","0","0","10.13","1","0","0","0","0","0","2.2","12","3","3","3","0","1","0","0","0","2","1.50","4026"
"Joe Jimenez","DET","0","0","10.13","10","0","0","0","0","0","8.0","42","5","9","9","1","12","0","2","2","12","2.13","15761"
"Jaime Barria","LAA","0","0","10.50","2","0","0","0","0","0","6.0","28","7","7","7","0","5","0","0","0","1","2.00","18356"
"Wyatt Mills","SEA","0","0","10.80","8","0","0","0","0","0","8.1","44","13","10","10","1","6","0","1","1","8","2.28","20010"
"Nate Pearson","TOR","0","1","11.57","1","1","0","0","0","0","2.1","16","4","3","3","0","5","0","0","0","0","3.86","20160"
"Aaron Fletcher","SEA","0","0","12.27","4","0","0","0","0","0","3.2","20","7","5","5","1","1","0","0","0","2","2.18","22052"
"Yency Almonte","COL","1","1","12.56","18","0","0","0","0","2","14.1","73","19","20","20","5","12","0","2","2","12","2.16","15068"
"Luis Avilan","WSN","0","1","12.60","4","0","0","0","0","0","5.0","27","7","7","7","1","3","0","1","0","4","2.00","2882"
"Buck Farmer","DET","0","0","12.66","12","0","0","0","0","1","10.2","56","15","15","15","6","9","0","0","1","10","2.25","14814"
"Tyler Webb","STL","0","0","13.22","22","0","0","0","0","0","16.1","92","22","26","24","1","19","1","0","1","14","2.51","14974"
"Mike Kickham","LAD","0","0","13.50","1","0","0","0","0","0","2.0","12","5","3","3","1","1","0","1","0","2","3.00","11618"
"Brady Lail","SEA","0","0","13.50","2","0","0","0","0","0","2.0","10","4","3","3","1","0","0","0","0","1","2.00","14707"
"Enyel De Los Santos","PHI","0","1","13.50","3","0","0","0","0","1","2.0","11","3","4","3","0","1","0","1","1","2","2.00","18403"
