"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","SO","WHIP","playerid"
"Jose Suarez","LAA","2","0","2.00","3","0","0","0","0","0","9.0","37","7","2","2","1","4","0","0","0","8","1.22","19911"
"Scott Barlow","KCR","2","1","2.00","25","0","0","0","1","1","27.0","115","20","6","6","0","12","0","2","2","41","1.19","14993"
"Justin Steele","CHC","2","0","2.03","11","0","0","0","0","0","13.1","56","7","4","3","2","7","2","2","0","21","1.05","17312"
"Jeurys Familia","NYM","2","0","2.04","19","0","0","0","1","1","17.2","81","19","5","4","0","9","0","0","0","20","1.58","5114"
"Liam Hendriks","CHW","1","1","2.05","23","0","0","0","13","2","22.0","86","15","7","5","4","3","1","0","0","36","0.82","3548"
"John Means","BAL","4","1","2.05","11","11","1","1","0","0","70.1","263","43","16","16","11","13","0","1","1","68","0.80","16269"
"Ryan Weathers","SDP","2","2","2.06","12","7","0","0","1","0","39.1","152","27","9","9","5","12","0","1","0","29","0.99","23796"
"Joe Musgrove","SDP","4","4","2.08","11","10","1","1","0","0","60.2","236","34","16","14","6","12","1","7","0","79","0.76","12970"
"Chris Martin","ATL","0","1","2.08","9","0","0","0","0","0","8.2","34","6","2","2","0","1","1","1","0","6","0.81","11847"
"Albert Abreu","NYY","0","0","2.08","4","0","0","0","0","0","8.2","32","2","2","2","1","4","0","0","3","10","0.69","17485"
"Cal Quantrill","CLE","0","1","2.08","18","1","0","0","0","0","30.1","126","28","7","7","2","11","0","2","2","25","1.29","19312"
"Paul Fry","BAL","0","1","2.08","22","0","0","0","1","2","21.2","85","12","5","5","0","10","0","0","2","32","1.02","15832"
"Jake Brentz","KCR","1","0","2.10","27","0","0","0","0","0","25.2","109","13","7","6","2","17","1","0","1","29","1.17","17783"
"Kyle Funkhouser","DET","0","0","2.13","9","0","0","0","0","0","12.2","48","6","4","3","1","4","0","1","3","11","0.79","19456"
"Andrew Chafin","CHC","0","1","2.13","27","0","0","0","0","1","25.1","100","14","6","6","1","9","1","2","1","25","0.91","12988"
"Yu Darvish","SDP","5","1","2.16","11","11","0","0","0","0","66.2","263","46","18","16","6","16","0","6","4","79","0.93","13074"
"Ryan Thompson","TBR","3","2","2.16","25","0","0","0","0","3","25.0","101","18","8","6","2","8","2","2","1","25","1.04","16647"
"Jonathan Loaisiga","NYY","4","2","2.20","23","0","0","0","2","1","28.2","112","22","9","7","2","7","0","2","3","25","1.01","19753"
"Corbin Burnes","MIL","2","4","2.24","9","9","0","0","0","0","52.1","198","31","14","13","2","7","0","4","1","81","0.73","19361"
"Kyle Gibson","TEX","3","0","2.24","10","10","0","0","0","0","60.1","239","42","16","15","3","19","0","2","2","48","1.01","10123"
"Trevor Bauer","LAD","6","3","2.24","12","12","1","0","0","0","76.1","294","40","22","19","13","23","0","3","3","96","0.83","12703"
"Miles Mikolas","STL","0","0","2.25","1","1","0","0","0","0","4.0","17","3","1","1","0","1","0","1","0","3","1.00","9803"
"Aaron Northcraft","SDP","1","0","2.25","5","0","0","0","0","0","8.0","34","5","2","2","1","8","0","0","0","5","1.63","10218"
"Reyes Moronta","SFG","0","0","2.25","4","0","0","0","0","0","4.0","13","1","1","1","1","0","0","0","0","2","0.25","14966"
"Paolo Espino","WSN","0","1","2.25","10","1","0","0","0","0","16.0","59","10","4","4","2","2","0","0","0","10","0.75","8246"
"Ryan Pressly","HOU","2","1","2.25","22","0","0","0","8","1","24.0","94","21","8","6","1","4","1","0","1","25","1.04","7005"
"Chris Rodriguez","LAA","2","0","2.30","8","0","0","0","0","0","15.2","65","9","4","4","0","8","0","3","1","17","1.09","22310"
"Scott Alexander","LAD","0","2","2.31","13","0","0","0","0","1","11.2","45","7","4","3","1","1","0","1","1","5","0.69","10591"
"JT Chargois","SEA","0","0","2.31","11","0","0","0","0","1","11.2","44","7","3","3","1","2","0","2","1","12","0.77","13767"
"Kyle Zimmer","KCR","3","0","2.33","17","0","0","0","2","0","19.1","72","9","5","5","1","9","0","0","4","18","0.93","14169"
"Max Scherzer","WSN","4","4","2.34","11","11","1","0","0","0","69.1","260","43","20","18","11","14","0","3","0","95","0.82","3137"
"Lucas Luetge","NYY","2","0","2.36","19","0","0","0","0","0","26.2","103","21","9","7","3","3","0","0","2","27","0.90","8337"
"Austin Adams","SDP","2","0","2.37","23","0","0","0","0","1","19.0","84","11","8","5","0","9","0","9","0","29","1.05","13801"
"Freddy Peralta","MIL","5","1","2.38","11","10","1","0","0","0","56.2","223","28","15","15","6","24","0","3","3","83","0.92","18679"
"Tim Hill","SDP","3","2","2.38","26","0","0","0","0","0","22.2","96","18","13","6","4","7","4","1","0","26","1.10","16814"
"Genesis Cabrera","STL","1","1","2.39","26","0","0","0","0","1","26.1","114","18","8","7","1","15","1","3","5","30","1.25","17490"
"Jimmy Nelson","LAD","1","1","2.41","16","1","0","0","0","1","18.2","77","11","6","5","0","11","0","1","4","30","1.18","10547"
"Victor Gonzalez","LAD","2","0","2.41","23","0","0","0","1","1","18.2","79","13","5","5","1","9","0","2","1","18","1.18","16408"
"Robert Gsellman","NYM","0","0","2.42","13","0","0","0","0","0","22.1","91","18","8","6","1","6","0","1","0","14","1.07","13696"
"Emilio Pagan","SDP","3","0","2.45","24","0","0","0","0","1","22.0","89","15","6","6","4","8","0","1","0","28","1.05","14771"
"Giovanny Gallegos","STL","3","1","2.45","26","0","0","0","1","4","33.0","124","17","9","9","2","8","1","3","4","39","0.76","14986"
"Ryan Buchter","ARI","0","0","2.45","3","0","0","0","0","0","3.2","16","3","1","1","1","2","1","0","0","5","1.36","9456"
"Ryan Tepera","CHC","0","0","2.45","26","0","0","0","1","2","25.2","96","12","7","7","2","6","0","2","1","30","0.70","10291"
"Nestor Cortes","NYY","0","0","2.45","1","0","0","0","0","0","3.2","18","3","2","1","0","4","0","0","0","3","1.91","17874"
"Drew Steckenrider","SEA","2","1","2.45","14","0","0","0","0","0","18.1","72","11","5","5","0","8","0","1","0","21","1.04","18806"
"Jordan Sheffield","COL","0","0","2.45","18","0","0","0","0","0","18.1","72","10","5","5","1","7","0","2","3","15","0.93","19682"
"Antonio Santos","COL","0","1","2.45","2","0","0","0","0","0","3.2","14","3","2","1","0","2","0","0","0","2","1.36","20383"
"Daniel Hudson","WSN","4","1","2.49","21","0","0","0","0","1","21.2","84","12","6","6","2","7","0","0","1","30","0.88","7146"
"Dinelson Lamet","SDP","1","0","2.50","7","5","0","0","0","0","18.0","78","19","6","5","1","7","0","0","1","21","1.44","17186"
"Zack Wheeler","PHI","4","2","2.52","11","11","1","1","0","0","75.0","290","54","22","21","6","16","0","3","2","92","0.93","10310"
"Jordan Holloway","MIA","1","2","2.55","8","2","0","0","0","0","17.2","73","11","6","5","0","10","0","0","1","14","1.19","20631"
"Kent Emanuel","HOU","1","0","2.55","10","0","0","0","0","0","17.2","68","12","5","5","4","4","0","1","0","13","0.91","15849"
"Aaron Loup","NYM","1","0","2.57","18","0","0","0","0","2","14.0","57","15","7","4","0","2","0","1","0","16","1.21","10343"
"Mitch White","LAD","0","0","2.61","9","0","0","0","0","2","10.1","48","10","10","3","1","5","1","0","1","10","1.45","19225"
"Hyun-Jin Ryu","TOR","5","2","2.62","10","10","0","0","0","0","58.1","232","53","18","17","6","8","0","0","0","58","1.05","14444"
"Taylor Widener","ARI","1","0","2.63","5","5","0","0","0","0","24.0","104","20","9","7","4","8","1","3","1","20","1.17","19266"
"Matt Barnes","BOS","1","1","2.63","23","0","0","0","12","1","24.0","85","11","7","7","2","5","0","0","1","41","0.67","12863"
"Marcus Stroman","NYM","4","4","2.64","12","12","0","0","0","0","64.2","260","56","24","19","7","13","1","2","4","52","1.07","13431"
"Miguel Castro","NYM","2","1","2.66","22","2","0","0","0","2","23.2","99","16","8","7","2","12","0","1","4","31","1.18","15684"
"Tyler Glasnow","TBR","4","2","2.69","12","12","0","0","0","0","77.0","298","46","23","23","10","25","0","0","6","106","0.92","14374"
"Nabil Crismatt","SDP","1","1","2.70","12","0","0","0","0","0","23.1","101","22","10","7","2","9","2","4","3","24","1.33","17732"
"Luis Garcia","HOU","4","3","2.72","11","9","0","0","0","0","53.0","213","36","17","16","8","17","1","3","1","60","1.00","23735"
"Shohei Ohtani","LAA","1","1","2.72","7","7","0","0","0","0","36.1","154","19","13","11","3","26","0","3","4","50","1.24","19755"
"J.P. Feyereisen","- - -","1","2","2.73","27","0","0","0","3","3","26.1","103","14","10","8","3","13","0","0","1","27","1.03","16610"
"Trent Thornton","TOR","1","1","2.73","17","3","0","0","0","0","26.1","111","24","14","8","5","10","1","2","2","27","1.29","17948"
"Dustin May","LAD","1","1","2.74","5","5","0","0","0","0","23.0","93","16","8","7","4","6","0","1","0","35","0.96","19716"
"Craig Stammen","SDP","3","1","2.76","23","0","0","0","1","1","32.2","130","27","10","10","5","5","0","1","0","39","0.98","7274"
"Wander Suero","WSN","0","0","2.76","18","0","0","0","0","0","16.1","63","13","5","5","2","3","0","0","3","18","0.98","15855"
"Keynan Middleton","SEA","0","0","2.76","16","0","0","0","4","0","16.1","62","6","5","5","1","8","0","2","0","13","0.86","15264"
"Josh Staumont","KCR","0","1","2.78","21","0","0","0","5","0","22.2","96","14","8","7","1","13","1","2","1","25","1.19","18335"
"Joel Payamps","TOR","0","2","2.78","17","0","0","0","0","0","22.2","90","18","8","7","3","8","2","1","0","13","1.15","14332"
"Ross Detwiler","MIA","1","0","2.79","20","2","0","0","0","0","19.1","82","11","6","6","0","10","0","2","0","24","1.09","2859"
"Lou Trivino","OAK","2","2","2.81","24","0","0","0","7","2","25.2","107","18","11","8","2","14","2","1","4","24","1.25","15043"
"Walker Buehler","LAD","4","0","2.82","11","11","0","0","0","0","70.1","272","54","23","22","11","13","1","1","1","70","0.95","19374"
"Pablo Lopez","MIA","1","3","2.82","12","12","0","0","0","0","67.0","272","58","23","21","7","19","1","2","2","68","1.15","17085"
"Dylan Floro","MIA","2","2","2.82","25","0","0","0","1","2","22.1","96","20","8","7","0","7","0","0","0","19","1.21","13394"
"Taylor Rogers","MIN","2","2","2.82","20","0","0","0","4","2","22.1","91","22","9","7","3","4","1","0","1","31","1.16","13449"
"Drew Smith","NYM","2","1","2.84","6","1","0","0","0","0","6.1","28","6","3","2","1","2","2","1","0","7","1.26","17755"
"Michael King","NYY","0","2","2.86","8","1","0","0","0","0","22.0","98","19","9","7","2","10","0","3","1","20","1.32","19853"
"Yimi Garcia","MIA","3","4","2.86","23","0","0","0","9","2","22.0","91","18","9","7","3","7","3","1","0","23","1.14","12095"
"Sam Howard","PIT","2","2","2.89","26","0","0","0","0","0","18.2","78","9","6","6","3","15","0","0","2","28","1.29","16265"
"Jack Flaherty","STL","8","1","2.90","11","11","0","0","0","0","62.0","255","44","27","20","7","20","1","6","4","67","1.03","17479"
"James Karinchak","CLE","2","2","2.92","26","0","0","0","7","1","24.2","101","12","10","8","3","13","0","1","2","44","1.01","20151"
"Austin Voth","WSN","2","0","2.93","18","0","0","0","0","0","27.2","110","22","9","9","5","10","2","1","0","27","1.16","15047"
"Spencer Turnbull","DET","4","2","2.93","8","8","1","1","0","0","46.0","187","35","17","15","1","12","0","5","0","40","1.02","16207"
"Burch Smith","OAK","0","0","2.93","11","0","0","0","0","0","15.1","60","13","5","5","1","3","0","0","2","13","1.04","12784"
"James Kaprielian","OAK","2","0","2.95","4","4","0","0","0","0","21.1","90","15","7","7","3","9","0","2","0","22","1.13","18331"
"Cody Poteet","MIA","2","1","2.95","4","4","0","0","0","0","21.1","82","14","7","7","2","4","0","0","0","19","0.84","18769"
"Adam Ottavino","BOS","2","2","2.95","24","0","0","0","2","3","21.1","95","13","9","7","0","16","0","2","2","28","1.36","1247"
"Clay Holmes","PIT","1","0","2.96","23","0","0","0","0","0","24.1","102","20","9","8","1","7","0","3","4","24","1.11","13649"
"Lance McCullers Jr.","HOU","3","1","2.96","9","9","0","0","0","0","51.2","214","34","17","17","5","26","0","4","3","59","1.16","14120"
"Josh Fleming","TBR","5","3","2.98","9","4","0","0","0","0","45.1","179","35","15","15","5","12","1","2","0","28","1.04","20418"
"Ryne Harper","WSN","0","0","3.00","2","0","0","0","0","0","3.0","12","2","1","1","0","1","0","0","0","2","1.00","12680"
"Zack Burdi","CHW","0","0","3.00","1","0","0","0","0","0","3.0","13","3","2","1","1","1","0","0","0","3","1.33","19159"
"Luis Cessa","NYY","1","0","3.00","17","0","0","0","0","0","21.0","90","15","11","7","1","13","1","0","0","23","1.33","13345"
"Louis Head","TBR","0","0","3.00","6","0","0","0","0","0","9.0","35","5","3","3","0","4","0","1","1","4","1.00","13259"
"Phil Bickford","- - -","0","0","3.00","7","0","0","0","0","0","6.0","27","5","3","2","1","2","1","2","0","8","1.17","18519"
"Darren O'Day","NYY","0","0","3.00","10","0","0","0","0","0","9.0","38","8","3","3","1","2","0","1","0","9","1.11","3321"
"Steve Cishek","LAA","0","0","3.00","25","0","0","0","0","0","24.0","105","20","12","8","0","13","2","1","3","26","1.38","6483"
"Jose Urquidy","HOU","4","2","3.02","9","9","0","0","0","0","50.2","199","40","17","17","6","10","0","1","2","42","0.99","18413"
"Huascar Ynoa","ATL","4","2","3.02","9","8","0","0","0","0","44.2","179","36","16","15","7","11","0","1","2","50","1.05","20468"
"Corey Kluber","NYY","4","3","3.04","10","10","1","1","0","0","53.1","220","41","21","18","5","23","0","3","3","55","1.20","2429"
"Zac Gallen","ARI","1","1","3.04","5","5","1","1","0","0","26.2","115","18","10","9","1","14","0","2","1","32","1.20","19291"
"Diego Castillo","TBR","2","2","3.05","20","0","0","0","8","2","20.2","86","17","8","7","4","8","2","0","1","28","1.21","17496"
"David Bednar","PIT","0","0","3.05","23","0","0","0","0","0","20.2","84","16","7","7","3","7","0","0","0","27","1.11","19569"
"Hirokazu Sawamura","BOS","1","0","3.05","20","0","0","0","0","0","20.2","93","21","11","7","4","9","2","1","2","26","1.45","27515"
"Carlos Estevez","COL","0","0","3.07","15","0","0","0","2","1","14.2","58","12","6","5","2","4","0","0","2","16","1.09","14542"
"Shane Bieber","CLE","6","3","3.08","12","12","0","0","0","0","79.0","329","65","29","27","9","29","0","3","4","117","1.19","19427"
"Cristian Javier","HOU","3","1","3.08","10","9","0","0","0","0","52.2","210","31","18","18","8","23","0","3","2","62","1.03","17606"
"Kyle McGowin","WSN","0","0","3.09","10","0","0","0","0","0","11.2","49","6","4","4","1","6","1","1","1","7","1.03","15071"
"Tyler Chatwood","TOR","0","2","3.10","19","0","0","0","0","1","20.1","83","11","7","7","0","14","0","1","0","24","1.23","4338"
"Yusmeiro Petit","OAK","7","0","3.10","27","0","0","0","1","1","29.0","114","26","10","10","1","5","0","0","0","20","1.07","4020"
"Rex Brothers","CHC","1","0","3.12","21","0","0","0","1","0","17.1","75","11","6","6","1","10","0","3","1","30","1.21","9794"
"Jose Ruiz","CHW","0","1","3.13","21","0","0","0","0","0","23.0","94","17","9","8","2","7","1","0","1","23","1.04","14552"
"Aaron Sanchez","SFG","1","1","3.18","6","6","0","0","0","0","28.1","122","24","10","10","2","10","0","4","0","24","1.20","11490"
"Justin Dunn","SEA","1","2","3.18","9","9","0","0","0","0","45.1","192","27","16","16","5","27","0","3","1","45","1.19","19268"
"Darwinzon Hernandez","BOS","0","2","3.18","20","0","0","0","0","1","17.0","81","12","8","6","1","16","0","1","3","25","1.65","19848"
"Edwin Diaz","NYM","1","1","3.22","21","0","0","0","10","1","22.1","89","18","9","8","0","7","1","2","0","29","1.12","14710"
"Tanner Scott","BAL","2","3","3.22","27","0","0","0","0","0","22.1","104","17","10","8","1","19","1","1","6","31","1.61","17586"
"Ryne Stanek","HOU","0","1","3.24","26","0","0","0","1","1","25.0","106","13","11","9","4","16","2","3","2","33","1.16","15947"
"Nate Jones","- - -","0","2","3.24","17","0","0","0","0","1","16.2","73","11","9","6","4","10","4","1","1","10","1.26","4696"
"Ervin Santana","KCR","0","1","3.26","9","2","0","0","0","0","19.1","78","16","7","7","3","5","0","0","0","12","1.09","3200"
"Wade Miley","CIN","5","4","3.26","9","9","1","1","0","0","49.2","206","42","18","18","3","14","0","0","1","40","1.13","8779"
"Domingo German","NYY","4","3","3.27","10","10","0","0","0","0","55.0","221","47","21","20","11","10","0","1","1","52","1.04","17149"
"Ian Anderson","ATL","4","2","3.27","10","10","0","0","0","0","55.0","231","47","20","20","6","22","0","1","2","59","1.25","19951"
"Joakim Soria","ARI","0","1","3.27","12","0","0","0","0","0","11.0","49","13","5","4","1","4","0","0","1","9","1.55","6941"
"Nick Sandlin","CLE","0","0","3.27","9","0","0","0","0","0","11.0","41","4","4","4","0","4","0","1","0","13","0.73","20517"
"Blake Treinen","LAD","1","2","3.27","23","0","0","0","2","2","22.0","94","21","10","8","2","6","1","2","1","26","1.23","12572"
"Gregory Soto","DET","3","1","3.27","25","0","0","0","5","0","22.0","102","21","10","8","2","16","1","0","8","25","1.68","19677"
"Casey Mize","DET","3","3","3.28","10","10","1","0","0","0","57.2","234","44","21","21","7","20","0","6","1","47","1.11","20492"
"Aaron Civale","CLE","7","2","3.28","11","11","0","0","0","0","74.0","292","61","28","27","10","18","0","2","2","54","1.07","19479"
"Adam Cimber","MIA","1","1","3.28","23","0","0","0","0","0","24.2","102","23","11","9","0","7","2","3","0","17","1.22","15288"
"Chris Stratton","PIT","1","0","3.29","21","0","0","0","0","1","27.1","112","25","11","10","3","8","0","0","2","25","1.21","13761"
"Rich Hill","TBR","4","2","3.32","11","11","0","0","0","0","57.0","227","39","21","21","7","19","0","5","0","60","1.02","4806"
"Caleb Smith","ARI","2","1","3.32","20","2","0","0","0","1","38.0","165","32","16","14","4","17","1","3","0","42","1.29","14875"
"Clayton Kershaw","LAD","7","4","3.33","12","12","0","0","0","0","70.1","278","55","27","26","8","13","0","2","4","77","0.97","2036"
"Deolis Guerra","OAK","1","1","3.33","16","0","0","0","0","0","24.1","95","14","13","9","2","9","0","0","1","24","0.95","8410"
"Michael Fulmer","DET","4","3","3.34","20","4","0","0","4","1","35.0","151","33","16","13","4","10","0","3","1","35","1.23","13218"
"Jose Berrios","MIN","5","2","3.36","11","11","0","0","0","0","64.1","258","53","26","24","7","17","0","4","1","69","1.09","14168"
"Sean Manaea","OAK","4","2","3.36","12","12","2","2","0","0","69.2","287","70","26","26","7","16","0","1","3","70","1.23","15873"
"Kolby Allard","TEX","1","1","3.38","11","1","0","0","0","0","24.0","100","21","9","9","4","7","0","0","2","27","1.17","18694"
"Chasen Shreve","PIT","0","0","3.38","10","0","0","0","0","0","8.0","32","6","3","3","3","3","0","0","0","9","1.13","10855"
"Kyle Ryan","CHC","0","0","3.38","3","0","0","0","0","0","2.2","15","5","1","1","0","2","0","0","0","2","2.63","11753"
"Sam Clay","WSN","0","0","3.38","20","0","0","0","0","0","16.0","73","18","7","6","1","7","1","1","2","12","1.56","16279"
"Michael Pineda","MIN","3","3","3.40","9","9","0","0","0","0","47.2","192","39","20","18","9","12","0","0","0","48","1.07","5372"
"Tyler Mahle","CIN","4","2","3.42","11","11","0","0","0","0","55.1","228","45","22","21","7","19","0","2","0","64","1.16","16358"
"Hansel Robles","MIN","1","1","3.42","24","0","0","0","4","2","23.2","100","15","11","9","1","15","1","1","1","25","1.27","11801"
"Brad Boxberger","MIL","2","1","3.43","23","0","0","0","1","0","21.0","85","13","9","8","3","5","1","3","2","21","0.86","10133"
"Hunter Strickland","- - -","0","0","3.43","20","0","0","0","0","0","21.0","94","23","11","8","4","9","0","0","1","19","1.52","7836"
"Collin McHugh","TBR","0","1","3.44","13","3","0","0","0","0","18.1","80","20","9","7","1","7","1","1","2","28","1.47","7531"
"Mychal Givens","COL","2","2","3.44","20","0","0","0","0","1","18.1","78","14","8","7","4","10","2","2","2","19","1.31","10430"
"Johnny Cueto","SFG","4","1","3.45","8","8","0","0","0","0","44.1","180","47","17","17","2","6","0","2","0","36","1.20","6893"
"Jake Diekman","OAK","2","1","3.47","24","0","0","0","6","2","23.1","101","19","11","9","3","10","1","1","2","32","1.24","5003"
"Alex Wood","SFG","5","3","3.48","9","9","0","0","0","0","51.2","209","43","20","20","6","15","1","3","2","52","1.12","13781"
"Aaron Bummer","CHW","0","3","3.48","22","0","0","0","1","4","20.2","92","19","11","8","2","12","1","1","1","28","1.50","16258"
"Jeffrey Springs","TBR","4","1","3.51","23","0","0","0","2","1","25.2","102","21","13","10","5","6","0","0","2","32","1.05","17677"
"Junior Fernandez","STL","0","0","3.52","4","0","0","0","0","0","7.2","32","5","3","3","0","6","0","0","1","3","1.43","18496"
"John Curtiss","MIA","2","1","3.52","20","1","0","0","0","0","23.0","97","25","10","9","3","3","0","1","0","27","1.22","16128"
"Jake Woodford","STL","1","0","3.52","9","0","0","0","0","0","15.1","68","13","6","6","1","8","0","3","2","15","1.37","18674"
"Chris Bassitt","OAK","5","2","3.53","12","12","1","1","0","0","74.0","302","60","29","29","6","17","0","7","2","80","1.04","12304"
"Brent Suter","MIL","5","3","3.54","20","1","0","0","0","2","28.0","118","27","14","11","3","8","1","0","0","25","1.25","13942"
"Brad Hand","WSN","2","2","3.54","20","0","0","0","9","2","20.1","88","17","11","8","3","9","2","3","0","20","1.28","9111"
"Richard Bleier","MIA","2","0","3.54","23","0","0","0","0","3","20.1","77","17","8","8","4","0","0","0","1","19","0.84","7803"
"Martin Perez","BOS","3","2","3.55","10","10","0","0","0","0","50.2","217","48","22","20","4","17","0","6","1","48","1.28","6902"
"Edwin Uceta","LAD","0","2","3.55","7","1","0","0","0","0","12.2","53","11","8","5","2","4","0","0","0","13","1.18","20539"
"Anthony DeSclafani","SFG","4","2","3.56","11","11","1","1","0","0","60.2","250","50","24","24","7","20","1","0","2","54","1.15","13050"
"Robbie Ray","TOR","3","2","3.57","10","10","0","0","0","0","58.0","238","52","24","23","14","15","0","1","3","69","1.16","11486"
"Demarcus Evans","TEX","0","1","3.60","3","0","0","0","0","1","5.0","21","3","2","2","1","3","0","0","1","7","1.20","21087"
"Nivaldo Rodriguez","HOU","0","0","3.60","2","0","0","0","0","0","5.0","20","4","2","2","2","2","0","0","0","3","1.20","22449"
"Luis Patino","TBR","1","1","3.60","5","3","0","0","0","0","15.0","62","12","7","6","2","4","0","2","1","19","1.07","22815"
"Brad Brach","CIN","0","0","3.60","5","0","0","0","0","0","5.0","21","5","2","2","1","1","0","0","1","7","1.20","6627"
"Hunter Wood","TEX","0","0","3.60","5","0","0","0","0","0","5.0","19","2","2","2","1","2","0","0","1","5","0.80","15091"
"Julio Urias","LAD","7","2","3.61","11","11","0","0","0","0","67.1","265","55","29","27","8","9","2","3","0","75","0.95","14765"
"Adbert Alzolay","CHC","4","4","3.62","10","10","0","0","0","0","54.2","213","39","22","22","9","11","0","3","0","58","0.91","17859"
"Sam Coonrod","PHI","0","2","3.63","21","0","0","0","2","3","22.1","94","21","9","9","4","5","1","1","2","24","1.16","17264"
"Josh Sborz","TEX","3","2","3.63","23","0","0","0","1","0","22.1","93","18","11","9","1","7","0","0","2","28","1.12","18323"
"Pierce Johnson","SDP","1","2","3.63","21","0","0","0","0","1","17.1","71","12","7","7","1","8","1","0","2","27","1.15","13435"
"Jose Alvarado","PHI","4","0","3.63","21","0","0","0","2","1","17.1","84","12","7","7","1","17","2","4","4","26","1.67","17780"
"Sonny Gray","CIN","1","4","3.64","9","9","0","0","0","0","47.0","204","43","21","19","8","20","1","1","8","60","1.34","12768"
"Kwang-hyun Kim","STL","1","3","3.65","8","8","0","0","0","0","37.0","165","40","18","15","3","12","0","1","0","33","1.41","27458"
"Sean Doolittle","CIN","3","0","3.66","22","0","0","0","1","2","19.2","84","18","8","8","3","9","1","0","0","28","1.37","1581"
"Greg Holland","KCR","2","1","3.66","21","0","0","0","3","2","19.2","92","19","9","8","4","14","0","0","2","23","1.68","7196"
"Anthony Bass","MIA","1","3","3.66","23","0","0","0","0","4","19.2","83","14","10","8","2","9","2","3","0","16","1.17","7982"
"Zack Greinke","HOU","5","2","3.67","12","12","0","0","0","0","73.2","294","68","30","30","9","15","0","1","2","57","1.13","1943"
"Sandy Alcantara","MIA","2","5","3.68","12","12","0","0","0","0","71.0","286","56","31","29","8","20","2","3","2","68","1.07","18684"
"Joe Mantiply","ARI","0","1","3.68","8","0","0","0","0","1","7.1","35","9","5","3","0","4","0","1","0","7","1.77","14857"
"Jon Gray","COL","4","5","3.71","11","11","0","0","0","0","60.2","257","50","32","25","6","25","1","2","1","50","1.24","14916"
"Cody Reed","TBR","0","1","3.72","12","0","0","0","0","0","9.2","42","8","5","4","1","6","0","1","0","7","1.45","15232"
"Lucas Giolito","CHW","5","4","3.73","11","11","0","0","0","0","62.2","258","47","29","26","10","24","0","0","4","78","1.13","15474"
"JT Brubaker","PIT","4","4","3.74","10","10","0","0","0","0","55.1","237","53","23","23","10","13","0","7","0","56","1.19","17578"
"Garrett Richards","BOS","4","4","3.75","11","11","0","0","0","0","60.0","258","59","27","25","5","30","0","1","4","52","1.48","9784"
"Nick Pivetta","BOS","6","1","3.77","11","11","0","0","0","0","59.2","248","45","26","25","4","28","0","2","2","68","1.22","15454"
"Alex Cobb","LAA","3","2","3.78","7","7","0","0","0","0","33.1","143","33","17","14","1","12","0","2","0","43","1.35","6562"
"Dylan Cease","CHW","3","2","3.79","11","11","1","1","0","0","54.2","238","47","24","23","5","27","0","3","5","68","1.35","18525"
"Trevor May","NYM","2","2","3.79","21","0","0","0","1","2","19.0","83","21","11","8","3","6","1","0","4","25","1.42","6398"
"Patrick Sandoval","LAA","0","1","3.80","6","3","0","0","1","0","21.1","92","21","9","9","4","10","0","2","0","17","1.45","19447"
"Alex Young","ARI","2","4","3.80","24","0","0","0","0","2","23.2","104","21","12","10","5","13","3","0","0","25","1.44","18333"
"Aaron Nola","PHI","4","4","3.84","12","12","1","1","0","0","70.1","292","67","31","30","8","15","1","4","0","78","1.17","16149"
"Lewis Thorpe","MIN","0","2","3.86","4","3","0","0","0","0","14.0","58","13","9","6","1","4","0","0","1","5","1.21","15906"
"Logan Webb","SFG","4","3","3.86","10","9","0","0","0","0","49.0","207","46","23","21","4","17","0","4","1","54","1.29","17995"
"Miguel Yajure","PIT","0","1","3.86","2","2","0","0","0","0","9.1","34","5","4","4","2","3","0","0","0","8","0.86","21111"
"Alek Manoah","TOR","1","0","3.86","2","2","0","0","0","0","9.1","40","6","4","4","3","5","0","1","0","12","1.18","26410"
"Adrian Houser","MIL","3","5","3.86","11","10","0","0","0","0","53.2","226","47","26","23","9","23","0","1","4","48","1.30","12718"
"Tyler Matzek","ATL","0","2","3.86","22","0","0","0","0","0","21.0","90","16","10","9","2","12","0","0","3","31","1.33","10058"
"Adrian Morejon","SDP","0","0","3.86","2","2","0","0","0","0","4.2","20","5","2","2","2","2","0","0","0","3","1.50","20039"
"Yusei Kikuchi","SEA","3","3","3.88","10","10","0","0","0","0","62.2","248","45","27","27","11","20","0","1","1","61","1.04","20633"
"Matthew Boyd","DET","2","6","3.90","11","11","0","0","0","0","62.1","261","55","29","27","6","18","0","5","4","51","1.17","15440"
"Jorge Alcala","MIN","1","1","3.92","21","0","0","0","0","1","20.2","74","11","9","9","5","6","0","1","0","17","0.82","19459"
"Jordan Montgomery","NYY","3","1","3.92","11","11","0","0","0","0","59.2","242","52","28","26","7","15","0","2","2","59","1.12","16511"
"Tony Watson","LAA","2","2","3.93","20","0","0","0","0","2","18.1","73","14","9","8","3","6","0","0","0","13","1.09","3132"
"Kyle Finnegan","WSN","2","0","3.97","24","0","0","0","0","0","22.2","102","23","10","10","3","13","1","0","2","25","1.59","15009"
"Brandon Bielak","HOU","2","2","3.97","13","0","0","0","0","1","22.2","98","20","14","10","1","8","0","1","2","17","1.24","19866"
