jo"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Julio Avendano","","0","0","7.89","0","1","0","1.0","1","1","0","1","1","2.26","5.27","9.79","7.95","0.0","0.0","999.0","sa3008039"
"Jacob Voss","","0","0","7.90","0","1","0","1.0","1","1","0","1","1","2.32","5.57","10.60","8.10","0.0","0.0","999.0","sa3007619"
"Javier Vasquez","Royals","0","0","7.95","0","1","0","1.0","1","1","0","1","1","2.31","5.39","10.59","8.08","0.0","0.0","999.0","sa3005873"
"Miguel Maiz","","0","0","7.77","0","1","0","1.0","1","1","0","1","1","2.23","5.00","9.51","7.92","0.0","0.0","999.0","sa3006165"
"Eli Moron","Dodgers","0","0","7.73","0","1","0","1.0","1","1","0","0","1","2.12","4.15","8.06","7.92","0.0","0.0","999.0","sa3008689"
"Alfredo Castaneda","Padres","0","0","7.94","0","1","0","1.0","1","1","0","1","1","2.28","4.95","9.97","8.11","0.0","0.0","999.0","sa3006120"
"Eliezer Rodriguez","Marlins","0","0","7.35","0","1","0","1.0","1","1","0","1","1","2.27","4.96","10.11","7.76","0.0","0.0","999.0","sa3003064"
"Juan Polanco","Tigers","0","0","8.03","0","1","0","1.0","1","1","0","0","1","2.24","4.39","9.20","8.11","0.0","0.0","999.0","sa3009719"
"Miguel Paulino","","0","0","7.96","0","1","0","1.0","1","1","0","1","1","2.29","4.91","9.99","8.11","0.0","0.0","999.0","sa917672"
"Jose Valencia","","0","0","7.96","0","1","0","1.0","1","1","0","1","1","2.27","4.93","9.77","8.11","0.0","0.0","999.0","sa3007962"
"Manuel Manzanillo","","0","0","7.97","0","1","0","1.0","1","1","0","1","1","2.28","5.25","10.03","8.11","0.0","0.0","999.0","sa3002920"
"Roaldo Carvajal","","0","0","7.98","0","1","0","1.0","1","1","0","0","1","2.22","4.25","8.93","7.97","0.0","0.0","999.0","sa3006503"
"Axel Acevedo","Dodgers","0","0","7.73","0","1","0","1.0","1","1","0","0","1","2.11","4.29","8.09","7.93","0.0","0.0","999.0","sa3005833"
"Stephen Greenlees","","0","0","7.77","0","1","0","1.0","1","1","0","1","1","2.33","5.27","10.65","8.12","0.0","0.0","999.0","sa3004774"
"Yangely De La Cruz","Rangers","0","0","7.98","0","1","0","1.0","1","1","0","1","1","2.26","4.71","9.61","8.12","0.0","0.0","999.0","sa3005440"
"Jesus E. Sanchez","Marlins","0","0","7.56","0","1","0","1.0","1","1","0","1","1","2.20","5.23","9.48","7.77","0.0","0.0","999.0","sa917897"
"Juan Martinez","Royals","0","0","8.09","0","1","0","1.0","1","1","0","0","1","2.33","4.21","10.07","8.10","0.0","0.0","999.0","sa3009219"
"Junior Matias","Royals","0","0","8.06","0","1","0","1.0","1","1","0","1","1","2.32","4.90","10.31","8.10","0.0","0.0","999.0","sa3005832"
