jo"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Jacob deGrom","Mets","14","9","3.01","32","32","0","201.0","154","67","24","266","52","1.03","11.96","2.35","2.97","5.8","5.7","7.5","10954"
"Shane Bieber","Indians","14","9","3.23","31","31","0","195.0","163","70","24","246","47","1.08","11.36","2.19","3.14","5.3","5.7","9.6","19427"
"Gerrit Cole","Yankees","15","9","3.53","32","32","0","201.0","163","79","30","265","57","1.09","11.83","2.56","3.46","5.3","5.0","6.9","13125"
"Max Scherzer","Nationals","12","9","3.81","29","29","0","179.0","151","76","29","224","50","1.13","11.25","2.54","3.76","4.0","3.9","29.5","3137"
"Yu Darvish","Padres","13","9","3.70","31","31","0","189.0","160","78","26","230","58","1.15","10.92","2.76","3.60","4.0","3.8","18.1","13074"
"Luis Castillo","Reds","11","11","3.82","31","31","0","187.0","165","79","25","217","69","1.25","10.45","3.31","3.82","3.8","4.0","27.3","15689"
"Trevor Bauer","","12","11","4.09","32","32","0","203.0","183","92","30","229","71","1.25","10.17","3.15","4.10","3.8","3.6","16.2","12703"
"Tyler Glasnow","Rays","11","9","3.58","28","28","0","163.0","130","65","20","209","64","1.19","11.56","3.55","3.54","3.6","3.7","53.6","14374"
"Brandon Woodruff","Brewers","10","10","3.85","29","29","0","175.0","156","75","25","196","57","1.21","10.05","2.92","3.91","3.5","3.5","36.5","16162"
"Aaron Nola","Phillies","11","11","4.10","31","31","0","190.0","176","87","27","208","69","1.29","9.83","3.28","4.10","3.4","3.2","24.0","16149"
"Walker Buehler","Dodgers","12","9","3.85","29","29","0","176.0","157","75","26","197","51","1.18","10.12","2.62","3.88","3.4","3.1","21.1","19374"
"Carlos Carrasco","Mets","11","9","3.68","29","29","0","174.0","154","71","24","198","52","1.18","10.23","2.70","3.76","3.3","3.3","69.2","6632"
"German Marquez","Rockies","11","12","4.44","31","31","0","192.0","194","95","30","186","57","1.31","8.71","2.69","4.33","3.1","3.8","161.9","15038"
"Clayton Kershaw","Dodgers","12","9","3.78","29","29","0","178.0","169","75","26","182","45","1.20","9.20","2.25","3.92","3.1","3.3","35.6","2036"
"Framber Valdez","Astros","11","7","3.56","26","26","0","152.0","139","60","14","156","62","1.32","9.23","3.64","3.74","3.0","3.2","95.1","17295"
"Lance Lynn","White Sox","12","11","4.24","31","31","0","191.0","180","90","31","202","63","1.27","9.48","2.95","4.35","3.0","2.8","52.6","2520"
"Jose Berrios","Twins","12","10","4.26","31","31","0","188.0","177","89","28","193","62","1.27","9.27","2.97","4.27","3.0","3.2","87.8","14168"
"Charlie Morton","Braves","11","9","3.94","29","29","0","168.0","156","74","21","175","56","1.26","9.38","2.99","3.96","3.0","3.1","126.4","4676"
"Jesus Luzardo","Athletics","10","8","3.88","26","26","0","151.0","139","65","19","155","51","1.26","9.26","3.07","3.98","3.0","2.7","104.3","19959"
"Lance McCullers Jr.","Astros","11","8","3.82","28","28","0","161.0","151","68","18","164","58","1.30","9.17","3.26","3.88","2.9","3.0","126.6","14120"
"Blake Snell","Padres","11","8","3.62","28","28","0","151.0","127","61","19","182","58","1.23","10.84","3.46","3.71","2.9","3.1","46.3","13543"
"Lucas Giolito","White Sox","11","10","4.07","29","29","0","172.0","150","78","27","203","65","1.25","10.59","3.38","4.19","2.9","2.9","20.3","15474"
"Hyun-Jin Ryu","Blue Jays","12","9","4.16","29","29","0","179.0","182","83","26","160","47","1.28","8.04","2.39","4.21","2.9","3.0","77.1","14444"
"Masahiro Tanaka","","10","10","4.27","29","29","0","166.0","169","79","27","151","40","1.26","8.16","2.18","4.33","2.9","2.5","312.0","15764"
"Kenta Maeda","Twins","11","10","4.31","29","29","0","172.0","162","82","27","179","58","1.28","9.41","3.02","4.32","2.8","2.8","46.4","18498"
"Stephen Strasburg","Nationals","10","10","4.37","28","28","0","163.0","160","79","26","161","50","1.29","8.91","2.74","4.36","2.8","2.4","72.4","10131"
"Sonny Gray","Reds","10","11","4.26","29","29","0","168.0","158","80","23","181","70","1.36","9.70","3.74","4.25","2.8","2.7","63.4","12768"
"Kevin Gausman","Giants","10","10","3.97","29","29","0","170.0","158","75","23","178","52","1.24","9.41","2.77","3.94","2.7","2.8","137.9","14107"
"Patrick Corbin","Nationals","11","11","4.37","31","31","0","190.0","192","93","30","181","62","1.33","8.54","2.94","4.44","2.7","2.7","139.5","9323"
"Corey Kluber","Rangers","10","8","4.17","26","26","0","156.0","151","72","25","160","42","1.24","9.28","2.44","4.18","2.7","2.7","228.7","2429"
"Jack Flaherty","Cardinals","11","11","4.08","31","31","0","182.0","163","82","27","204","66","1.26","10.08","3.27","4.16","2.7","3.0","30.4","17479"
"Dinelson Lamet","Padres","9","7","3.76","24","24","0","137.0","113","57","19","176","51","1.19","11.50","3.31","3.73","2.6","2.6","70.9","17186"
"Kyle Hendricks","Cubs","11","12","4.42","31","31","0","193.0","204","95","30","155","43","1.28","7.23","2.02","4.46","2.6","2.5","87.6","12049"
"Max Fried","Braves","11","10","3.99","29","29","0","171.0","167","76","20","160","64","1.36","8.41","3.38","4.17","2.6","3.0","62.3","13743"
"Zack Wheeler","Phillies","10","11","4.42","29","29","0","181.0","181","89","29","168","54","1.30","8.34","2.71","4.46","2.5","2.4","92.3","10310"
"Joe Musgrove","Padres","11","10","4.25","29","29","0","169.0","167","80","26","161","50","1.28","8.52","2.64","4.33","2.5","2.2","148.7","12970"
"Andrew Heaney","Angels","11","10","4.40","29","29","0","172.0","164","84","30","177","52","1.26","9.27","2.74","4.50","2.5","2.4","210.1","15423"
"Zack Greinke","Astros","12","10","4.36","31","31","0","191.0","199","92","32","166","42","1.26","7.83","1.97","4.40","2.5","2.5","114.8","1943"
"Chris Sale","Red Sox","7","4","3.35","16","16","0","93.0","75","35","12","120","25","1.07","11.62","2.39","3.29","2.5","2.6","242.8","10603"
"Nathan Eovaldi","Red Sox","10","8","4.10","26","26","0","149.0","142","68","22","153","45","1.25","9.25","2.69","4.08","2.5","2.9","237.8","9132"
"Zac Gallen","Diamondbacks","9","10","4.29","28","28","0","165.0","153","78","24","178","63","1.31","9.70","3.43","4.24","2.4","2.5","40.0","19291"
"Corbin Burnes","Brewers","9","9","4.10","26","26","0","148.0","130","68","22","168","61","1.29","10.20","3.73","4.21","2.3","2.5","63.9","19361"
"Marco Gonzales","Mariners","9","12","4.49","29","29","0","180.0","189","90","31","142","47","1.31","7.07","2.33","4.75","2.3","2.1","160.1","15467"
"Marcus Stroman","Mets","10","10","4.16","29","29","0","170.0","175","78","21","137","59","1.37","7.28","3.10","4.32","2.3","2.1","207.5","13431"
"Dane Dunning","Rangers","8","10","4.59","26","26","0","149.0","150","76","23","136","56","1.39","8.22","3.40","4.63","2.3","2.5","287.2","19409"
"Kyle Gibson","Rangers","9","12","4.61","29","29","0","174.0","183","89","25","148","67","1.43","7.64","3.45","4.67","2.3","2.8","501.4","10123"
"Matthew Boyd","Tigers","9","11","4.61","29","29","0","172.0","167","88","32","177","55","1.29","9.27","2.87","4.63","2.3","2.4","322.9","15440"
"Eduardo Rodriguez","Red Sox","10","8","4.26","26","26","0","152.0","144","72","22","159","58","1.33","9.40","3.45","4.30","2.2","2.6","228.8","13164"
"Sean Manaea","Athletics","10","10","4.38","28","28","0","161.0","166","78","24","138","45","1.31","7.72","2.52","4.39","2.2","1.9","234.2","15873"
"Mike Minor","Royals","10","11","4.64","29","29","0","178.0","180","92","29","156","59","1.34","7.91","3.00","4.70","2.2","2.4","292.3","10021"
"Michael Pineda","Twins","10","10","4.67","28","28","0","159.0","165","83","28","143","42","1.30","8.07","2.37","4.62","2.2","2.0","234.0","5372"
"Frankie Montas","Athletics","9","9","4.30","26","26","0","145.0","141","69","20","140","51","1.32","8.70","3.18","4.28","2.2","1.9","159.2","14309"
"James Paxton","","9","9","4.22","26","26","0","142.0","133","66","22","146","48","1.27","9.24","3.06","4.31","2.1","2.3","261.1","11828"
"Luis Severino","Yankees","7","5","3.88","18","18","0","101.0","92","44","15","112","30","1.21","9.93","2.70","3.92","2.1","2.1","373.2","15890"
"Spencer Turnbull","Tigers","8","11","4.64","28","28","0","156.0","157","81","21","145","64","1.41","8.36","3.68","4.53","2.1","2.0","355.9","16207"
"Dallas Keuchel","White Sox","11","11","4.49","31","31","0","185.0","203","92","26","131","62","1.44","6.37","3.03","4.72","2.1","2.1","191.4","9434"
"Pablo Lopez","Marlins","9","11","4.20","28","28","0","160.0","158","75","22","144","51","1.30","8.12","2.85","4.29","2.1","2.0","132.3","17085"
"Sixto Sanchez","Marlins","8","9","4.13","24","24","0","138.0","136","63","18","123","44","1.31","8.03","2.89","4.20","2.0","1.8","130.9","19680"
"Robbie Ray","Blue Jays","10","10","4.57","29","29","0","163.0","141","83","28","200","86","1.39","11.06","4.73","4.70","2.0","2.1","341.8","11486"
"Yusei Kikuchi","Mariners","9","10","4.23","28","28","0","158.0","151","74","24","147","55","1.31","8.41","3.16","4.46","2.0","2.4","361.3","20633"
"Chris Bassitt","Athletics","9","10","4.52","28","28","0","166.0","166","83","25","147","54","1.32","7.98","2.93","4.52","1.9","1.9","177.6","12304"
"Kwang-hyun Kim","Cardinals","9","11","4.44","28","28","0","165.0","174","82","24","135","52","1.37","7.37","2.83","4.49","1.8","1.9","267.1","27458"
"Jordan Montgomery","Yankees","8","7","4.44","23","23","0","122.0","120","60","21","120","39","1.31","8.83","2.89","4.51","1.8","1.7","228.8","16511"
"Brady Singer","Royals","8","9","4.45","24","24","0","137.0","141","68","17","117","50","1.40","7.71","3.30","4.41","1.8","2.1","241.2","25377"
"Jose Quintana","Angels","10","10","4.60","29","29","0","165.0","172","84","28","147","52","1.36","7.99","2.86","4.68","1.8","1.9","492.5","11423"
"John Means","Orioles","8","11","4.88","28","28","0","157.0","161","85","33","138","44","1.31","7.95","2.56","5.13","1.8","1.7","208.0","16269"
"Dylan Bundy","Angels","10","11","4.82","29","29","0","175.0","176","94","33","168","56","1.33","8.64","2.86","4.83","1.8","1.8","103.9","12917"
"Jameson Taillon","Yankees","8","8","4.67","23","23","0","133.0","139","69","23","119","39","1.34","8.07","2.62","4.63","1.8","1.5","236.8","11674"
"Noah Syndergaard","Mets","6","6","4.08","18","18","0","105.0","99","47","14","102","30","1.24","8.79","2.60","4.03","1.8","1.5","309.5","11762"
"Chris Flexen","Mariners","7","8","4.31","23","23","0","129.0","120","62","20","131","49","1.31","9.21","3.45","4.48","1.8","1.9","568.4","13896"
"Rick Porcello","","9","11","4.96","29","29","0","168.0","180","92","31","139","47","1.36","7.45","2.55","4.95","1.8","1.4","565.2","2717"
"Chris Archer","","8","9","4.59","26","26","0","145.0","140","74","25","149","53","1.33","9.29","3.28","4.60","1.7","1.8","536.4","6345"
"Alex Cobb","Orioles","8","12","4.96","29","29","0","174.0","193","96","30","127","55","1.43","6.56","2.85","5.07","1.7","1.6","572.1","6562"
"Zach Plesac","Indians","9","10","4.68","26","26","0","158.0","163","82","29","139","46","1.32","7.92","2.63","4.83","1.7","1.9","65.6","19979"
"Dustin May","Dodgers","8","7","4.07","21","35","0","130.0","126","59","17","119","41","1.29","8.28","2.87","4.20","1.7","1.7","164.5","19716"
"Jake Odorizzi","","9","10","4.69","28","28","0","149.0","143","78","27","152","54","1.33","9.19","3.29","4.77","1.7","1.7","296.3","6397"
"Tyler Mahle","Reds","8","10","4.88","26","26","0","144.0","143","78","27","148","54","1.37","9.27","3.40","4.86","1.7","1.4","180.1","16358"
"Josh Lindblom","Brewers","9","12","4.73","29","29","0","168.0","167","88","32","162","51","1.30","8.71","2.74","4.79","1.7","1.7","371.6","7882"
"Jon Gray","Rockies","8","11","5.19","28","28","0","155.0","169","90","28","128","55","1.44","7.43","3.17","5.09","1.7","1.9","490.2","14916"
"David Price","Dodgers","9","8","4.30","24","24","0","135.0","130","65","22","134","44","1.29","8.92","2.95","4.49","1.6","1.7","188.9","3184"
"Danny Duffy","Royals","9","11","4.83","28","28","0","157.0","160","84","27","141","58","1.39","8.10","3.32","4.86","1.6","1.8","485.4","3542"
"Brad Keller","Royals","9","11","4.78","28","28","0","166.0","181","88","21","120","67","1.49","6.51","3.62","4.74","1.6","1.8","309.9","15734"
"Mike Soroka","Braves","8","9","4.46","24","24","0","139.0","146","69","19","112","45","1.38","7.26","2.92","4.46","1.6","1.7","174.6","18383"
"Jose Urquidy","Astros","9","9","4.68","26","26","0","147.0","150","76","27","133","42","1.31","8.13","2.56","4.73","1.6","1.4","218.5","18413"
"Justus Sheffield","Mariners","8","10","4.51","26","26","0","149.0","147","75","21","130","70","1.45","7.82","4.22","4.85","1.5","1.7","274.9","17285"
"Nate Pearson","Blue Jays","8","8","4.80","23","23","0","126.0","123","67","22","123","52","1.39","8.76","3.69","4.89","1.5","1.2","259.1","20160"
"Ross Stripling","Blue Jays","9","9","4.73","24","32","0","138.0","145","73","24","121","44","1.37","7.88","2.86","4.75","1.5","1.4","457.0","13273"
"Tarik Skubal","Tigers","7","8","4.50","21","21","0","114.0","107","57","19","124","45","1.33","9.79","3.54","4.55","1.5","1.7","999.0","22267"
"Drew Smyly","Braves","8","8","4.41","24","24","0","134.0","122","66","23","153","52","1.30","10.28","3.49","4.42","1.5","1.9","224.5","11760"
"Triston McKenzie","Indians","8","9","4.62","24","24","0","136.0","129","70","24","139","49","1.31","9.21","3.23","4.72","1.5","1.8","182.4","18000"
"Matt Shoemaker","","8","10","4.73","26","26","0","144.0","145","76","25","134","52","1.37","8.41","3.24","4.78","1.5","1.5","531.3","4776"
"Garrett Richards","","8","7","4.62","23","23","0","122.0","121","63","18","115","47","1.39","8.52","3.51","4.56","1.5","1.7","442.3","9784"
"Aaron Civale","Indians","8","9","4.64","24","24","0","144.0","152","75","24","122","39","1.33","7.60","2.45","4.66","1.5","1.8","181.4","19479"
"Miles Mikolas","Cardinals","7","9","4.63","23","23","0","131.0","144","67","21","98","29","1.32","6.76","2.02","4.59","1.4","1.2","399.6","9803"
"Zach Eflin","Phillies","9","12","4.95","29","29","0","168.0","177","92","32","149","53","1.37","8.00","2.85","4.96","1.4","1.3","213.4","13774"
"Anthony DeSclafani","Giants","9","11","4.66","29","29","0","163.0","167","84","26","143","52","1.35","7.93","2.86","4.61","1.4","1.4","450.5","13050"
"Chris Paddack","Padres","7","6","4.22","19","19","0","107.0","103","50","17","107","29","1.24","8.98","2.44","4.25","1.4","1.4","109.0","20099"
"J.A. Happ","Twins","8","8","4.73","24","24","0","135.0","138","71","23","122","47","1.37","8.09","3.11","4.78","1.4","1.6","417.8","7410"
"Daulton Jefferies","Athletics","6","7","4.55","18","23","0","105.0","106","53","17","94","32","1.31","8.09","2.74","4.54","1.4","1.0","576.6","19345"
"Julio Urias","Dodgers","9","9","4.63","26","26","0","144.0","140","74","24","134","57","1.36","8.38","3.56","4.87","1.4","1.3","118.9","14765"
"Kris Bubic","Royals","7","8","4.65","23","23","0","126.0","125","65","18","113","55","1.43","8.05","3.96","4.79","1.4","1.6","999.0","21455"
"Sandy Alcantara","Marlins","8","13","4.68","29","29","0","181.0","183","94","26","159","76","1.42","7.87","3.75","4.74","1.4","1.3","139.4","18684"
"Merrill Kelly","Diamondbacks","7","10","4.95","24","32","0","148.0","157","81","26","126","49","1.39","7.69","2.97","4.89","1.4","1.1","489.5","11156"
"Griffin Canning","Angels","8","9","4.81","24","24","0","134.0","134","72","24","131","50","1.37","8.81","3.38","4.86","1.3","1.3","310.0","19867"
"Jonathan Brubaker","Pirates","7","9","4.56","23","31","0","133.0","135","67","19","116","48","1.38","7.85","3.27","4.57","1.3","1.3","503.8","17578"
"Kyle Freeland","Rockies","8","12","5.27","29","29","0","168.0","189","99","29","127","64","1.51","6.78","3.43","5.19","1.3","1.9","529.8","16256"
"Michael Kopech","White Sox","7","7","4.56","19","19","0","110.0","100","56","19","123","48","1.35","10.10","3.91","4.68","1.3","1.3","279.0","17282"
"Ian Anderson","Braves","8","8","4.47","23","23","0","128.0","120","64","18","132","62","1.42","9.29","4.37","4.55","1.3","1.6","97.0","19951"
"Carlos Martinez","Cardinals","8","11","4.90","28","28","0","156.0","164","85","23","126","68","1.48","7.27","3.92","4.96","1.3","0.9","430.3","11682"
"Josh Fleming","Rays","7","8","4.38","23","23","0","128.0","137","62","17","89","40","1.39","6.26","2.81","4.60","1.3","1.5","999.0","20418"
"Ryan Yarbrough","Rays","9","11","4.58","28","28","0","163.0","171","83","26","126","48","1.34","6.94","2.65","4.78","1.3","1.7","261.1","16502"
"Martin Perez","","9","10","4.95","28","28","0","161.0","177","89","24","123","63","1.49","6.84","3.53","4.95","1.3","1.6","568.9","6902"
"Adam Wainwright","","8","10","4.93","26","26","0","150.0","161","82","25","123","53","1.43","7.39","3.18","4.94","1.2","1.2","437.0","2233"
"Vince Velasquez","Phillies","7","10","5.02","26","26","0","137.0","134","76","28","140","56","1.39","9.20","3.69","5.18","1.2","1.0","512.1","11189"
"Brett Anderson","Brewers","8","9","4.67","24","24","0","133.0","152","69","19","84","39","1.43","5.66","2.63","4.77","1.2","1.4","590.4","8223"
"Adrian Houser","Brewers","7","9","4.61","24","24","0","131.0","136","67","19","108","50","1.42","7.41","3.41","4.70","1.2","1.4","465.3","12718"
"Dylan Cease","White Sox","8","9","4.71","24","24","0","133.0","128","70","22","133","63","1.44","9.01","4.27","4.89","1.2","1.2","398.1","18525"
"Taijuan Walker","","9","11","5.02","29","29","0","159.0","166","89","28","140","60","1.42","7.93","3.38","5.02","1.2","1.1","283.6","11836"
"Kolby Allard","Rangers","6","8","4.87","21","21","0","112.0","116","61","18","94","47","1.45","7.56","3.79","5.04","1.2","1.6","591.4","18694"
"A.J. Puk","Athletics","5","4","3.95","11","23","0","77.0","67","34","10","87","32","1.30","10.19","3.81","4.06","1.2","1.3","383.1","19343"
"Michael Fulmer","Tigers","6","10","5.23","24","24","0","129.0","145","75","22","94","43","1.46","6.55","3.01","5.15","1.2","0.9","564.1","13218"
"Mitch Keller","Pirates","7","10","4.74","24","24","0","139.0","137","73","21","133","62","1.43","8.62","4.02","4.74","1.2","1.1","312.4","17594"
"Kyle Cody","Rangers","5","6","4.91","16","16","0","89.0","91","48","15","80","36","1.43","8.10","3.68","4.93","1.2","1.2","999.0","19686"
"Luke Weaver","Diamondbacks","7","9","4.80","24","24","0","133.0","136","71","24","127","46","1.36","8.59","3.09","4.78","1.1","1.2","429.5","16918"
"Alex Wood","Giants","7","8","4.27","21","31","0","126.0","128","60","17","110","41","1.34","7.88","2.93","4.39","1.1","1.4","523.2","13781"
"Logan Webb","Giants","7","9","4.51","24","24","0","131.0","135","66","16","110","53","1.44","7.52","3.67","4.52","1.1","1.2","568.5","17995"
"Tejay Antone","Reds","6","7","4.59","15","45","0","111.0","110","57","16","106","47","1.41","8.56","3.83","4.66","1.1","1.0","999.0","16233"
"Aroldis Chapman","Yankees","4","3","3.11","0","63","31","63.0","45","22","7","91","28","1.16","13.03","4.06","3.24","1.1","1.2","80.9","10233"
"Johnny Cueto","Giants","9","12","4.72","29","29","0","174.0","182","92","27","146","62","1.40","7.56","3.20","4.78","1.1","1.3","505.8","6893"
"Carlos Rodon","","6","7","4.93","19","19","0","108.0","108","59","18","98","47","1.43","8.14","3.88","5.01","1.1","0.9","599.6","16137"
"Domingo German","Yankees","6","6","4.69","15","33","0","100.0","98","52","19","103","34","1.32","9.22","3.08","4.74","1.0","0.9","302.8","17149"
"Edwin Diaz","Mets","3","3","3.04","0","63","32","63.0","44","21","7","93","25","1.09","13.30","3.57","3.08","1.0","1.1","87.9","14710"
"Tony Gonsolin","Dodgers","6","6","4.58","18","18","0","99.0","95","50","18","98","35","1.31","8.93","3.15","4.70","1.0","0.9","205.5","19388"
"Liam Hendriks","White Sox","4","3","3.35","0","68","29","68.0","54","25","9","90","21","1.09","11.97","2.74","3.35","1.0","1.1","72.6","3548"
"Trevor Rogers","Marlins","5","7","4.26","18","18","0","97.0","92","46","14","93","39","1.35","8.65","3.62","4.47","1.0","1.2","999.0","22286"
"Nick Anderson","Rays","3","3","3.33","0","63","14","63.0","48","23","8","85","22","1.11","12.18","3.16","3.41","1.0","1.0","165.5","18337"
"Rich Hill","","7","8","4.77","21","21","0","114.0","114","61","20","105","45","1.38","8.26","3.52","4.92","1.0","1.1","457.6","4806"
"Jordan Lyles","Rangers","7","12","5.53","28","28","0","157.0","174","96","31","121","60","1.49","6.97","3.45","5.51","1.0","1.2","578.0","7593"
"Antonio Senzatela","Rockies","8","13","5.56","29","29","0","168.0","197","104","29","110","63","1.55","5.92","3.37","5.43","1.0","1.5","509.1","15488"
"David Peterson","Mets","7","8","4.45","23","23","0","127.0","128","63","18","106","53","1.43","7.52","3.77","4.75","1.0","1.2","999.0","20302"
"Mike Leake","","7","10","5.09","24","24","0","142.0","168","80","25","89","31","1.40","5.63","1.99","5.09","1.0","0.9","999.0","10130"
"Joseph Palumbo","Rangers","4","5","4.46","13","18","0","77.0","71","38","12","83","35","1.38","9.69","4.06","4.62","1.0","1.3","999.0","17035"
"Deivi Garcia","Yankees","6","6","4.99","16","16","0","92.0","91","51","17","92","39","1.41","8.95","3.81","5.11","1.0","0.8","299.6","20276"
"Josh Hader","Brewers","3","3","3.34","0","63","24","63.0","43","23","9","95","26","1.11","13.58","3.76","3.50","1.0","1.0","61.7","14212"
"Dean Kremer","Orioles","7","10","5.18","24","24","0","141.0","141","81","27","125","65","1.46","8.03","4.13","5.39","1.0","1.1","999.0","19350"
"Casey Mize","Tigers","5","8","5.21","19","19","0","106.0","113","61","19","88","38","1.43","7.49","3.22","5.15","1.0","0.8","380.0","20492"
"Cristian Javier","Astros","7","8","4.99","23","23","0","127.0","118","70","24","135","61","1.42","9.60","4.34","5.16","0.9","0.8","215.1","17606"
"Cal Quantrill","Indians","6","8","4.82","18","36","0","115.0","121","62","20","98","37","1.37","7.62","2.88","4.84","0.9","1.0","441.5","19312"
"Wade Miley","Reds","7","10","5.03","26","26","0","138.0","150","77","22","114","62","1.53","7.43","4.01","5.11","0.9","1.0","587.9","8779"
"Randy Dobnak","Twins","7","7","4.85","19","25","0","111.0","125","60","16","72","35","1.45","5.83","2.87","4.87","0.9","1.0","482.9","23798"
"Freddy Peralta","Brewers","6","7","4.31","11","64","0","115.0","99","55","19","137","52","1.31","10.71","4.07","4.46","0.9","1.1","362.2","18679"
"Keegan Akin","Orioles","7","10","5.16","24","24","0","132.0","129","76","27","127","66","1.47","8.66","4.49","5.52","0.9","1.0","999.0","19362"
"Michael Wacha","Rays","7","9","4.75","24","24","0","133.0","136","70","22","115","51","1.40","7.77","3.41","4.87","0.9","1.2","517.5","14078"
"Austin Gomber","Cardinals","7","9","4.66","23","33","0","135.0","134","70","21","121","60","1.43","8.07","3.97","4.87","0.9","1.1","500.0","16561"
"Elieser Hernandez","Marlins","7","11","4.80","26","26","0","144.0","140","77","26","141","51","1.33","8.81","3.20","4.89","0.9","1.0","241.2","16933"
"Shohei Ohtani","Angels","6","6","4.78","18","18","0","97.0","93","52","16","101","47","1.44","9.35","4.39","4.86","0.9","1.0","231.4","19755"
"Patrick Sandoval","Angels","5","5","4.35","13","25","0","81.0","79","39","12","78","34","1.40","8.64","3.81","4.54","0.9","1.0","549.1","19447"
"Spencer Howard","Phillies","6","8","5.03","21","21","0","116.0","115","65","22","110","49","1.42","8.56","3.80","5.13","0.9","0.8","999.0","23252"
"Adbert Alzolay","Cubs","6","8","4.86","21","21","0","116.0","110","63","19","119","56","1.43","9.21","4.37","4.94","0.9","1.0","340.1","17859"
"Drew Rasmussen","Brewers","5","5","4.13","10","45","0","90.0","81","41","13","101","41","1.34","10.03","4.08","4.27","0.9","1.1","999.0","25385"
"Jake Arrieta","","7","10","5.13","24","24","0","135.0","149","77","22","99","52","1.48","6.60","3.45","5.12","0.9","0.7","588.0","4153"
"Adrian Morejon","Padres","4","4","3.92","10","22","0","64.0","56","28","8","71","27","1.30","10.03","3.76","4.09","0.8","1.0","496.1","20039"
"James Karinchak","Indians","3","3","3.36","0","63","32","63.0","45","24","7","93","34","1.25","13.24","4.84","3.48","0.8","1.1","113.1","20151"
"John King","Rangers","4","4","4.43","10","22","0","67.0","70","33","10","54","22","1.38","7.15","2.98","4.63","0.8","1.1","999.0","22051"
"Logan Allen","Indians","7","8","4.75","19","27","0","118.0","118","62","19","104","52","1.44","7.97","3.98","5.00","0.8","1.2","595.2","18555"
"Peter Fairbanks","Rays","3","3","3.38","0","60","12","60.0","47","23","7","76","25","1.20","11.42","3.77","3.50","0.8","0.9","483.5","17998"
"Madison Bumgarner","Diamondbacks","8","13","5.41","29","29","0","176.0","198","106","36","133","53","1.43","6.80","2.73","5.42","0.8","0.6","378.8","5524"
"Alec Mills","Cubs","7","10","5.09","24","24","0","141.0","152","80","25","110","52","1.44","7.03","3.29","5.16","0.8","0.8","479.7","13834"
"Tanner Roark","Blue Jays","8","9","5.35","24","24","0","135.0","148","80","26","107","48","1.45","7.13","3.19","5.37","0.8","0.6","591.4","8753"
"Logan Gilbert","","4","6","4.65","15","15","0","83.0","81","43","15","78","31","1.34","8.42","3.34","4.88","0.8","0.8","999.0","sa3008598"
"Julian Merryweather","Blue Jays","4","4","4.15","3","58","0","73.0","67","33","10","79","30","1.33","9.74","3.72","4.20","0.8","0.7","999.0","16703"
"Zach Davies","Cubs","8","12","5.28","29","29","0","169.0","192","99","29","120","60","1.49","6.42","3.20","5.24","0.8","0.6","228.3","13183"
"Taylor Rogers","Twins","3","3","3.57","0","63","27","63.0","56","25","8","72","20","1.20","10.26","2.89","3.61","0.8","0.9","141.8","13449"
"Corbin Martin","Diamondbacks","4","6","4.73","15","15","0","82.0","80","43","13","78","35","1.42","8.63","3.90","4.74","0.8","0.8","538.3","19884"
"Homer Bailey","","6","8","5.12","21","21","0","116.0","126","66","21","90","40","1.43","6.96","3.12","5.16","0.8","0.7","999.0","8362"
"Trevor May","Mets","3","3","3.65","0","64","3","64.0","51","26","9","82","25","1.19","11.56","3.55","3.77","0.8","0.6","509.6","6398"
"Chad Green","Yankees","3","3","3.76","0","60","2","60.0","50","25","9","76","19","1.16","11.34","2.88","3.80","0.8","0.7","553.1","15552"
"Aaron Bummer","White Sox","3","3","3.30","0","62","3","62.0","54","23","6","68","26","1.29","9.88","3.77","3.60","0.8","0.9","450.5","16258"
"Cole Hamels","","6","8","5.00","21","21","0","118.0","125","65","19","97","46","1.45","7.44","3.51","5.04","0.7","0.9","580.1","4972"
"Luis Patino","Rays","5","6","4.61","13","27","0","87.0","79","44","14","89","43","1.41","9.25","4.51","4.85","0.7","0.8","999.0","22815"
"Steven Matz","Mets","5","6","4.53","15","23","0","87.0","85","44","15","85","30","1.32","8.76","3.09","4.64","0.7","0.7","560.0","13361"
"Jose Leclerc","Rangers","3","3","3.92","0","60","22","60.0","48","26","8","77","31","1.31","11.58","4.63","4.09","0.7","0.8","383.5","14524"
"Jakob Junis","Royals","5","6","4.84","13","34","0","93.0","99","50","15","80","28","1.36","7.75","2.70","4.73","0.7","0.9","600.7","13619"
"Matt Barnes","Red Sox","3","3","3.72","0","65","28","65.0","53","27","7","83","32","1.31","11.50","4.38","3.70","0.7","0.9","245.9","12863"
"Michael Lorenzen","Reds","6","9","5.05","18","42","0","124.0","129","70","20","111","57","1.50","7.99","4.11","5.07","0.7","0.6","408.5","14843"
"Tanner Houck","Red Sox","6","7","5.10","19","19","0","111.0","114","63","17","94","56","1.53","7.67","4.52","5.13","0.7","1.0","999.0","19879"
"Ryan Pressly","Astros","3","3","3.56","0","63","31","63.0","55","25","8","73","21","1.21","10.39","3.02","3.60","0.7","0.8","134.1","7005"
"Caleb Smith","Diamondbacks","7","10","5.22","24","24","0","132.0","129","76","28","135","59","1.42","9.24","4.01","5.34","0.7","0.8","317.1","14875"
