Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Chadwick Tromp","ATL",6,16,16,2,1,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0.125,"Chadwick Tromp",16953,644433
"Jared Walsh","LAA",39,104,116,13,5,4,0,4,10,11,11,0,45,1,0,0,1,0,0,0.125,"Jared Walsh",18607,665120
"Canaan Smith-Njigba","PIT",15,32,37,4,2,1,1,0,3,5,4,0,16,0,1,0,1,1,0,0.125,"Canaan Smith-Njigba",23264,675986
"David Hamilton","BOS",15,33,39,4,2,2,0,0,2,0,6,0,10,0,0,0,1,2,1,0.121212121,"David Hamilton",27531,666152
"David Hensley","HOU",30,84,94,10,8,1,0,1,12,3,10,0,35,0,0,0,0,1,0,0.119047619,"David Hensley",25111,682073
"Ben Rortvedt","NYY",32,68,79,8,5,1,0,2,6,4,11,0,19,0,0,0,1,0,0,0.117647058,"Ben Rortvedt",20287,666163
"Colton Cowser","BAL",26,61,77,7,5,2,0,0,15,4,13,0,22,2,1,0,1,1,0,0.114754098,"Colton Cowser",29591,681297
"David Dahl","SDP",4,9,9,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0.111111111,"David Dahl",13744,621311
"César Salazar","HOU",13,18,19,2,2,0,0,0,1,0,1,0,6,0,0,0,1,0,0,0.111111111,"Cesar Salazar",21587,663967
"Ryan Kreidler","DET",11,18,18,2,2,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0.111111111,"Ryan Kreidler",25867,668952
"Brian O'Keefe","SEA",8,19,21,2,0,2,0,0,0,2,2,0,7,0,0,0,2,0,0,0.105263157,"Brian O'Keefe",16680,657247
"Juniel Querecuto","STL",9,20,21,2,1,1,0,0,2,0,1,0,6,0,0,0,0,0,0,0.1,"Juniel Querecuto",12140,578570
"Kyren Paris","LAA",15,40,46,4,4,0,0,0,4,1,4,0,17,1,0,1,0,3,0,0.1,"Kyren Paris",26420,677347
"Cooper Hummel","SEA",10,23,26,2,1,1,0,0,2,0,2,0,9,1,0,0,1,1,0,0.086956521,"Cooper Hummel",19458,669450
"Korey Lee","CHW",24,65,70,5,3,1,0,1,4,3,5,0,20,0,0,0,0,0,0,0.076923076,"Korey Lee",25543,686676
"Nate Eaton","KCR",28,53,56,4,4,0,0,0,2,1,2,0,21,1,0,0,0,3,0,0.075471698,"Nate Eaton",25055,681987
"Edwin Ríos","CHC",18,28,34,2,0,1,0,1,3,2,5,0,16,1,0,0,0,0,0,0.071428571,"Edwin Rios",18316,621458
"Eli White","ATL",6,14,17,1,1,0,0,0,1,0,2,0,7,1,0,0,0,0,0,0.071428571,"Eli White",19346,642201
"Abraham Almonte","NYM",8,15,16,1,0,1,0,0,1,0,1,0,8,0,0,0,0,0,0,0.066666666,"Abraham Almonte",5486,501659
"Kyle Stowers","BAL",14,30,33,2,2,0,0,0,1,0,3,0,12,0,0,0,1,0,0,0.066666666,"Kyle Stowers",26151,669065
"Luke Williams","- - -",11,19,19,1,1,0,0,0,1,0,0,0,7,0,0,0,0,4,0,0.052631578,"Luke Williams",19931,663897
"Isan Díaz","- - -",8,24,26,1,1,0,0,0,0,1,2,0,9,0,0,0,0,0,0,0.041666666,"Isan Diaz",17922,656371
"Adam Wainwright","STL",23,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Adam Wainwright",2233,425794
"Ehire Adrianza","ATL",5,10,11,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,"Ehire Adrianza",8418,501303
"Shelby Miller","LAD",36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shelby Miller",10197,571946
"Billy Hamilton","CHW",3,2,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,"Billy Hamilton",10199,571740
"Michael Fulmer","CHC",58,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Michael Fulmer",13218,605242
"Tyler Naquin","CHW",5,8,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,"Tyler Naquin",13359,571980
