Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Will Benson","CIN",108,287,329,79,45,15,8,11,51,31,40,0,103,1,1,0,3,19,3,0.275261324,"Will Benson",21853,666181
"Julio Rodríguez","SEA",155,654,714,180,109,37,2,32,102,103,47,6,175,11,2,0,14,37,10,0.275229357,"Julio Rodriguez",23697,677594
"Nolan Schanuel","LAA",29,109,132,30,26,3,0,1,19,6,20,1,19,3,0,0,1,0,0,0.275229357,"Nolan Schanuel",33189,694384
"Austin Hays","BAL",144,520,566,143,89,36,2,16,76,67,38,1,141,3,5,0,11,5,1,0.275,"Austin Hays",19363,669720
"Joey Meneses","WSN",154,611,657,168,118,36,1,13,71,89,38,0,130,5,3,0,15,0,0,0.274959083,"Joey Meneses",14366,608841
"Juan Soto","SDP",162,568,708,156,88,32,1,35,97,109,132,11,129,2,5,1,18,12,5,0.274647887,"Juan Soto",20123,665742
"Alec Bohm","PHI",145,558,611,153,102,31,0,20,74,97,42,1,94,5,6,0,23,4,1,0.274193548,"Alec Bohm",21618,664761
"Brandon Nimmo","NYM",152,592,682,162,102,30,6,24,89,68,74,0,146,11,4,1,6,3,3,0.273648648,"Brandon Nimmo",12927,607043
"Marcell Ozuna","ATL",144,530,592,145,75,29,1,40,84,100,57,1,134,3,2,0,9,0,0,0.273584905,"Marcell Ozuna",10324,542303
"Gleyber Torres","NYY",158,596,672,163,108,28,2,25,90,68,67,0,98,3,6,0,19,13,6,0.273489932,"Gleyber Torres",16997,650402
"Chas McCormick","HOU",115,403,457,110,69,17,2,22,59,70,40,0,117,11,2,1,3,19,6,0.272952853,"Chas McCormick",19599,676801
"Riley Adams","WSN",44,143,158,39,20,13,2,4,8,21,11,0,45,2,1,1,5,0,0,0.272727272,"Riley Adams",19864,656180
"Whit Merrifield","TOR",145,547,592,149,111,27,0,11,66,67,36,2,101,3,6,0,15,26,10,0.272394881,"Whit Merrifield",11281,593160
"Eloy Jiménez","CHW",120,456,489,124,83,23,0,18,50,64,30,2,93,1,2,0,13,0,0,0.271929824,"Eloy Jimenez",17484,650391
"Nick Castellanos","PHI",157,626,671,170,102,37,2,29,79,106,36,0,185,3,6,0,17,11,2,0.271565495,"Nick Castellanos",11737,592206
"Maikel Garcia","KCR",123,464,515,126,98,20,4,4,59,50,38,0,115,2,10,1,9,23,7,0.271551724,"Maikel Garcia",22715,672580
"Spencer Steer","CIN",156,582,665,158,95,37,3,23,74,86,68,0,139,11,4,0,9,15,3,0.271477663,"Spencer Steer",26323,668715
"Ke'Bryan Hayes","PIT",124,494,525,134,81,31,7,15,65,61,28,1,104,0,3,0,11,10,6,0.27125506,"Ke'Bryan Hayes",18577,663647
"J.D. Martinez","LAD",113,432,479,117,55,27,2,33,61,103,34,1,149,2,9,0,11,1,0,0.270833333,"J.D. Martinez",6184,502110
"Thairo Estrada","SFG",120,495,530,134,92,26,2,14,63,49,22,1,120,11,2,0,10,23,7,0.27070707,"Thairo Estrada",16426,642731
"Rafael Devers","BOS",153,580,656,157,90,34,0,33,90,100,62,10,126,11,3,0,15,5,1,0.270689655,"Rafael Devers",17350,646240
"Alex Kirilloff","MIN",88,281,319,76,50,14,1,11,35,41,28,1,80,7,3,0,2,1,0,0.270462633,"Alex Kirilloff",20325,666135
"Mitch Garver","TEX",87,296,344,80,50,11,0,19,45,50,44,1,82,3,0,0,6,0,0,0.27027027,"Mitch Garver",15161,641598
"Yonathan Daza","COL",24,74,80,20,14,6,0,0,8,7,3,0,13,1,1,1,5,1,0,0.27027027,"Yonathan Daza",15794,602074
"Austin Slater","SFG",89,185,207,50,36,9,0,5,24,20,20,0,58,2,0,0,2,2,2,0.27027027,"Austin Slater",16153,596103
"Christian Encarnacion-Strand","CIN",63,222,241,60,40,7,0,13,29,37,14,0,69,5,0,0,5,2,0,0.27027027,"Christian Encarnacion-Strand",30011,687952
"Jeff McNeil","NYM",156,585,648,158,119,25,4,10,75,55,39,0,65,18,3,3,5,10,0,0.27008547,"Jeff McNeil",15362,643446
"Ryan Mountcastle","BAL",115,423,470,114,74,21,1,18,64,68,37,1,107,3,7,0,13,3,1,0.269503546,"Ryan Mountcastle",18373,663624
"Jason Heyward","LAD",124,334,377,90,52,23,0,15,56,40,34,1,64,3,3,0,7,2,2,0.269461077,"Jason Heyward",4940,518792
"Stone Garrett","WSN",89,234,271,63,37,17,0,9,40,40,26,0,82,3,5,0,6,3,1,0.269230769,"Stone Garrett",19273,656448
"Dane Myers","MIA",22,67,70,18,14,3,0,1,9,9,2,0,19,0,1,0,1,1,1,0.268656716,"Dane Myers",22054,667472
"Paul Goldschmidt","STL",154,593,687,159,103,31,0,25,89,80,87,6,161,3,3,0,12,11,2,0.268128161,"Paul Goldschmidt",9218,502671
"Steven Kwan","CLE",158,638,718,171,123,36,7,5,93,54,70,2,75,3,6,1,9,21,3,0.268025078,"Steven Kwan",24610,680757
"Lane Thomas","WSN",157,628,682,168,101,36,3,28,101,86,36,0,176,11,7,0,5,20,5,0.267515923,"Lane Thomas",16939,657041
"Elias Díaz","COL",141,486,526,130,90,25,1,14,48,72,34,0,118,2,4,0,12,1,0,0.267489711,"Elias Diaz",11680,553869
"Reese McGuire","BOS",72,187,206,50,36,12,1,1,15,16,11,0,53,1,1,2,2,2,1,0.267379679,"Reese McGuire",15674,624512
"Randal Grichuk","- - -",118,434,471,116,67,31,2,16,65,44,29,2,96,6,2,0,11,2,2,0.267281105,"Randal Grichuk",10243,545341
"Aaron Judge","NYY",106,367,458,98,45,16,0,37,79,75,88,9,130,0,3,0,5,3,1,0.267029972,"Aaron Judge",15640,592450
"Yan Gomes","CHC",116,382,419,102,70,20,2,10,44,63,21,1,81,9,7,0,9,1,0,0.267015706,"Yan Gomes",9627,543228
"Zack Gelof","OAK",69,270,300,72,37,20,1,14,40,32,26,1,82,3,1,0,5,14,2,0.266666666,"Zack Gelof",29766,680869
"Luis García","WSN",122,447,482,119,88,18,4,9,61,50,27,1,60,0,7,1,10,9,4,0.266219239,"Luis Garcia",20391,671277
"Will Brennan","CLE",138,432,455,115,86,24,0,5,41,41,16,2,57,5,2,0,4,13,5,0.266203703,"Will Brennan",25660,686823
"Enmanuel Valdez","BOS",49,139,149,37,23,8,0,6,17,19,8,0,37,1,0,0,4,5,1,0.26618705,"Enmanuel Valdez",21716,665839
"Leody Taveras","TEX",143,511,554,136,88,31,3,14,67,67,35,0,117,1,4,3,3,14,4,0.266144814,"Leody Taveras",18900,665750
"Nolan Arenado","STL",144,560,612,149,95,26,2,26,71,93,41,5,101,3,8,0,21,3,3,0.266071428,"Nolan Arenado",9777,571448
"Trea Turner","PHI",155,639,691,170,104,35,5,26,102,76,45,2,150,6,1,0,12,30,0,0.266040688,"Trea Turner",16252,607208
"J.P. Crawford","SEA",145,534,638,142,88,35,0,19,94,65,94,1,125,5,2,3,7,2,0,0.265917602,"J.P. Crawford",15491,641487
"Josh Jung","TEX",122,478,515,127,78,25,1,23,75,70,30,0,151,5,2,0,7,1,3,0.265690376,"Josh Jung",26299,673962
"Kevin Kiermaier","TOR",129,370,408,98,63,21,6,8,58,36,29,0,86,4,4,1,9,14,1,0.264864864,"Kevin Kiermaier",11038,595281
"Orlando Arcia","ATL",139,488,533,129,87,25,0,17,66,65,39,0,102,3,3,0,14,1,0,0.264344262,"Orlando Arcia",13185,606115
"Vladimir Guerrero Jr.","TOR",156,602,682,159,103,30,0,26,78,94,67,5,100,9,4,0,23,5,3,0.264119601,"Vladimir Guerrero Jr.",19611,665489
"Andy Ibáñez","DET",114,356,383,94,58,23,2,11,42,41,24,0,69,1,1,1,7,1,0,0.264044943,"Andy Ibanez",18819,628451
"Willson Contreras","STL",125,428,495,113,66,27,0,20,55,67,51,0,111,13,2,1,12,6,3,0.264018691,"Willson Contreras",11609,575929
"Luis Rengifo","LAA",126,394,445,104,69,15,4,16,55,51,41,0,82,6,4,0,3,6,4,0.26395939,"Luis Rengifo",19858,650859
"Nick Martini","CIN",29,72,79,19,9,3,1,6,10,16,5,0,15,2,0,0,1,0,0,0.263888888,"Nick Martini",12005,605361
"Ramón Urías","BAL",116,360,396,95,66,22,3,4,45,42,27,0,101,8,1,0,10,3,1,0.263888888,"Ramon Urias",18795,602104
"Alex Verdugo","BOS",142,546,602,144,89,37,5,13,81,54,45,1,93,6,5,0,11,5,3,0.263736263,"Alex Verdugo",17027,657077
"Luis Robert Jr.","CHW",145,546,595,144,69,36,1,38,90,80,30,5,172,12,2,0,10,20,4,0.263736263,"Luis Robert Jr.",20043,673357
"Manuel Margot","TBR",99,311,336,82,56,21,1,4,39,38,18,0,55,4,3,0,6,9,3,0.263665594,"Manuel Margot",14712,622534
"Jeremy Peña","HOU",150,577,634,152,107,32,3,10,81,52,43,1,129,9,1,1,11,13,9,0.263431542,"Jeremy Pena",21636,665161
"Triston Casas","BOS",132,429,502,113,66,21,2,24,66,65,70,2,126,1,2,0,7,0,0,0.263403263,"Triston Casas",22514,671213
"Edouard Julien","MIN",109,338,408,89,56,16,1,16,60,37,64,0,128,2,3,1,8,3,0,0.263313609,"Edouard Julien",27534,666397
"Travis Jankowski","TEX",107,247,287,65,51,12,1,1,34,30,35,0,42,2,2,1,6,19,1,0.263157894,"Travis Jankowski",13768,608671
"Bryan Reynolds","PIT",145,574,640,151,91,31,5,24,85,84,53,2,138,7,6,0,13,12,1,0.263066202,"Bryan Reynolds",19326,668804
"Mike Trout","LAA",82,308,362,81,48,14,1,18,54,44,45,2,104,7,2,0,4,2,0,0.262987012,"Mike Trout",10155,545361
"Nick Madrigal","CHC",92,270,294,71,52,16,1,2,34,28,10,0,24,9,0,5,3,10,2,0.262962962,"Nick Madrigal",20521,663611
"Amed Rosario","- - -",142,510,545,134,95,25,8,6,70,58,29,0,99,3,3,0,15,15,2,0.262745098,"Amed Rosario",15518,642708
"Edward Olivares","KCR",107,354,385,93,54,23,4,12,47,36,22,1,64,7,2,0,7,11,5,0.262711864,"Edward Olivares",19698,658668
"Mark Canha","- - -",139,435,507,114,77,25,1,11,51,62,49,1,79,17,6,0,11,11,1,0.262068965,"Mark Canha",11445,592192
"Alex Bregman","HOU",161,622,724,163,106,28,4,25,103,98,92,1,87,8,2,0,22,3,1,0.262057877,"Alex Bregman",17678,608324
"Jonny DeLuca","LAD",24,42,45,11,8,1,0,2,5,6,3,0,8,0,0,0,0,1,0,0.261904761,"Jonny DeLuca",26365,676356
"Brandon Drury","LAA",125,485,523,127,68,30,3,26,61,83,25,0,136,8,5,0,14,0,2,0.26185567,"Brandon Drury",11615,592273
"Nathaniel Lowe","TEX",161,623,724,163,105,38,3,17,89,82,93,2,165,5,3,0,22,1,0,0.261637239,"Nathaniel Lowe",19566,663993
"Andrew Benintendi","CHW",151,562,621,147,106,34,2,5,72,45,52,5,89,3,3,1,12,13,2,0.261565836,"Andrew Benintendi",17901,643217
"Lourdes Gurriel Jr.","ARI",145,551,592,144,83,35,2,24,65,82,33,1,103,6,2,0,20,5,0,0.261343012,"Lourdes Gurriel Jr.",19238,666971
"Owen Miller","MIL",90,291,314,76,54,17,0,5,29,27,17,1,61,2,4,0,6,13,2,0.261168384,"Owen Miller",24655,680911
"Matt Vierling","DET",134,479,530,125,89,21,5,10,63,44,44,1,112,5,1,1,8,6,6,0.260960334,"Matt Vierling",21558,663837
"Will Smith","LAD",126,464,554,121,79,21,2,19,80,76,63,2,89,15,12,0,8,3,0,0.260775862,"Will Smith",19197,669257
"Emmanuel Rivera","ARI",86,257,283,67,50,13,0,4,32,29,22,0,56,0,4,0,9,1,0,0.260700389,"Emmanuel Rivera",19890,656896
"Lars Nootbaar","STL",117,426,503,111,73,23,1,14,74,46,72,2,99,1,3,1,7,11,1,0.26056338,"Lars Nootbaar",21454,663457
"Yoán Moncada","CHW",92,334,357,87,55,20,1,11,39,40,20,0,107,2,1,0,6,1,0,0.260479041,"Yoan Moncada",17232,660162
"Max Kepler","MIN",130,438,491,114,66,22,2,24,72,66,45,0,106,4,4,0,9,1,1,0.260273972,"Max Kepler",12144,596146
"Conner Capel","OAK",32,73,86,19,14,5,0,0,6,3,12,0,25,1,0,0,1,5,3,0.260273972,"Conner Capel",19983,668843
"Ha-Seong Kim","SDP",152,538,626,140,100,23,0,17,84,60,75,1,124,3,5,5,7,38,9,0.260223048,"Ha-Seong Kim",27506,673490
"Keibert Ruiz","WSN",136,523,562,136,94,24,0,18,55,67,31,1,58,6,2,0,13,1,1,0.26003824,"Keibert Ruiz",19610,660688
"Jordan Westburg","BAL",68,208,228,54,32,17,2,3,26,23,16,0,56,1,3,0,3,4,1,0.259615384,"Jordan Westburg",27815,676059
"David Peralta","LAD",133,394,422,102,69,25,1,7,47,55,20,1,72,2,6,0,8,4,1,0.258883248,"David Peralta",2136,444482
"Andruw Monasterio","MIL",92,282,315,73,55,14,1,3,38,27,28,0,66,3,2,0,9,7,2,0.258865248,"Andruw Monasterio",19455,655316
"Victor Caratini","MIL",62,201,226,52,41,4,0,7,23,25,19,0,45,3,3,0,8,1,1,0.258706467,"Victor Caratini",14968,605170
"Brendan Rodgers","COL",46,178,192,46,32,9,1,4,21,20,11,0,41,3,0,0,6,0,0,0.258426966,"Brendan Rodgers",17907,663898
"Matthew Batten","SDP",43,120,139,31,23,6,0,2,19,11,17,0,30,1,0,1,0,2,2,0.258333333,"Matthew Batten",20157,676946
"Jonah Heim","TEX",131,457,501,118,72,28,0,18,61,95,40,2,96,1,3,0,10,2,0,0.258205689,"Jonah Heim",16930,641680
"Dairon Blanco","KCR",69,124,138,32,18,7,4,3,19,18,10,0,33,2,0,2,2,24,5,0.258064516,"Dairon Blanco",19779,680118
"Richie Palacios","STL",32,93,102,24,12,6,0,6,9,16,6,0,11,1,1,1,1,2,0,0.258064516,"Richie Palacios",24589,680700
"Jasson Domínguez","NYY",8,31,33,8,3,1,0,4,6,7,2,0,8,0,0,0,1,1,0,0.258064516,"Jasson Dominguez",28080,691176
"Andrew Vaughn","CHW",152,566,615,146,93,30,2,21,67,80,36,0,129,11,2,0,15,0,0,0.25795053,"Andrew Vaughn",26197,683734
"Manny Machado","SDP",138,543,601,140,89,21,0,30,75,91,50,1,109,2,6,0,20,3,2,0.257826887,"Manny Machado",11493,592518
"George Springer","TOR",154,613,683,158,111,25,1,21,87,72,60,1,125,5,3,0,20,20,5,0.257748776,"George Springer",12856,543807
"Christian Walker","ARI",157,582,661,150,79,36,2,33,86,103,62,3,127,8,8,0,13,11,0,0.257731958,"Christian Walker",13419,572233
"Teoscar Hernández","SEA",160,625,678,161,104,29,2,26,70,93,38,2,211,8,7,0,6,7,2,0.2576,"Teoscar Hernandez",13066,606192
"Miguel Cabrera","DET",98,334,370,86,62,20,0,4,21,34,31,0,74,2,3,0,11,0,0,0.257485029,"Miguel Cabrera",1744,408234
"Fernando Tatis Jr.","SDP",141,575,635,148,89,33,1,25,91,78,53,0,141,3,3,1,17,29,4,0.257391304,"Fernando Tatis Jr.",19709,665487
"Bryan De La Cruz","MIA",153,579,626,149,98,32,0,19,60,78,40,0,142,1,5,0,18,4,1,0.257340241,"Bryan De La Cruz",19600,650559
"Anthony Santander","BAL",153,591,656,152,82,41,1,28,81,95,55,1,152,6,4,0,11,5,1,0.257191201,"Anthony Santander",14551,623993
"Willi Castro","MIN",124,358,409,92,60,18,5,9,60,34,34,1,99,12,3,2,5,33,5,0.25698324,"Willi Castro",17338,650489
"Andrew McCutchen","PIT",112,390,473,100,69,19,0,12,55,43,75,1,100,4,4,0,8,11,3,0.256410256,"Andrew McCutchen",9847,457705
"LaMonte Wade Jr.","SFG",135,429,519,110,77,14,2,17,64,45,76,3,95,6,4,4,4,2,0,0.256410256,"LaMonte Wade Jr.",18126,664774
"Spencer Horwitz","TOR",15,39,44,10,7,2,0,1,5,7,4,0,12,1,0,0,1,0,0,0.256410256,"Spencer Horwitz",26477,687462
"Kyle Farmer","MIN",120,336,369,86,59,14,2,11,49,46,23,0,86,8,2,0,7,2,4,0.25595238,"Kyle Farmer",14813,571657
"Jake Fraley","CIN",111,336,380,86,53,18,0,15,41,65,37,2,71,6,1,0,5,21,5,0.25595238,"Jake Fraley",19260,641584
"Tommy Pham","- - -",129,426,481,109,63,27,3,16,55,68,47,1,106,2,6,0,11,22,3,0.255868544,"Tommy Pham",2967,502054
"Sam Huff","TEX",21,43,45,11,6,2,0,3,5,6,2,0,17,0,0,0,1,0,0,0.255813953,"Sam Huff",22209,669087
"Gunnar Henderson","BAL",150,560,622,143,77,29,9,28,100,82,56,1,159,3,3,0,10,10,3,0.255357142,"Gunnar Henderson",26289,683002
"Eddie Rosario","ATL",142,478,516,122,74,24,3,21,64,74,34,1,122,1,2,1,13,3,4,0.255230125,"Eddie Rosario",12155,592696
"Jorge Polanco","MIN",80,302,343,77,45,18,0,14,38,48,36,0,88,2,3,0,2,4,0,0.254966887,"Jorge Polanco",13152,593871
"Tyler Wade","OAK",26,51,55,13,11,1,1,0,8,2,4,0,13,0,0,0,0,4,0,0.25490196,"Tyler Wade",15730,642180
"Salvador Perez","KCR",140,538,580,137,93,21,0,23,59,80,19,6,135,13,8,0,11,0,0,0.25464684,"Salvador Perez",7304,521692
"Dominic Smith","WSN",153,527,586,134,100,21,1,12,57,46,47,1,91,10,2,0,12,1,1,0.254269449,"Dominic Smith",15653,642086
"Francisco Lindor","NYM",160,602,687,153,87,33,2,31,108,98,66,1,137,12,7,0,8,31,4,0.254152823,"Francisco Lindor",12916,596019
"Ryan McKenna","BAL",89,122,139,31,22,7,0,2,23,18,9,0,40,3,2,3,4,5,0,0.25409836,"Ryan McKenna",19928,663630
"Randy Arozarena","TBR",151,551,654,140,95,19,3,23,95,83,80,1,156,18,5,0,10,22,10,0.254083484,"Randy Arozarena",19290,668227
"Esteury Ruiz","OAK",132,449,497,114,84,24,1,5,47,47,20,1,99,16,1,4,7,67,13,0.25389755,"Esteury Ruiz",21780,665923
"Brandon Belt","TOR",103,339,404,86,44,23,0,19,53,43,61,1,141,2,2,0,5,0,0,0.253687315,"Brandon Belt",10264,474832
"Kevin Newman","CIN",74,225,253,57,38,16,0,3,28,28,17,0,34,4,5,2,7,8,1,0.253333333,"Kevin Newman",17696,621028
"Curtis Mead","TBR",24,83,92,21,16,3,1,1,12,5,7,0,21,2,0,0,3,0,0,0.253012048,"Curtis Mead",23986,678554
"Ezequiel Tovar","COL",153,581,615,147,91,37,4,15,79,73,25,0,166,4,3,2,10,11,5,0.253012048,"Ezequiel Tovar",24064,678662
"Taylor Ward","LAA",97,356,409,90,58,18,0,14,60,47,39,0,80,8,6,0,9,4,2,0.252808988,"Taylor Ward",17548,621493
"Aaron Hicks","- - -",93,269,312,68,50,9,1,8,44,36,42,1,69,0,1,0,3,6,0,0.252788104,"Aaron Hicks",5297,543305
"Jesús Sánchez","MIA",125,360,402,91,51,23,3,14,43,52,38,1,107,2,1,1,12,3,1,0.252777777,"Jesus Sanchez",19913,660821
"Sam Haggerty","SEA",52,91,108,23,18,3,1,1,13,5,15,0,17,1,0,1,0,10,1,0.252747252,"Sam Haggerty",18054,664059
"Jarred Kelenic","SEA",105,372,416,94,56,25,2,11,44,49,41,4,132,1,2,0,6,13,5,0.252688172,"Jarred Kelenic",22558,672284
"René Pinto","TBR",39,103,105,26,17,3,0,6,10,16,2,0,34,0,0,0,2,0,0,0.252427184,"Rene Pinto",19859,650907
"Jacob Young","WSN",33,107,121,27,19,7,1,0,9,12,10,0,22,1,0,3,2,13,0,0.252336448,"Jacob Young",29931,696285
"Mike Tauchman","CHC",108,337,401,85,59,18,0,8,64,48,56,1,86,4,3,1,3,7,1,0.252225519,"Mike Tauchman",15274,643565
"Harold Castro","COL",99,258,270,65,51,13,0,1,24,31,9,0,66,0,2,1,5,1,0,0.251937984,"Harold Castro",14691,605612
"Ildemaro Vargas","WSN",86,262,286,66,47,13,2,4,32,31,19,0,20,1,1,3,10,1,1,0.251908396,"Ildemaro Vargas",13324,545121
"Zach Remillard","CHW",54,147,160,37,29,7,0,1,16,18,8,1,48,1,0,4,3,4,3,0.25170068,"Zach Remillard",19788,621545
"J.T. Realmuto","PHI",135,489,540,123,70,28,5,20,70,63,35,3,138,9,5,0,10,16,5,0.251533742,"J.T. Realmuto",11739,592663
"Jason Delay","PIT",70,167,187,42,29,11,1,1,20,18,14,0,44,3,1,2,5,0,0,0.251497005,"Jason Delay",19806,641511
"Jeimer Candelario","- - -",140,505,576,127,63,39,3,22,77,70,53,1,127,13,4,0,11,8,1,0.251485148,"Jeimer Candelario",13621,600869
"Sean Murphy","ATL",108,370,438,93,51,21,0,21,65,68,49,0,98,18,1,0,18,0,0,0.251351351,"Sean Murphy",19352,669221
"Andrés Giménez","CLE",153,557,616,140,93,27,5,15,76,62,32,3,112,20,3,4,10,30,6,0.251346499,"Andres Gimenez",19950,665926
"Elvis Andrus","CHW",112,374,406,94,67,20,1,6,39,44,25,1,71,4,2,1,11,12,4,0.251336898,"Elvis Andrus",8709,462101
"Matt Duffy","KCR",79,191,209,48,38,8,0,2,17,16,12,0,39,4,2,0,4,1,0,0.2513089,"Matt Duffy",13836,622110
"Garrett Cooper","- - -",123,422,457,106,70,18,1,17,42,61,31,0,132,2,2,0,15,0,0,0.251184834,"Garrett Cooper",15279,643265
"Edmundo Sosa","PHI",104,279,300,70,43,15,2,10,34,30,8,0,74,9,1,2,10,4,2,0.250896057,"Edmundo Sosa",17022,624641
"Ty France","SEA",158,587,665,147,103,32,0,12,79,58,43,0,117,34,1,0,25,1,0,0.250425894,"Ty France",17982,664034
"Manny Piña","OAK",4,12,12,3,2,0,0,1,1,1,0,0,3,0,0,0,1,0,0,0.25,"Manny Pina",2829,444489
"Corey Dickerson","WSN",50,144,152,36,26,7,1,2,12,17,7,0,28,0,1,0,3,0,1,0.25,"Corey Dickerson",10762,572816
"Jorge Soler","MIA",137,504,580,126,66,24,0,36,77,75,66,4,141,6,4,0,20,1,0,0.25,"Jorge Soler",14221,624585
"Miguel Andujar","PIT",30,84,90,21,10,7,0,4,9,18,6,0,13,0,0,0,1,2,0,0.25,"Miguel Andujar",15878,609280
"Luis Torrens","- - -",18,28,30,7,4,3,0,0,1,4,1,0,9,1,0,0,0,0,0,0.25,"Luis Torrens",15905,620443
"Eguy Rosario","SDP",11,36,37,9,5,1,1,2,6,6,1,0,12,0,0,0,1,0,0,0.25,"Eguy Rosario",19964,666703
"Isaac Paredes","TBR",143,492,571,123,68,24,0,31,71,98,58,0,104,20,1,0,11,1,0,0.25,"Isaac Paredes",20036,670623
"Jazz Chisholm Jr.","MIA",97,352,383,88,55,12,2,19,50,51,26,0,118,2,2,1,4,22,3,0.25,"Jazz Chisholm Jr.",20454,665862
"Oneil Cruz","PIT",9,32,40,8,6,1,0,1,7,4,7,0,8,0,1,0,0,3,0,0.25,"Oneil Cruz",21711,665833
"Jake Burger","- - -",141,492,540,123,60,28,1,34,71,80,32,0,149,12,4,0,4,1,1,0.25,"Jake Burger",22275,669394
"Alejandro Kirk","TOR",123,372,422,93,69,16,0,8,34,43,42,1,45,6,2,0,21,0,0,0.25,"Alejandro Kirk",22581,672386
"Luis Matos","SFG",76,228,253,57,41,13,1,2,24,14,20,0,33,3,0,2,3,3,0,0.25,"Luis Matos",26467,682641
"Luke Raley","TBR",118,357,406,89,44,23,3,19,56,49,28,0,128,18,2,1,2,14,3,0.249299719,"Luke Raley",19354,670042
"Matt Wallner","MIN",76,213,254,53,27,11,1,14,42,41,28,1,80,13,0,0,1,2,1,0.248826291,"Matt Wallner",26466,670242
"James Outman","LAD",151,483,567,120,78,16,3,23,86,70,68,1,181,12,4,0,4,16,3,0.248447204,"James Outman",24770,681546
"Tommy Edman","STL",137,479,528,119,77,25,4,13,69,47,35,1,84,7,4,3,9,27,4,0.248434237,"Tommy Edman",19470,669242
"Ian Happ","CHC",158,580,691,144,84,35,4,21,86,84,99,2,153,6,6,0,12,14,3,0.248275862,"Ian Happ",17919,664023
"C.J. Cron","- - -",71,258,278,64,40,12,0,12,38,37,17,0,65,1,2,0,13,0,0,0.248062015,"C.J. Cron",12546,543068
"J.D. Davis","SFG",144,480,546,119,77,23,1,18,61,69,52,0,152,6,6,0,16,1,0,0.247916666,"J.D. Davis",16219,605204
"Santiago Espinal","TOR",93,230,254,57,41,14,0,2,30,25,18,1,36,3,1,2,5,2,1,0.247826086,"Santiago Espinal",19997,669289
"Starling Marte","NYM",86,315,341,78,65,7,1,5,38,28,16,1,69,8,0,2,8,24,4,0.247619047,"Starling Marte",9241,516782
"Rob Refsnyder","BOS",89,202,243,50,39,9,1,1,31,28,33,0,47,5,1,1,8,7,2,0.247524752,"Rob Refsnyder",13770,608701
"Ronny Mauricio","NYM",26,101,108,25,19,4,0,2,11,9,7,0,31,0,0,0,2,7,0,0.247524752,"Ronny Mauricio",23698,677595
"Christopher Morel","CHC",107,388,429,96,50,17,3,26,62,70,36,0,133,2,2,1,7,6,2,0.24742268,"Christopher Morel",21897,666624
"David Fletcher","LAA",33,89,97,22,19,1,0,2,7,12,7,1,9,0,0,1,2,0,0,0.247191011,"David Fletcher",17992,664058
"Mike Moustakas","- - -",112,352,386,87,60,15,0,12,43,48,23,1,95,3,8,0,7,0,0,0.24715909,"Mike Moustakas",4892,519058
"Connor Joe","PIT",133,413,472,102,56,31,4,11,63,42,50,0,110,8,1,0,4,3,5,0.246973365,"Connor Joe",16572,656582
"Brayan Rocchio","CLE",23,81,86,20,14,6,0,0,9,8,4,0,27,0,1,0,4,0,0,0.24691358,"Brayan Rocchio",23690,677587
"Adam Duvall","BOS",92,320,353,79,32,24,2,21,45,58,22,1,110,6,5,0,0,4,0,0.246875,"Adam Duvall",10950,594807
"Josh Bell","- - -",150,547,617,135,85,28,0,22,52,74,63,2,134,2,3,0,13,0,1,0.246800731,"Josh Bell",13145,605137
"Vinnie Pasquantino","KCR",61,231,260,57,31,17,0,9,24,26,25,2,31,2,1,0,7,0,0,0.246753246,"Vinnie Pasquantino",27676,686469
"Brent Rooker","OAK",137,463,526,114,63,20,1,30,61,69,49,1,172,10,4,0,11,4,0,0.246220302,"Brent Rooker",19627,667670
"Garrett Mitchell","MIL",19,65,73,16,10,2,1,3,10,7,7,0,26,0,1,0,0,1,1,0.246153846,"Garrett Mitchell",27555,669003
"Sal Frelick","MIL",57,191,223,47,34,9,1,3,29,24,28,0,37,1,3,0,2,7,0,0.246073298,"Sal Frelick",29622,686217
"Geraldo Perdomo","ARI",144,407,495,100,70,20,4,6,71,47,64,1,86,6,4,14,2,16,4,0.245700245,"Geraldo Perdomo",22799,672695
"Tim Anderson","CHW",123,493,524,121,100,18,2,1,52,25,26,0,122,3,2,0,15,13,2,0.245436105,"Tim Anderson",15172,641313
"Josh Rojas","- - -",105,314,350,77,56,17,0,4,47,40,27,0,81,1,4,2,3,12,0,0.245222929,"Josh Rojas",19734,668942
"CJ Abrams","WSN",151,563,614,138,86,28,6,18,83,64,32,2,118,13,3,3,7,47,4,0.245115452,"CJ Abrams",25768,682928
"Adolis García","TEX",148,555,632,136,68,29,0,39,108,107,65,0,175,6,6,0,12,9,1,0.245045045,"Adolis Garcia",19287,666969
"Yuli Gurriel","MIA",108,298,329,73,50,16,3,4,32,27,26,3,44,1,4,0,13,4,0,0.244966442,"Yuli Gurriel",19198,493329
"Corey Julks","HOU",93,298,323,73,53,14,0,6,35,33,22,0,75,1,2,0,6,15,3,0.244966442,"Corey Julks",20311,667452
"Terrin Vavra","BAL",27,49,56,12,12,0,0,0,9,5,5,0,12,0,0,2,5,1,0,0.244897959,"Terrin Vavra",24400,679631
