"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Jake Rogers","DET","80","305","268","54","10","3","13","36","36","28","106","4","2","0","",".201",".285",".407",".691",".298","","0.2","1.7","","-4.5","7.3","1.3","19452"
"Taylor Walls","TBR","101","416","364","80","19","2","7","47","39","44","114","2","13","8","",".220",".304",".341",".645",".285","","-1.1","3.7","","-9.2","8.3","1.3","22458"
"Dillon Dingler","DET","88","370","338","77","9","3","14","47","44","17","100","9","1","0","",".228",".281",".396",".677",".292","","-0.1","1.5","","-7.7","8.3","1.3","sa3014528"
"Nick Ahmed","ARI","126","474","433","105","26","4","9","51","49","34","97","2","6","2","",".242",".298",".383",".681",".293","","0.0","4.4","","-12.2","9.6","1.3","12147"
"Scott Manea","HOU","79","306","269","58","11","0","10","38","34","27","80","9","0","2","",".216",".307",".368",".675",".297","","-1.1","2.0","","-5.0","7.6","1.3","sa829837"
"Jarren Duran","BOS","106","460","422","108","19","5","12","53","41","30","121","5","19","5","",".256",".312",".410",".721",".312","","1.3","-1.4","","-2.9","0.3","1.3","24617"
"Hunter Renfroe","MIL","130","492","443","100","22","0","28","66","75","42","128","2","3","1","",".226",".293",".465",".758",".320","","-0.1","3.6","","-1.4","-1.8","1.3","15464"
"Miguel Amaya","CHC","61","261","220","48","12","0","8","36","28","33","56","6","2","0","",".218",".333",".382",".715",".317","","0.2","0.7","","-1.2","5.5","1.3","sa917354"
"Yonny Hernandez","TEX","110","449","384","92","14","2","2","50","24","53","84","9","23","11","",".240",".345",".302",".647",".297","","-0.5","3.2","","-7.2","4.8","1.3","19432"
"Kevin Smith","TOR","112","457","416","93","20","2","20","52","59","32","138","4","11","3","",".224",".284",".425",".709",".302","","0.6","-0.9","","-6.7","4.1","1.3","20242"
"Luke Raley","LAD","92","366","328","77","12","2","17","46","54","21","107","14","5","1","",".235",".307",".439",".746",".320","","0.3","3.7","","1.2","-0.3","1.3","19354"
"Gavin Sheets","CHW","111","427","388","99","20","0","21","53","70","32","99","2","1","1","",".255",".313",".469",".782",".333","","-0.5","0.5","","5.8","-7.3","1.3","19901"
"Victor Reyes","DET","131","453","426","118","23","6","10","59","43","21","98","2","12","4","",".277",".312",".430",".742",".317","","0.4","1.9","","0.6","-3.1","1.3","15487"
"Jordan Luplow","ARI","85","283","245","58","15","1","11","37","38","34","71","3","3","3","",".237",".336",".441",".777",".336","","-0.9","0.5","","1.9","1.5","1.3","16424"
"Kevin Kiermaier","TBR","110","386","351","81","17","7","6","46","38","28","91","5","9","4","",".231",".295",".370",".666",".288","","-0.2","5.0","","-6.8","6.4","1.3","11038"
"Zack Short","DET","92","353","298","61","13","1","13","45","39","45","104","5","4","1","",".205",".315",".386",".701",".307","","0.1","-0.4","","-2.8","3.5","1.3","19562"
"Dustin Harris","TEX","112","467","427","116","19","1","16","67","61","30","83","4","13","2","",".272",".323",".433",".757",".325","","1.4","0.1","","5.3","-8.5","1.3","sa3010279"
"Brett Phillips","TBR","119","360","309","58","9","6","11","48","41","43","133","2","14","2","",".188",".289",".362",".651",".286","","1.7","4.2","","-5.1","5.5","1.3","14735"
"Brian O'Keefe","SEA","94","391","357","79","13","0","16","42","46","31","112","2","2","1","",".221",".286",".392",".679",".294","","-0.3","-2.6","","-5.2","4.6","1.3","sa829152"
"Mark Payton","NYM","98","356","323","80","16","2","11","38","35","26","72","2","4","3","",".248",".305",".412",".717",".308","","-0.7","1.5","","-2.0","2.8","1.3","16042"
"Clay Dungan","KCR","98","447","411","110","19","2","7","64","41","26","71","5","12","5","",".268",".317",".375",".692",".302","","-0.1","2.2","","-6.4","3.8","1.3","sa1169803"
"Bryan Lavastida","CLE","88","348","310","77","17","1","9","56","40","29","74","3","10","5","",".248",".316",".397",".713",".309","","-0.4","-3.0","","-2.6","3.4","1.3","sa3006917"
"Carter Kieboom","WSN","114","476","413","98","19","1","13","61","52","50","115","10","2","1","",".237",".332",".383",".714",".314","","-0.4","-0.6","","-4.4","1.1","1.2","19958"
"Marcell Ozuna","ATL","90","385","348","90","15","1","17","47","61","35","81","1","3","0","",".259",".327",".454",".781",".335","","0.3","0.5","","3.5","-3.7","1.2","10324"
"José Marmolejos","","111","427","382","94","18","1","18","52","59","38","100","2","0","0","",".246",".315",".440",".755",".323","","-0.3","1.5","","4.3","-6.3","1.2","15767"
"Jonah Heim","TEX","84","318","291","70","15","0","7","31","32","22","57","2","1","1","",".241",".296",".364",".660",".288","","-0.5","3.4","","-7.6","9.2","1.2","16930"
"Alberto Rodriguez","SEA","102","459","419","95","20","2","16","62","57","32","116","3","8","3","",".227",".284",".399",".683",".294","","0.0","7.7","","-5.8","2.6","1.2","sa3005603"
"Rodolfo Castro","PIT","117","461","424","95","22","2","20","52","59","27","123","4","6","3","",".224",".275",".427",".702",".298","","-0.3","4.2","","-8.7","5.9","1.2","21987"
"Wyatt Mathisen","SFG","91","329","284","63","15","1","10","40","39","31","89","11","1","0","",".222",".320",".387",".707",".311","","-0.1","1.8","","-1.5","3.0","1.2","14555"
"Rylan Bannon","BAL","104","430","380","81","18","2","18","46","52","43","104","4","7","2","",".213",".298",".413",".712",".307","","0.3","0.2","","-4.1","1.8","1.2","sa3004162"
"Cal Raleigh","SEA","98","392","362","80","22","0","15","41","51","24","102","3","3","1","",".221",".273",".406",".679",".290","","-0.1","-1.7","","-6.5","5.5","1.2","21534"
"Rafael Ortega","CHC","119","434","394","98","19","3","12","50","46","37","86","2","10","5","",".249",".316",".404",".720",".312","","-0.4","0.7","","-4.3","2.3","1.2","10323"
"Adam Duvall","ATL","127","469","431","97","17","3","27","56","94","30","130","5","2","0","",".225",".281",".466",".748",".315","","0.1","5.8","","-3.9","0.6","1.2","10950"
"Eliezer Alfonzo","DET","98","396","375","98","17","0","10","59","46","16","37","1","2","1","",".261",".292",".387",".679",".293","","-0.3","-0.4","","-8.1","6.9","1.2","sa3003262"
"Brendan Donovan","STL","110","463","413","100","20","1","9","63","45","36","96","9","7","3","",".242",".315",".361",".675",".297","","-0.2","2.4","","-7.2","4.1","1.2","sa3006675"
"Enmanuel Valdez","HOU","105","429","390","85","18","1","20","51","62","28","107","3","4","2","",".218",".273",".423",".696",".296","","-0.3","2.4","","-6.4","4.0","1.2","sa917288"
"Sheldon Neuse","LAD","123","480","443","109","21","2","16","55","60","30","138","2","4","1","",".246",".295",".411",".706",".303","","0.0","0.0","","-5.5","1.8","1.2","19635"
"Edouard Julien","MIN","112","510","441","100","25","1","14","77","67","63","153","4","15","2","",".227",".328",".383",".711",".313","","1.7","-7.5","","0.4","-5.6","1.2","sa3014445"
"Tim Locastro","","92","279","243","61","16","2","5","38","23","16","51","18","12","2","",".251",".342",".395",".737",".326","","1.3","-0.4","","1.9","0.6","1.2","15124"
"Eric Haase","DET","100","382","350","77","13","1","16","46","55","26","123","3","2","0","",".220",".277",".400",".677",".291","","0.1","-0.1","","-7.9","6.9","1.2","14111"
"Bradley Zimmer","CLE","104","363","313","70","11","1","9","47","36","31","123","16","13","3","",".224",".322",".351",".674",".301","","1.0","1.9","","-3.6","3.2","1.2","16221"
"Luke Voit","NYY","94","372","326","81","13","1","18","47","56","38","101","7","0","0","",".248",".339",".460",".799",".344","","-0.3","-2.3","","8.4","-9.1","1.2","14811"
"Joc Pederson","","131","441","391","93","18","3","21","58","68","38","103","9","2","3","",".238",".317",".460",".778",".332","","-1.2","0.8","","1.4","-4.1","1.2","11899"
"LaMonte Wade Jr.","SFG","116","416","362","88","19","3","16","55","50","42","94","6","6","2","",".243",".329",".445",".774",".333","","0.0","-2.8","","5.5","-7.4","1.2","18126"
"Sam Hilliard","COL","127","474","431","98","20","4","23","61","61","39","153","2","11","3","",".227",".294",".452",".746",".316","","0.6","3.9","","-9.5","5.6","1.2","17954"
"Jonathan Araúz","BOS","109","392","349","83","18","1","12","53","45","35","82","1","2","1","",".238",".307",".398",".705",".306","","-0.3","3.0","","-5.9","4.4","1.2","20275"
"Max Stassi","LAA","81","271","241","53","10","0","10","31","29","23","81","5","0","0","",".220",".299",".386",".685",".299","","-0.2","1.9","","-4.3","6.9","1.2","10059"
"Danny Mendick","CHW","118","422","376","88","15","1","9","45","39","39","88","3","6","4","",".234",".309",".351",".660",".292","","-0.8","1.9","","-9.1","6.6","1.2","18889"
"Carson Taylor","LAD","82","349","316","78","14","0","12","49","44","26","75","1","1","0","",".247",".303",".405",".709",".306","","-0.1","-2.8","","-3.3","3.6","1.2","sa3014468"
"Lorenzo Cain","MIL","95","385","349","91","16","0","7","43","29","30","62","4","11","4","",".261",".325",".367",".691",".305","","0.2","3.3","","-5.8","4.7","1.2","9077"
"Jake Fraley","SEA","95","364","313","71","15","2","13","43","49","42","105","5","11","4","",".227",".325",".412",".737",".319","","0.2","0.1","","3.1","-3.9","1.2","19260"
"Seth Brown","OAK","116","419","385","90","23","3","19","53","63","28","119","2","4","1","",".234",".286",".457",".744",".313","","0.1","1.0","","0.8","-3.6","1.1","18171"
"Daniel Vogelbach","","115","395","329","75","14","0","18","50","53","64","89","1","0","0","",".228",".354",".435",".789",".344","","-0.4","-0.8","","6.4","-8.1","1.1","14130"
"Alex De Goti","HOU","109","459","413","90","20","2","9","53","40","35","117","4","4","1","",".218",".282",".341",".624",".274","","0.0","5.6","","-14.9","10.7","1.1","19477"
"Juan Yepez","STL","106","411","363","87","22","0","19","51","59","35","94","6","1","2","",".240",".314",".457",".771",".329","","-0.9","1.7","","3.6","-5.9","1.1","sa877505"
"Xavier Edwards","TBR","96","412","372","98","16","4","3","53","30","31","60","2","15","8","",".263",".321",".352",".673",".296","","-0.7","0.9","","-5.2","2.4","1.1","sa3007018"
"Nick Loftin","KCR","94","424","392","103","20","3","9","63","45","26","65","4","5","1","",".263",".314",".398",".712",".309","","0.2","-4.6","","-3.2","0.1","1.1","sa3014511"
"Jason Vosler","SFG","106","385","340","79","17","2","12","50","43","34","88","4","1","0","",".232",".306",".400",".706",".305","","-0.1","0.9","","-3.8","2.3","1.1","16686"
"Tom Murphy","SEA","82","286","254","54","10","1","11","29","34","28","89","2","1","1","",".213",".294",".390",".683",".297","","-0.4","-0.4","","-3.4","4.9","1.1","13499"
"Yandy Díaz","TBR","112","458","398","103","19","1","11","54","49","54","72","2","1","1","",".259",".347",".394",".742",".324","","-0.6","-1.0","","5.1","-9.4","1.1","16578"
"TJ Friedl","CIN","110","437","384","95","16","5","12","50","37","38","82","10","10","4","",".247",".329",".409",".738",".321","","-0.1","-1.7","","-3.2","-0.1","1.1","19522"
"Rougned Odor","BAL","111","429","384","83","20","1","21","56","63","34","120","8","4","5","",".216",".292",".438",".730",".311","","-1.6","-0.6","","-4.4","1.0","1.1","12282"
"Adam Engel","CHW","108","360","331","78","16","3","11","40","36","18","89","8","11","3","",".236",".291",".402",".692",".299","","0.7","1.7","","-4.1","3.0","1.1","15082"
"José Abreu","CHW","128","554","497","128","27","1","21","64","91","37","116","13","1","0","",".258",".321",".443",".764",".326","","-0.2","-2.2","","4.7","-12.4","1.1","15676"
"Josh VanMeter","ARI","125","411","359","82","23","3","12","47","50","47","107","3","7","3","",".228",".321",".409",".731",".317","","-0.2","-1.3","","-2.7","0.2","1.1","15170"
"Jamie Ritchie","PIT","75","304","265","66","16","0","3","42","23","31","53","5","1","1","",".249",".337",".343",".680",".304","","-0.5","-0.1","","-4.5","5.5","1.1","sa829058"
"Owen Miller","CLE","113","461","425","105","21","2","10","48","43","29","111","4","2","2","",".247",".300",".376",".676",".295","","-0.8","2.9","","-9.2","4.6","1.1","24655"
"Odúbel Herrera","","110","434","400","103","22","2","12","48","49","25","70","5","5","1","",".258",".307",".413",".720",".310","","0.2","-0.4","","-4.5","1.2","1.1","11476"
"Andrew Velazquez","LAA","103","352","320","75","18","3","8","47","35","27","104","2","19","4","",".234",".297",".384",".682",".296","","1.9","-0.7","","-4.2","3.2","1.1","14196"
"Brendon Davis","LAA","122","503","455","103","20","2","20","50","57","35","142","7","7","2","",".226",".289",".411",".700",".301","","0.2","-1.7","","-6.3","0.1","1.1","sa875089"
"Victor Caratini","SDP","107","328","288","69","12","0","8","33","37","32","72","5","1","0","",".240",".323",".365",".688",".299","","-0.1","-1.5","","-4.6","4.5","1.1","14968"
"AJ Pollock","LAD","97","362","333","87","18","1","15","44","57","21","72","5","5","1","",".261",".312",".456",".769",".326","","0.3","-0.1","","2.9","-4.1","1.1","9256"
"C.J. Cron","COL","120","469","415","109","25","1","22","54","72","40","101","11","1","0","",".263",".341",".487",".828",".352","","-0.2","0.1","","3.8","-8.5","1.1","12546"
"Michael Harris II","ATL","106","435","399","98","21","2","11","62","47","28","93","4","14","2","",".246",".300",".391",".691",".297","","1.6","3.2","","-8.4","4.8","1.1","sa3010684"
"Oscar Mercado","CLE","123","482","433","105","25","2","12","61","46","36","95","6","15","3","",".242",".308",".393",".700",".304","","1.4","3.2","","-3.5","-2.1","1.1","16375"
"Nico Hoerner","CHC","82","308","277","77","14","2","3","34","30","24","46","5","7","4","",".278",".344",".375",".720",".315","","-0.6","2.1","","-2.7","3.2","1.1","21479"
"Cristian Pache","ATL","117","447","411","93","22","3","15","56","50","31","128","3","6","6","",".226",".285",".404",".689",".297","","-1.6","6.1","","-11.8","7.7","1.1","19948"
"Michael Hermosillo","CHC","69","271","236","54","10","2","12","37","36","22","83","10","5","3","",".229",".319",".441",".759",".328","","-0.5","0.2","","0.5","1.2","1.1","16285"
"Michael Massey","KCR","91","399","369","93","18","1","13","51","46","20","71","4","6","1","",".252",".295",".412",".707",".304","","0.5","0.2","","-4.6","1.7","1.1","sa1115910"
"Riley Adams","WSN","86","322","280","60","13","1","10","35","30","31","109","10","1","0","",".214",".314",".375",".689",".305","","-0.1","-0.7","","-5.2","5.2","1.1","19864"
"Greg Allen","PIT","120","409","363","92","20","4","6","52","34","25","80","16","16","4","",".253",".328",".380",".708",".310","","1.2","4.0","","-2.4","-0.5","1.1","16623"
"Dylan Moore","SEA","111","350","310","66","15","2","11","40","40","31","94","7","18","6","",".213",".298",".381",".679",".297","","0.8","0.2","","-2.8","1.5","1.1","18042"
"Andrelton Simmons","","109","413","382","96","16","1","4","40","34","25","47","3","4","1","",".251",".302",".330",".632",".278","","0.0","5.0","","-13.0","9.6","1.1","10847"
"Alejo Lopez","CIN","110","457","413","113","20","1","5","58","35","33","62","6","6","4","",".274",".334",".363",".697",".307","","-0.9","3.1","","-9.3","4.8","1.1","21127"
"Travis Swaggerty","PIT","106","454","405","97","14","2","10","51","33","43","124","1","16","6","",".240",".313",".358",".671",".296","","0.3","2.7","","-8.8","4.4","1.1","sa3007512"
"Andrew Knizner","STL","78","293","264","63","11","0","8","34","31","21","54","6","2","0","",".239",".307",".371",".678",".296","","0.2","-0.1","","-4.4","5.3","1.1","19514"
"Niko Goodrum","","101","392","352","79","18","3","10","45","39","35","117","2","13","4","",".224",".296",".378",".674",".293","","0.6","-0.2","","-7.0","4.1","1.0","12092"
"Christian Koss","BOS","99","440","406","98","19","3","11","48","40","25","99","4","6","2","",".241",".290",".384",".674",".292","","0.0","2.1","","-11.4","7.0","1.0","sa3011227"
"Cole Tucker","PIT","114","444","394","89","19","5","9","51","37","44","107","2","9","4","",".226",".305",".368",".673",".295","","-0.2","0.5","","-9.6","5.4","1.0","17326"
"Bruce Maxwell","","82","346","313","70","15","0","9","38","38","30","95","1","0","0","",".224",".292",".358",".650",".283","","-0.3","2.6","","-10.0","9.0","1.0","13866"
"Deivy Grullón","","80","323","290","64","12","0","15","37","43","28","108","2","1","0","",".221",".292",".417",".709",".305","","0.0","-3.9","","-2.7","2.0","1.0","15988"
"Christin Stewart","BOS","106","417","372","91","22","3","19","46","65","36","107","6","1","1","",".245",".319",".473",".792",".334","","-0.5","-2.5","","3.3","-7.1","1.0","17714"
"Gage Workman","DET","119","514","477","103","28","3","15","52","51","31","153","2","16","4","",".216",".266",".382",".647",".278","","1.2","2.6","","-15.4","8.3","1.0","sa3014441"
"Mike Brosseau","MIL","109","385","346","81","18","1","14","48","46","29","101","8","4","1","",".234",".306",".413",".720",".311","","0.1","0.1","","-3.9","1.5","1.0","19683"
"Lorenzo Cedrola","CIN","119","469","438","124","15","5","9","61","44","16","60","9","9","7","",".283",".320",".402",".722",".312","","-1.5","1.1","","-8.0","2.8","1.0","sa872850"
"J.C. Correa","HOU","106","468","441","115","23","1","9","62","46","23","67","2","5","4","",".261",".300",".379",".678",".295","","-1.0","0.7","","-8.0","2.4","1.0","sa3014823"
"Michael Chavis","PIT","98","376","346","84","16","2","17","46","50","21","114","6","3","2","",".243",".296",".448",".744",".317","","-0.5","-2.2","","-1.3","-0.8","1.0","17321"
"David Freitas","NYY","73","270","241","63","11","0","6","30","28","24","52","2","1","0","",".261",".331",".382",".713",".312","","0.0","-3.0","","-0.9","2.0","1.0","10619"
"Patrick Dorrian","BAL","110","454","407","86","18","3","15","52","52","41","145","3","3","1","",".211",".287",".381",".668",".290","","-0.1","4.3","","-11.2","6.0","1.0","sa3007629"
"Avisaíl García","MIA","118","470","428","108","19","1","18","53","60","29","109","9","6","3","",".252",".311",".428",".738",".315","","-0.4","0.5","","-0.6","-4.7","1.0","5760"
"Ryan McKenna","BAL","119","425","373","84","16","3","13","48","45","43","130","4","9","5","",".225",".311",".389",".700",".305","","-0.6","-0.4","","-5.4","1.2","1.0","19928"
"René Pinto","TBR","88","348","321","69","16","1","9","36","36","21","106","3","3","2","",".215",".268",".355",".623",".271","","-0.5","3.3","","-11.3","9.7","1.0","sa826668"
"Brett Cumberland","BAL","76","301","253","46","9","0","11","33","27","31","105","16","0","0","",".182",".309",".348",".657",".296","","-0.2","0.4","","-6.0","5.9","1.0","sa915611"
"Willi Castro","DET","132","524","481","121","23","6","12","63","50","27","124","8","10","4","",".252",".300",".399",".699",".301","","-0.1","-2.6","","-7.0","-0.7","1.0","17338"
"Steven Duggar","SFG","109","373","338","82","19","4","7","47","38","32","111","2","8","2","",".243",".311",".385",".696",".301","","0.5","0.7","","-4.3","2.1","1.0","17719"
"Wilson Ramos","","89","327","304","80","13","0","10","29","42","19","55","2","0","0","",".263",".309",".405",".713",".307","","-0.3","-4.2","","-2.8","1.8","1.0","1433"
"Yolbert Sanchez","CHW","102","395","378","104","12","0","9","43","35","16","58","1","3","0","",".275",".306",".378",".685",".297","","0.3","0.9","","-5.7","2.4","1.0","sa3011471"
"Juniel Querecuto","","95","383","357","94","14","4","9","47","40","21","68","1","6","3","",".263",".304",".401",".705",".303","","-0.4","1.8","","-8.6","6.0","1.0","12140"
"Alex Isola","MIN","97","412","374","86","14","0","17","52","55","35","94","1","1","0","",".230",".297",".404",".701",".303","","-0.1","-6.7","","-4.8","0.9","1.0","sa1170516"
"Tyler Naquin","CIN","110","380","350","91","21","2","12","41","52","23","86","4","3","2","",".260",".311",".434",".745",".318","","-0.5","0.0","","-4.0","1.4","1.0","13359"
"Taylor Trammell","SEA","122","498","433","87","15","2","16","62","52","51","163","6","9","5","",".201",".291",".356",".647",".285","","-0.7","1.9","","-10.7","3.7","1.0","19960"
"Tommy Pham","","123","492","427","104","20","2","12","61","44","59","105","4","11","4","",".244",".339",".384",".724",".317","","0.1","-1.6","","0.7","-7.0","1.0","2967"
"Eddie Rosario","","115","471","440","118","22","2","20","61","74","26","69","0","7","2","",".268",".306",".464",".770",".325","","0.2","-0.8","","0.3","-6.0","1.0","12155"
"Joey Wiemer","MIL","112","482","435","104","15","1","22","63","64","38","126","5","14","3","",".239",".306",".430",".736",".315","","1.2","1.5","","-2.3","-3.8","1.0","sa3014531"
"Kyle Farmer","CIN","135","429","394","100","19","2","11","43","47","19","80","12","2","2","",".254",".306",".396",".702",".304","","-0.8","0.7","","-9.8","5.4","1.0","14813"
"Taylor Jones","HOU","97","397","351","87","21","1","13","50","51","36","96","4","0","1","",".248",".321",".425",".745",".320","","-0.7","1.8","","1.8","-5.5","1.0","19533"
"BJ Boyd","","89","370","343","88","15","1","12","50","47","19","78","4","6","0","",".257",".302",".411",".713",".306","","0.9","3.5","","-2.3","-0.6","1.0","sa657987"
"Josh Naylor","CLE","112","413","377","97","22","1","15","50","48","33","74","2","2","1","",".257",".320",".440",".760",".325","","-0.3","-2.4","","2.6","-7.0","1.0","18839"
"César Hernández","WSN","133","570","512","126","22","2","14","68","57","51","110","4","3","1","",".246",".318",".379",".696",".304","","-0.3","-1.5","","-9.7","0.6","1.0","10556"
"Renato Núñez","","117","466","418","103","19","1","23","59","71","35","116","8","1","0","",".246",".315",".462",".776",".332","","-0.2","-0.3","","3.1","-8.9","1.0","14503"
"Zack Collins","CHW","93","341","286","56","14","1","11","39","41","49","118","2","1","0","",".196",".315",".367",".682",".301","","-0.1","-4.1","","-4.1","2.2","1.0","19181"
"Luke Berryhill","HOU","76","306","270","61","13","0","13","41","43","24","106","8","2","1","",".226",".306",".419",".724",".314","","-0.2","-4.1","","0.0","-0.7","1.0","sa3011587"
"Ryan Dorow","TEX","108","436","389","83","16","1","11","44","36","36","128","6","4","1","",".213",".288",".344",".632",".278","","0.1","3.3","","-13.3","8.1","1.0","23559"
"Kody Clemens","DET","106","439","397","90","18","5","15","47","52","30","113","3","4","1","",".227",".283",".411",".693",".296","","0.1","0.4","","-7.3","2.0","1.0","sa3008002"
"Bryan De La Cruz","MIA","126","520","473","127","22","3","14","57","49","37","122","3","2","4","",".268",".323",".416",".740",".319","","-1.7","-1.8","","-0.1","-7.5","1.0","19600"
"Abiatal Avelino","","112","453","418","105","17","4","8","57","44","27","82","3","12","4","",".251",".300",".368",".668",".290","","0.4","1.5","","-11.9","6.5","1.0","15496"
"Yan Gomes","CHC","85","318","294","72","14","1","10","36","39","17","70","5","1","0","",".245",".296",".401",".697",".297","","0.0","0.0","","-6.9","5.8","0.9","9627"
"Justin Foscue","TEX","68","291","263","61","15","1","11","37","39","21","79","5","1","1","",".232",".300",".422",".722",".311","","-0.4","-0.2","","-1.3","0.9","0.9","sa3014527"
"Skye Bolt","OAK","84","300","271","60","14","2","8","33","30","24","82","2","5","2","",".221",".289",".376",".665",".288","","0.0","3.8","","-5.7","4.9","0.9","17723"
"Greg Cullen","BAL","98","414","360","81","15","4","8","47","32","43","97","10","0","2","",".225",".324",".356",".679",".303","","-1.2","0.6","","-6.7","2.1","0.9","sa3007069"
"Samad Taylor","TOR","96","394","349","79","15","1","15","49","42","33","122","5","18","6","",".226",".299",".404",".703",".302","","0.8","0.2","","-5.6","1.6","0.9","sa918192"
"Andrew Young","WSN","106","352","310","68","20","2","16","45","49","23","127","15","2","0","",".219",".303",".452",".754",".323","","0.2","-3.5","","0.0","-2.2","0.9","19521"
"Lewin Díaz","MIA","116","456","423","103","21","2","20","51","54","25","105","4","1","0","",".243",".290",".444",".735",".310","","-0.1","4.7","","-2.0","-3.7","0.9","18365"
"Cal Stevenson","TBR","97","403","349","78","13","2","6","50","34","46","92","1","10","4","",".223",".313",".324",".637",".286","","0.0","1.9","","-7.7","3.4","0.9","sa3006871"
"Zach McKinstry","LAD","104","377","344","81","17","3","14","42","52","27","97","3","4","4","",".235",".295",".424",".720",".308","","-1.1","-0.3","","-4.2","1.1","0.9","19392"
"Arquímedes Gamboa","","110","403","356","72","13","4","7","42","30","44","118","1","9","3","",".202",".291",".320",".611",".273","","0.2","5.9","","-14.3","10.3","0.9","sa877497"
"Connor Wong","BOS","81","333","311","70","16","3","13","37","41","18","117","3","6","2","",".225",".273",".421",".694",".296","","0.2","-0.9","","-7.2","5.2","0.9","19896"
"Ji-hwan Bae","PIT","92","401","361","90","15","4","8","45","32","33","88","3","16","6","",".249",".316",".380",".695",".304","","0.3","-0.4","","-5.0","1.1","0.9","sa3006895"
"Luis Guillorme","NYM","94","265","226","58","10","0","4","27","17","33","46","1","1","2","",".257",".351",".354",".705",".314","","-0.9","0.0","","-0.4","1.0","0.9","16451"
"Francisco Urbaez","CIN","100","407","372","101","21","1","5","56","30","30","64","5","2","0","",".272",".334",".374",".708",".312","","0.0","0.0","","-5.7","1.5","0.9","sa3014944"
"Carlos Pérez","","90","368","340","71","15","1","12","36","44","19","65","5","0","0","",".209",".259",".365",".624",".268","","-0.2","3.2","","-13.2","10.0","0.9","10642"
"Joey Bart","SFG","73","303","280","66","13","1","9","37","31","17","95","5","1","1","",".236",".290",".386",".676",".294","","-0.4","-0.1","","-6.3","5.5","0.9","21524"
"Miles Mastrobuoni","TBR","106","425","384","91","15","3","5","49","32","37","105","1","6","6","",".237",".305",".331",".636",".281","","-1.7","1.3","","-11.2","6.0","0.9","sa918318"
"Michael Busch","LAD","105","480","423","94","22","1","18","60","60","43","143","8","1","2","",".222",".304",".407",".711",".308","","-1.0","-3.9","","-4.5","-2.1","0.9","sa3011540"
"Garrett Cooper","MIA","85","311","276","71","12","1","10","36","36","30","81","4","1","0","",".257",".338",".417",".754",".329","","-0.1","-1.2","","3.5","-4.6","0.9","15279"
"Kevin Padlo","SEA","107","421","372","73","16","1","15","45","45","39","143","4","6","2","",".196",".277",".366",".642",".279","","0.1","3.8","","-10.5","5.3","0.9","16593"
"Tucker Barnhart","DET","104","351","315","72","16","0","6","30","33","30","78","4","0","0","",".229",".302",".337",".639",".281","","-0.3","1.4","","-10.6","7.8","0.9","10200"
"Nick Fortes","MIA","98","372","334","76","15","2","9","47","38","28","73","6","3","1","",".228",".296",".365",".662",".289","","-0.1","-1.7","","-8.3","5.1","0.9","21538"
"Alex Kirilloff","MIN","83","343","318","86","17","2","13","37","45","21","80","3","3","3","",".270",".321",".459",".780",".332","","-0.9","0.4","","3.4","-5.9","0.9","20325"
"Meibrys Viloria","TEX","92","353","315","69","14","1","8","35","30","30","104","4","2","2","",".219",".293",".346",".639",".282","","-0.7","0.9","","-10.3","7.4","0.9","17109"
"Ronaldo Hernández","BOS","101","403","378","91","21","2","12","43","46","15","87","6","2","1","",".241",".278",".402",".680",".291","","-0.3","-1.0","","-11.0","6.4","0.9","sa881850"
"Andre Lipcius","DET","108","448","404","91","20","2","10","56","43","35","94","1","4","1","",".225",".286",".359",".645",".281","","0.1","5.3","","-13.1","6.9","0.9","sa3010401"
"Alex Call","CLE","98","401","358","81","17","2","11","45","39","33","88","4","6","3","",".226",".296",".377",".674",".294","","-0.4","1.9","","-8.0","3.4","0.9","sa913343"
"Jacob Wilson","","85","348","308","67","16","2","12","42","45","30","77","4","1","0","",".218",".293",".399",".692",".299","","0.0","-0.2","","-3.9","1.1","0.9","13254"
"Geraldo Perdomo","ARI","100","422","368","85","14","6","5","47","30","43","89","7","9","6","",".231",".321",".342",".664",".294","","-1.1","2.0","","-11.7","6.7","0.9","22799"
"Jace Peterson","MIL","110","369","323","77","15","2","9","42","40","41","82","3","9","2","",".238",".328",".381",".709",".312","","0.6","-1.8","","-2.8","-0.4","0.9","12325"
"Rowdy Tellez","MIL","121","427","385","98","21","1","20","52","59","34","99","5","1","1","",".255",".321",".470",".791",".334","","-0.5","-0.6","","3.3","-8.4","0.9","15679"
"Freddy Fermin","KCR","76","307","285","70","14","0","7","39","31","18","59","2","1","1","",".246",".294",".368",".663",".289","","-0.5","1.0","","-8.2","6.6","0.9","sa918173"
"CJ Abrams","SDP","48","210","191","48","11","1","5","29","23","14","44","2","11","3","",".251",".306",".398",".704",".304","","0.8","0.8","","-1.2","3.1","0.9","sa3010152"
"Jared Triolo","PIT","103","449","414","106","28","2","5","67","48","28","96","2","13","3","",".256",".304",".370",".674",".293","","1.0","1.3","","-8.9","2.9","0.9","sa3010272"
"Didi Gregorius","PHI","94","381","348","85","16","3","14","44","57","23","58","5","3","1","",".244",".297",".428",".725",".307","","-0.1","-2.8","","-5.2","1.4","0.9","6012"
