"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Bryan Reynolds","PIT","149","607","531","147","32","7","21","85","78","66","128","6","4","3","",".277",".361",".482",".843",".359","","-1.0","-3.9","","18.3","-1.7","3.7","19326"
"Yoán Moncada","CHW","139","598","524","135","30","4","22","78","71","65","164","6","5","2","",".258",".344",".456",".801",".345","","-0.3","-0.1","","14.2","2.1","3.7","17232"
"Joey Gallo","NYY","130","515","418","86","16","1","35","79","87","90","187","6","5","1","",".206",".353",".500",".853",".363","","0.1","3.6","","20.4","-2.1","3.6","14128"
"Shohei Ohtani","LAA","147","571","487","125","26","6","37","88","98","78","168","3","19","7","",".257",".361",".563",".923",".382","","0.4","0.0","","30.9","-14.7","3.6","19755"
"Luis Robert","CHW","114","490","448","124","25","4","22","68","68","30","128","8","14","5","",".277",".331",".498",".828",".351","","0.3","2.2","","14.7","4.0","3.5","20043"
"Austin Riley","ATL","149","614","550","147","30","2","33","81","97","51","171","8","0","1","",".267",".336",".509",".845",".356","","-0.9","-2.5","","15.0","-0.2","3.5","18360"
"Tommy Edman","STL","147","629","580","159","33","6","13","84","58","36","97","7","25","4","",".274",".322",".419",".741",".319","","2.8","6.9","","4.8","9.2","3.5","19470"
"Jake Cronenworth","SDP","134","565","504","138","31","6","16","80","61","48","81","8","7","3","",".274",".345",".454",".799",".342","","-0.3","1.6","","12.0","3.7","3.4","18036"
"Freddie Freeman","","142","622","538","155","32","2","26","93","85","75","111","6","6","3","",".288",".379",".500",".879",".371","","-0.6","2.0","","23.2","-9.4","3.4","5361"
"Javier Báez","DET","135","538","503","133","27","4","26","75","79","25","151","7","15","5","",".264",".307",".489",".796",".335","","0.5","1.2","","8.5","7.1","3.4","12979"
"Julio Rodríguez","SEA","88","399","362","105","20","1","17","57","53","31","89","5","15","4","",".290",".353",".492",".845",".361","","1.0","6.6","","18.0","2.2","3.4","sa3005720"
"Spencer Torkelson","DET","124","530","450","116","26","2","31","75","83","56","111","8","4","2","",".258",".345",".531",".876",".368","","-0.4","3.6","","21.9","-6.1","3.4","sa3014504"
"Tyler O'Neill","STL","142","529","474","124","24","2","33","85","84","40","170","11","12","3","",".262",".331",".530",".860",".363","","0.7","-0.3","","21.5","-6.1","3.3","15711"
"Nolan Arenado","STL","138","584","528","137","28","2","25","71","87","46","87","3","2","1","",".259",".318",".462",".781",".327","","-0.4","5.9","","5.4","8.0","3.3","9777"
"Tim Anderson","CHW","126","544","518","154","29","2","20","86","59","21","112","3","16","6","",".297",".327",".477",".804",".342","","0.3","-4.3","","12.4","1.7","3.3","15172"
"J.T. Realmuto","PHI","124","505","452","118","25","3","18","67","73","40","115","9","9","2","",".261",".331",".449",".780",".333","","0.6","1.6","","4.6","10.9","3.2","11739"
"Austin Meadows","TBR","137","562","500","128","30","4","27","76","97","52","125","6","8","4","",".256",".331",".494",".825",".349","","-0.5","1.0","","18.1","-5.2","3.2","15672"
"Jose Altuve","HOU","128","579","522","142","27","2","23","92","69","49","84","4","6","4","",".272",".337",".464",".801",".343","","-1.0","-3.2","","13.3","-1.1","3.2","5417"
"Trent Grisham","SDP","136","551","475","115","25","4","18","70","65","66","130","5","12","4","",".242",".338",".425",".763",".330","","0.3","4.7","","6.9","6.7","3.2","18564"
"Jeimer Candelario","DET","137","577","512","131","33","4","17","69","63","58","126","6","1","1","",".256",".338",".436",".774",".335","","-0.7","2.2","","7.9","4.3","3.2","13621"
"Ketel Marte","ARI","123","508","462","134","32","5","16","64","58","39","77","4","4","1","",".290",".348",".485",".833",".354","","0.0","0.4","","12.6","2.3","3.2","13613"
"Luis Urías","MIL","146","571","494","123","26","3","20","75","74","63","129","11","5","2","",".249",".346",".435",".781",".339","","-0.3","-0.8","","6.8","5.5","3.1","16622"
"Cody Bellinger","LAD","124","493","430","105","22","3","25","73","83","58","119","2","10","2","",".244",".335",".484",".818",".343","","0.8","1.4","","11.4","3.2","3.1","15998"
"Gabriel Arias","CLE","126","529","487","132","29","4","16","67","57","32","127","5","5","1","",".271",".321",".446",".766",".328","","0.2","1.4","","5.3","7.2","3.1","sa3004047"
"Kyle Schwarber","","120","479","408","105","23","2","29","69","79","64","122","4","2","2","",".257",".361",".537",".898",".377","","-0.8","-1.2","","20.6","-6.5","3.0","16478"
"MJ Melendez","KCR","120","505","446","109","25","2","22","61","64","47","125","2","3","4","",".244",".316",".457",".773",".330","","-1.5","0.7","","3.0","10.0","3.0","sa3004139"
"Salvador Perez","KCR","128","529","497","128","22","0","30","59","83","18","128","10","1","0","",".258",".295",".483",".778",".327","","-0.1","-0.7","","3.2","9.0","3.0","7304"
"Nolan Gorman","STL","123","532","495","128","26","2","23","63","66","30","113","3","5","0","",".259",".304",".459",".762",".324","","0.6","5.8","","4.5","7.8","3.0","sa3007017"
"Oneil Cruz","PIT","81","352","323","89","17","5","19","42","52","26","86","1","15","3","",".276",".330",".536",".866",".365","","1.5","-0.2","","14.4","3.7","3.0","21711"
"Dylan Carlson","STL","151","623","544","145","35","6","21","81","76","61","144","10","4","2","",".267",".347",".469",".816",".348","","-0.6","-0.5","","16.5","-7.4","3.0","20126"
"Andrés Giménez","CLE","131","467","424","108","23","3","16","59","49","23","115","14","20","5","",".255",".312",".436",".748",".320","","1.6","5.3","","3.0","10.4","2.9","19950"
"Ty France","SEA","147","603","533","149","31","2","20","79","78","42","113","23","1","1","",".280",".355",".458",".813",".351","","-0.8","0.2","","19.7","-10.9","2.9","17982"
"J.P. Crawford","SEA","148","621","554","143","31","3","12","77","56","55","115","6","5","4","",".258",".330",".390",".719",".314","","-1.2","0.0","","1.2","6.8","2.9","15491"
"Keibert Ruiz","WSN","102","418","379","104","21","1","18","49","61","33","54","4","0","0","",".274",".338",".478",".816",".349","","-0.3","-0.6","","8.2","7.1","2.9","19610"
