Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Bryson Worrell","ATL",75,307,276,50,31,10,4,5,28,28,26,4,131,4,1,0,0,8,1,0.181159,0.0846906,0.42671,0.198473,0.260586,0.300725,0.245235,0.561311,0.119565,7.10803,0.319149,,0.73873,18.758,-18.6482,48.1228,0.73873,-2.5,-18.991565227508545,-5.884038686752319,-1.43788,999,,,,"sa3019897"
"Dilan Rosario","SFG",80,293,271,55,41,9,2,3,26,26,17,5,102,3,1,1,0,3,2,0.202952,0.0580205,0.348123,0.166667,0.256849,0.284133,0.233647,0.540982,0.0811808,4.65889,0.311377,,-0.675643,15.0829,-20.6174,45.5174,-0.675643,-5.1,-20.451895773410797,-4.023427248001099,-1.44551,999,,,,"sa3010165"
"Jacob Gonzalez","CHW",88,377,339,78,58,14,1,5,33,42,26,16,65,8,4,0,1,1,1,0.230089,0.0689655,0.172414,0.4,0.297082,0.321534,0.257496,0.618616,0.0914454,2.44825,0.267399,,-0.807667,26.8742,-19.061,58.5226,-0.807667,-12.2,-19.54404515028,-8.044355869293213,-1.47378,999,,,,"sa3022498"
"Kekai Rios","TOR",63,231,212,42,31,8,0,3,18,20,15,7,75,3,1,0,0,0,1,0.198113,0.0649351,0.324675,0.2,0.25974,0.278302,0.227974,0.538042,0.0801887,1.63769,0.288889,,-0.745693,10.803,-17.343,40.4569,-0.745693,-9.8,-17.226398468017578,-5.556172847747803,-1.4892,999,,,,"sa3007282"
"Victor Bericoto","SFG",128,550,504,122,82,22,2,16,63,65,36,19,131,2,6,2,0,1,1,0.242063,0.0654545,0.238182,0.274809,0.291971,0.388889,0.280182,0.68086,0.146825,2.88635,0.292011,,-1.0003,49.5688,-17.4455,76.7138,-1.0003,-10.8,-16.86676585674286,-16.862610340118408,-1.49546,999,,,,"sa3008767"
"Arol Vera","LAA",135,587,537,116,92,17,2,5,64,48,32,17,160,4,5,9,0,8,4,0.216015,0.0545145,0.272572,0.2,0.262976,0.283054,0.229658,0.54603,0.0670391,4.71548,0.29443,,-0.943581,28.2725,-43.25,38.3085,-0.943581,2.9,-44.334205865859985,9.370458602905273,-1.49775,999,,,,"sa3014687"
"Rixon Wingrove","PHI",112,448,409,85,53,17,2,13,38,54,30,11,154,8,1,0,0,2,1,0.207824,0.0669643,0.34375,0.194805,0.274554,0.354523,0.265766,0.629077,0.146699,3.41284,0.296296,,-0.638488,35.0121,-19.5741,62.7708,-0.638488,-0.8,-21.30087959766388,-9.03045254945755,-1.50304,999,,,,"sa3007298"
"Tim Borden II","HOU",105,428,388,73,52,11,1,9,36,55,19,11,184,19,2,0,0,4,2,0.188144,0.0443925,0.429907,0.103261,0.259346,0.291237,0.236308,0.550583,0.103093,3.98895,0.324873,,-0.652861,22.9781,-29.1712,45.6903,-0.652861,-2.7,-28.504692256450653,-1.127395749092102,-1.50478,999,,,,"sa3020193"
"Aaron Zavala","TEX",103,462,398,79,54,17,1,7,49,48,53,5,159,9,2,0,0,5,2,0.198492,0.114719,0.344156,0.333333,0.305195,0.298995,0.27207,0.60419,0.100503,4.08844,0.307692,,-0.699425,38.5251,-17.7669,67.2074,-0.699425,-6.9,-18.85250097513199,-11.992592811584473,-1.51055,999,,,,"sa3017665"
"Bennett Hostetler","MIA",91,365,329,73,51,14,0,8,39,44,23,10,99,10,1,2,0,3,1,0.221885,0.0630137,0.271233,0.232323,0.292011,0.337386,0.268446,0.629397,0.115502,3.32834,0.29148,,-0.392257,29.3381,-15.135,64.6455,-0.392257,-4.5,-16.378837078809738,-11.205614566802979,-1.51102,999,,,,"sa3017120"
"Jalen Battles","TBR",105,382,354,71,58,7,1,5,39,31,20,13,121,5,1,2,0,4,6,0.200565,0.052356,0.316754,0.165289,0.252632,0.268362,0.21794,0.520993,0.0677966,3.91875,0.28821,,-2.27183,14.6814,-31.8631,36.6829,-2.27183,1.7,-31.253072023391724,3.103586196899414,-1.51279,999,,,,"sa3020205"
"Caberea Weaver","CHW",99,378,356,71,50,12,1,8,40,38,16,10,149,5,1,0,0,10,4,0.199438,0.042328,0.39418,0.107383,0.243386,0.30618,0.229508,0.549566,0.106742,5.53075,0.315,,-0.158325,18.1592,-27.8979,39.1234,-0.158325,3.8,-27.730737179517746,-0.3666665554046631,-1.52114,999,,,,"sa3006866"
"Colin Simpson","COL",83,316,290,65,41,15,2,7,31,35,23,3,93,1,2,0,1,1,1,0.224138,0.0727848,0.294304,0.247312,0.281646,0.362069,0.27684,0.643715,0.137931,3.62666,0.302083,,-0.699796,27.6024,-10.9004,55.7727,-0.699796,0,-18.01375102996826,-8.127572059631348,-1.53353,999,,,,"sa1159681"
"Hendrik Clementina",,71,271,254,52,36,8,0,8,21,31,12,8,97,3,2,0,0,0,1,0.204724,0.0442804,0.357934,0.123711,0.247232,0.330709,0.238463,0.577941,0.125984,1.34138,0.291391,,-0.753398,15.0343,-17.9854,43.5833,-0.753398,-9.9,-19.69407218694687,-4.9213104248046875,-1.5342,999,,,,"sa828422"
"Tanner Allen","MIA",93,374,347,80,62,9,4,5,38,34,21,8,69,4,1,1,0,3,1,0.230548,0.0561497,0.184492,0.304348,0.281501,0.322767,0.257967,0.604268,0.092219,4.96899,0.273723,,-0.430783,26.8064,-18.7633,57.62,-0.430783,-4,-20.066668033599854,-8.122574806213379,-1.54076,999,,,,"sa3016854"
"Jeremy De La Rosa","WSN",109,464,428,91,62,18,2,9,47,48,33,6,154,2,1,0,0,11,5,0.212617,0.0711207,0.331897,0.214286,0.271552,0.327103,0.258779,0.598655,0.114486,5.01611,0.308271,,-0.611556,33.5704,-22.9653,58.229,-0.611556,-1.7,-24.622619032859802,-6.814638376235962,-1.55898,999,,,,"sa3011329"
"Julio Carrion",,65,253,231,43,29,8,1,5,25,28,15,7,101,6,1,0,0,1,1,0.186147,0.0592885,0.399209,0.148515,0.252964,0.294372,0.231936,0.547337,0.108225,4.03203,0.301587,,-0.553398,12.6643,-18.1623,42.9981,-0.553398,-3.1,-18.419430017471313,-5.888800621032715,-1.5647,999,,,,"sa3010015"
"Harold Castro",,106,340,320,86,65,15,1,5,32,39,14,6,71,1,3,2,0,1,1,0.26875,0.0411765,0.208824,0.197183,0.298817,0.36875,0.282843,0.667567,0.1,2.73214,0.327935,,-0.792257,31.3939,-10.0331,59.797,-0.792257,-10.9,-17.726096987724304,-9.650734424591064,-1.57522,999,,,,"14691"
