Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",152,688,582,176,98,33,2,43,140,115,91,9,111,11,4,0,4,47,9,0.302406,0.132267,0.161337,0.81982,0.40407,0.587629,0.415164,0.991699,0.285223,6.7145,0.30787,,4.12962,139.133,55.3045,162.041,4.12962,1.5,57.008986949920654,-6,7.42312,999,,,,"18401"
"Juan Soto","NYY",152,660,520,143,84,25,1,33,102,102,134,16,105,3,3,0,12,11,4,0.275,0.20303,0.159091,1.27619,0.424242,0.517308,0.399419,0.94155,0.242308,3.72902,0.285714,,-1.06786,124.84,44.423,159.955,-1.06786,-2.9,46.34543323516846,-10.175132274627686,5.84288,999,,,,"20123"
"Julio Rodríguez","SEA",152,673,611,169,102,32,2,33,102,107,50,11,149,10,2,0,6,33,8,0.276596,0.0742942,0.221397,0.33557,0.340267,0.497545,0.352707,0.837812,0.220949,6.02039,0.315545,,2.0599,101.191,19.1895,129.798,2.0599,4.3,26.08866310119629,6.772810220718384,5.55698,999,,,,"23697"
"Fernando Tatis Jr.","SDP",146,641,568,151,80,32,1,38,106,104,64,13,139,4,4,1,2,25,4,0.265845,0.099844,0.216849,0.460432,0.342187,0.526408,0.361281,0.868596,0.260563,5.74485,0.286076,,2.2715,100.943,22.8411,132.548,2.2715,9.2,28.1180100440979,2.134303092956543,5.19369,999,,,,"19709"
"Adley Rutschman","BAL",135,578,497,131,79,33,1,18,77,69,72,8,87,5,4,0,3,2,1,0.263581,0.124567,0.150519,0.827586,0.359862,0.442656,0.344868,0.802518,0.179074,2.88105,0.285354,,-1.16244,83.1437,12.7178,122.382,-1.16244,5.2,14.338814854621887,15.818753242492676,4.96549,999,,,,"26288"
"Mookie Betts","LAD",137,624,528,144,83,31,1,29,106,92,83,5,98,8,5,0,3,10,3,0.272727,0.133013,0.157051,0.846939,0.376603,0.5,0.374125,0.876603,0.227273,4.53972,0.283251,,-0.5684,104.922,28.8917,138.319,-0.5684,-3.8,29.054006040096283,-1.5072309970855713,4.86617,999,,,,"13611"
"José Ramírez","CLE",143,621,546,149,86,35,4,24,84,87,65,8,73,4,6,0,15,18,4,0.272894,0.10467,0.117552,0.890411,0.351047,0.483516,0.352976,0.834563,0.210623,5.57021,0.274725,,0.779035,93.5104,17.8452,127.81,0.779035,3.1,21.471871495246887,5.381746053695679,4.78172,999,,,,"13510"
"Gunnar Henderson","BAL",152,640,560,145,85,27,6,27,104,95,69,7,151,6,5,0,1,11,3,0.258929,0.107813,0.235938,0.456954,0.34375,0.473214,0.346956,0.816964,0.214286,6.08281,0.30491,,-0.245118,93.1717,15.1915,123.829,-0.245118,5.3,18.02840532362461,7.65155816078186,4.72905,999,,,,"26289"
"Aaron Judge","NYY",123,532,445,115,62,18,0,35,82,91,80,11,146,3,4,0,8,4,1,0.258427,0.150376,0.274436,0.547945,0.37218,0.534831,0.378971,0.907012,0.276405,2.85255,0.298507,,-0.654565,91.5941,26.773,145.782,-0.654565,5.8,28.528802156448364,-0.06419754028320312,4.64083,999,,,,"15640"
"Yordan Alvarez","HOU",138,583,496,145,77,30,2,36,93,110,73,13,113,9,5,0,7,1,1,0.292339,0.125214,0.193825,0.646018,0.389365,0.578629,0.401476,0.967994,0.28629,2.71882,0.309659,,-1.34703,111.272,40.2366,160.172,-1.34703,0,40.686726331710815,-14.994855880737305,4.53713,999,,,,"19556"
"Corbin Carroll","ARI",152,655,572,154,96,28,8,22,102,91,63,6,135,13,3,4,2,39,5,0.269231,0.0961832,0.206107,0.466667,0.353303,0.461538,0.349294,0.814841,0.192308,8.16096,0.315789,,4.41056,96.6273,16.8193,119.068,4.41056,10,19.88309144973755,2.779982566833496,4.48446,999,,,,"25878"
"Andrés Giménez","CLE",152,585,522,141,95,27,4,15,71,71,34,9,106,22,3,4,3,24,5,0.270115,0.0581197,0.181197,0.320755,0.339071,0.423372,0.327149,0.762442,0.153257,6.2637,0.311881,,1.59548,75.5417,4.26286,109.909,1.59548,14.3,8.540895938873291,16.44947099685669,4.47395,999,,,,"19950"
"Bobby Witt Jr.","KCR",152,670,613,171,103,35,6,27,100,98,43,9,122,6,7,1,1,32,10,0.278956,0.0641791,0.18209,0.352459,0.328849,0.487765,0.342384,0.816614,0.208809,6.77838,0.305732,,1.07739,94.9953,13.3597,114.178,1.07739,0.8,12.459430813789368,8.185361683368683,4.3286,999,,,,"25764"
"Corey Seager","TEX",124,546,483,139,84,30,1,24,77,79,54,11,87,5,4,0,6,2,0,0.287785,0.0989011,0.159341,0.62069,0.362637,0.503106,0.363863,0.865743,0.215321,3.09058,0.305851,,-0.617076,87.1541,20.6271,130.832,-0.617076,-1.2,19.553690493106842,4.818518400192261,4.28018,999,,,,"13624"
"Austin Riley","ATL",152,655,580,161,94,31,2,34,95,102,57,14,153,11,7,0,3,2,1,0.277586,0.0870229,0.233588,0.372549,0.349618,0.513793,0.359909,0.863411,0.236207,3.17888,0.3175,,-1.16244,102.402,22.5941,124.999,-1.16244,-1.3,19.12287437915802,1.1066725254058838,4.24179,999,,,,"18360"
"Francisco Lindor","NYM",144,623,549,137,86,26,2,23,87,83,59,9,116,9,5,1,2,17,3,0.249545,0.094703,0.186196,0.508621,0.329582,0.429872,0.324302,0.759454,0.180328,5.45188,0.274699,,1.01652,78.9757,3.06677,107.098,1.01652,7.2,6.494671940803528,14.067283630371094,4.16626,999,,,,"12916"
"Wander Franco","TBR",120,517,466,128,80,26,6,16,72,68,44,11,62,3,4,0,2,21,6,0.274678,0.0851064,0.119923,0.709677,0.338491,0.459227,0.335103,0.797719,0.184549,6.60518,0.285714,,0.773737,70.1762,7.18278,117.891,0.773737,5.2,11.856774866580963,10.898853302001953,4.02072,999,,,,"23667"
"Will Smith","LAD",134,556,472,119,74,23,2,20,72,76,61,10,95,14,9,0,3,2,1,0.252119,0.109712,0.170863,0.642105,0.348921,0.436441,0.334778,0.785362,0.184322,3.20797,0.270492,,-1.09309,75.3199,7.57457,111.942,-1.09309,3.9,7.132588267326355,14.114579677581787,4.00704,999,,,,"19197"
"Rafael Devers","BOS",152,654,583,164,92,38,1,33,95,106,60,14,123,8,3,0,9,4,1,0.281304,0.0917431,0.188073,0.487805,0.35474,0.519726,0.365594,0.874466,0.238422,3.42961,0.304651,,-0.747026,105.333,25.647,128.264,-0.747026,-6.1,21.401092886924744,-3.6970016956329346,3.98115,999,,,,"17350"
"Michael Harris II","ATL",152,605,561,158,98,35,3,22,87,84,33,10,119,7,3,1,1,21,4,0.28164,0.0545455,0.196694,0.277311,0.327815,0.472371,0.33654,0.800185,0.190731,6.08611,0.321513,,1.52543,82.843,9.12725,109.332,1.52543,7.8,8.520158767700195,10.02295732498169,3.90381,999,,,,"25931"
"Luis Robert Jr.","CHW",136,563,520,139,79,30,1,29,80,92,32,9,136,9,2,0,3,16,3,0.267308,0.0568384,0.241563,0.235294,0.319716,0.496154,0.341626,0.81587,0.228846,5.27668,0.308123,,1.0785,79.4699,10.8716,116.835,1.0785,5.5,12.434934854507446,7.568636178970337,3.90214,999,,,,"20043"
"Kyle Tucker","HOU",152,626,548,148,84,34,3,27,86,100,70,10,94,2,6,0,6,21,3,0.270073,0.111821,0.15016,0.744681,0.351438,0.490876,0.354617,0.842314,0.220803,5.56975,0.279446,,1.80882,95.1169,18.8425,127.693,1.80882,1.3,22.58101749420166,-5.600353002548218,3.81415,999,,,,"18345"
"Bo Bichette","TOR",151,661,617,178,118,34,2,24,90,93,38,14,125,3,3,0,0,10,4,0.288493,0.0574887,0.189107,0.304,0.331316,0.466775,0.334688,0.798091,0.178282,4.40736,0.326964,,-0.805555,89.4942,8.95523,114.422,-0.805555,-2.5,10.617123901844025,4.7861552238464355,3.77544,999,,,,"19612"
"Dansby Swanson","CHC",142,607,543,138,88,27,2,21,80,73,55,8,145,5,4,0,1,8,2,0.254144,0.0906096,0.23888,0.37931,0.326194,0.427256,0.32188,0.75345,0.173112,4.44341,0.307087,,-0.322873,75.7264,1.76697,101.881,-0.322873,9.4,1.0913330018520355,16.090916633605957,3.7749,999,,,,"18314"
"Trea Turner","PHI",141,625,574,162,106,32,3,21,90,78,43,12,123,4,4,0,1,22,2,0.28223,0.0688,0.1968,0.349593,0.3344,0.458188,0.333799,0.792588,0.175958,6.16675,0.324885,,2.46942,84.1589,8.00629,108.379,2.46942,0.6,8.957412958145142,7.489329934120178,3.76269,999,,,,"16252"
"Sean Murphy","ATL",124,475,410,103,57,24,1,21,62,68,48,13,110,14,3,0,0,0,1,0.25122,0.101053,0.231579,0.436364,0.347368,0.468293,0.342707,0.815661,0.217073,2.19469,0.29078,,-1.23882,67.4746,9.59866,113.466,-1.23882,5.9,6.685547709465027,14.626484394073486,3.73841,999,,,,"19352"
"Marcus Semien","TEX",143,658,590,153,94,33,3,23,97,83,62,6,105,3,3,0,1,9,2,0.259322,0.0942249,0.159574,0.590476,0.331307,0.442373,0.331215,0.77368,0.183051,5.02242,0.27957,,-0.22304,87.1901,7.01668,108.202,-0.22304,5.9,6.243665352463722,8.317695617675781,3.68132,999,,,,"12533"
"Willy Adames","MIL",147,615,547,136,75,33,1,27,80,87,62,11,156,3,3,0,2,5,3,0.248629,0.100813,0.253659,0.397436,0.326829,0.460695,0.332091,0.787524,0.212066,3.33579,0.297003,,-1.2602,81.9399,7.00569,107.534,-1.2602,4.3,4.480274438858032,11.079100608825684,3.64025,999,,,,"15986"
"Alex Bregman","HOU",142,624,531,139,87,30,2,20,85,82,80,17,78,8,5,0,2,2,1,0.26177,0.128205,0.125,1.02564,0.363782,0.438795,0.340961,0.802577,0.177024,3.13541,0.27169,,-1.23949,87.7356,11.7048,118.228,-1.23949,0.5,12.388909459114075,2.792768955230713,3.62798,999,,,,"17678"
