Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Chadwick Tromp","ATL",1,4,4,3,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0.75,"Chadwick Tromp",16953,644433
"Otto Lopez","TOR",8,9,10,6,6,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0.666666666,"Otto Lopez",19608,672640
"Khalil Lee","NYM",2,2,2,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0.5,"Khalil Lee",19952,666137
"James Outman","LAD",4,13,16,6,3,2,0,1,6,3,2,0,7,1,0,0,0,0,0,0.461538461,"James Outman",24770,681546
"Livan Soto","LAA",18,55,59,22,15,5,1,1,9,9,2,0,13,0,1,1,1,1,1,0.4,"Livan Soto",22471,670869
"Austin Dean","SFG",3,8,9,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.375,"Austin Dean",18288,621573
"Will Brennan","CLE",11,42,45,15,12,1,1,1,6,8,2,1,4,1,0,0,0,2,1,0.357142857,"Will Brennan",25660,686823
"David Hensley","HOU",16,29,34,10,6,2,1,1,7,5,5,0,6,0,0,0,3,0,0,0.344827586,"David Hensley",25111,682073
"Rob Brantly","NYY",1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,"Rob Brantly",10655,542963
"Brian O'Keefe","SEA",2,3,4,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.333333333,"Brian O'Keefe",16680,657247
"Jaylin Davis","BOS",12,24,27,8,7,1,0,0,4,2,3,0,11,0,0,0,0,0,0,0.333333333,"Jaylin Davis",19552,664041
"Dalton Guthrie","PHI",14,21,28,7,6,0,0,1,3,5,6,0,7,1,0,0,0,1,0,0.333333333,"Dalton Guthrie",21293,656495
"Ji Hwan Bae","PIT",10,33,37,11,8,3,0,0,5,6,2,0,6,2,0,0,0,3,0,0.333333333,"Ji Hwan Bae",23818,678225
"Liover Peguero","PIT",1,3,4,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.333333333,"Liover Peguero",24273,678894
"Jeff McNeil","NYM",148,533,589,174,125,39,1,9,73,62,40,1,61,11,5,0,6,4,0,0.326454033,"Jeff McNeil",15362,643446
"Freddie Freeman","LAD",159,612,708,199,129,47,2,21,117,100,84,12,102,5,7,0,6,13,3,0.325163398,"Freddie Freeman",5361,518692
"Joey Meneses","WSN",56,222,240,72,45,14,0,13,33,34,15,2,52,1,2,0,13,1,0,0.324324324,"Joey Meneses",14366,608841
"Tyler Stephenson","CIN",50,166,183,53,38,9,0,6,24,35,12,0,47,3,2,0,4,1,0,0.319277108,"Tyler Stephenson",17988,663886
"Gabriel Moreno","TOR",25,69,73,22,20,1,0,1,10,7,4,0,8,0,0,0,2,0,0,0.318840579,"Gabriel Moreno",22664,672515
"Maikel Garcia","KCR",9,22,23,7,6,1,0,0,1,2,1,0,5,0,0,0,1,0,0,0.318181818,"Maikel Garcia",22715,672580
"Paul Goldschmidt","STL",151,561,651,178,102,41,0,35,106,115,79,1,141,5,4,0,7,7,0,0.317290552,"Paul Goldschmidt",9218,502671
"Luis Arraez","MIN",144,547,603,173,133,31,1,8,88,49,50,2,43,3,3,0,6,4,4,0.316270566,"Luis Arraez",18568,650333
"Garrett Mitchell","MIL",28,61,68,19,14,3,0,2,9,9,6,0,28,0,0,1,0,8,0,0.311475409,"Garrett Mitchell",27555,669003
"Aaron Judge","NYY",157,570,696,177,87,28,0,62,133,131,111,19,175,6,5,0,14,16,3,0.310526315,"Aaron Judge",15640,592450
"Conner Capel","- - -",22,52,59,16,12,0,1,3,7,11,5,0,10,0,2,0,2,1,1,0.307692307,"Conner Capel",19983,668843
"Rob Refsnyder","BOS",57,153,177,47,30,11,0,6,25,21,15,0,46,6,3,0,1,1,1,0.307189542,"Rob Refsnyder",13770,608701
"Xander Bogaerts","BOS",150,557,631,171,118,38,0,15,84,73,57,2,118,10,7,0,14,8,2,0.307001795,"Xander Bogaerts",12161,593428
"Yordan Alvarez","HOU",135,470,561,144,76,29,2,37,95,97,78,9,106,6,7,0,12,1,1,0.306382978,"Yordan Alvarez",19556,670541
"Kris Bryant","COL",42,160,181,49,32,12,0,5,28,14,17,0,27,2,2,0,7,0,0,0.30625,"Kris Bryant",15429,592178
"Oswald Peraza","NYY",18,49,57,15,11,3,0,1,8,2,6,0,9,2,0,0,3,2,0,0.306122448,"Oswald Peraza",22823,672724
"Dee Strange-Gordon","WSN",23,59,59,18,16,1,1,0,6,2,0,0,8,0,0,0,1,3,2,0.305084745,"Dee Strange-Gordon",8203,543829
"Matt Carpenter","NYY",47,128,154,39,15,9,0,15,28,37,19,1,35,5,1,1,2,0,0,0.3046875,"Matt Carpenter",8090,572761
"José Abreu","CHW",157,601,679,183,128,40,0,15,85,75,62,2,110,12,4,0,19,0,0,0.304492512,"Jose Abreu",15676,547989
"Andrew Benintendi","- - -",126,461,521,140,109,23,3,5,54,51,52,0,77,2,5,1,7,8,3,0.303687635,"Andrew Benintendi",17901,643217
"Tom Murphy","SEA",14,33,42,10,7,2,0,1,9,1,8,0,13,0,0,0,1,0,0,0.303030303,"Tom Murphy",13499,608596
"Nathaniel Lowe","TEX",157,593,645,179,123,26,3,27,74,76,48,2,147,4,0,0,10,2,2,0.301854974,"Nathaniel Lowe",19566,663993
"Tim Anderson","CHW",79,332,351,100,81,13,0,6,50,25,14,1,55,5,0,0,10,13,0,0.301204819,"Tim Anderson",15172,641313
"Yonathan Daza","COL",113,372,408,112,87,21,2,2,56,34,26,0,58,4,5,1,12,0,3,0.301075268,"Yonathan Daza",15794,602074
"Harold Ramírez","TBR",120,403,435,121,91,24,0,6,46,58,19,1,72,9,4,0,5,3,5,0.300248138,"Harold Ramirez",14387,623912
"Dustin Garneau","DET",8,10,11,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0,0.3,"Dustin Garneau",9433,572863
