Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Joe Dunand","MIA",3,10,11,3,1,1,0,1,2,1,0,0,3,1,0,0,0,0,0,0.3,"Joe Dunand",19727,656388
"Royce Lewis","MIN",12,40,41,12,6,4,0,2,5,5,1,0,5,0,0,0,2,0,0,0.3,"Royce Lewis",20437,668904
"Jose Altuve","HOU",141,527,604,158,91,39,0,28,103,57,66,2,87,10,1,0,13,18,1,0.299810246,"Jose Altuve",5417,514888
"Steven Kwan","CLE",147,563,638,168,130,25,7,6,89,52,62,2,60,7,4,2,9,19,5,0.29840142,"Steven Kwan",24610,680757
"Manny Machado","SDP",150,578,644,172,102,37,1,32,100,102,63,10,133,1,2,0,12,9,1,0.297577854,"Manny Machado",11493,592518
"Trea Turner","LAD",160,652,708,194,130,39,4,21,101,100,45,1,131,3,6,0,9,27,3,0.297546012,"Trea Turner",16252,607208
"Andrés Giménez","CLE",146,491,557,146,100,26,3,17,66,69,34,4,112,25,3,4,9,20,3,0.297352342,"Andres Gimenez",19950,665926
"Sean Bouchard","COL",27,74,97,22,13,6,0,3,9,11,21,0,25,1,1,0,1,0,0,0.297297297,"Sean Bouchard",21270,656248
"Michael Harris II","ATL",114,414,441,123,74,27,3,19,75,64,21,0,107,5,0,1,7,20,2,0.297101449,"Michael Harris II",25931,671739
"Yandy Díaz","TBR",137,473,558,140,98,33,0,9,71,57,78,2,60,6,1,0,10,3,3,0.295983086,"Yandy Diaz",16578,650490
"Oscar Gonzalez","CLE",91,362,382,107,69,27,0,11,39,43,15,2,75,3,2,0,6,1,2,0.29558011,"Oscar Gonzalez",20970,660757
"Rafael Devers","BOS",141,555,614,164,94,42,1,27,84,88,50,11,114,6,3,0,14,3,1,0.295495495,"Rafael Devers",17350,646240
"Vinnie Pasquantino","KCR",72,258,298,76,56,10,0,10,25,26,35,1,34,3,2,0,5,1,0,0.294573643,"Vinnie Pasquantino",27676,686469
"Eloy Jiménez","CHW",84,292,327,86,58,12,0,16,40,54,28,0,72,3,4,0,8,0,0,0.294520547,"Eloy Jimenez",17484,650391
"Nolan Arenado","STL",148,557,620,163,90,42,1,30,73,103,52,3,72,7,4,0,15,5,3,0.292639138,"Nolan Arenado",9777,571448
"Starling Marte","NYM",118,466,505,136,91,24,5,16,76,63,26,0,97,13,0,0,18,18,9,0.291845493,"Starling Marte",9241,516782
"José Iglesias","COL",118,439,467,128,95,30,0,3,48,47,17,0,56,8,3,0,11,2,3,0.291571753,"Jose Iglesias",10231,578428
"Lourdes Gurriel Jr.","TOR",121,453,493,132,94,32,1,5,52,52,31,1,83,6,2,0,11,3,4,0.291390728,"Lourdes Gurriel Jr.",19238,666971
"Carlos Correa","MIN",136,522,590,152,105,24,1,22,70,64,61,2,121,3,4,0,18,0,1,0.291187739,"Carlos Correa",14162,621043
"Vaughn Grissom","ATL",41,141,156,41,30,6,0,5,24,18,11,1,34,3,1,0,0,5,2,0.290780141,"Vaughn Grissom",26031,687093
"Bo Bichette","TOR",159,652,697,189,121,43,1,24,91,93,41,0,155,2,2,0,21,13,8,0.2898773,"Bo Bichette",19612,666182
"Danny Mendick","CHW",31,97,106,28,20,4,1,3,22,15,7,0,23,1,0,1,2,1,0,0.288659793,"Danny Mendick",18889,664901
"Michael Brantley","HOU",64,243,277,70,50,14,1,5,28,26,31,2,30,1,1,1,1,1,1,0.288065843,"Michael Brantley",4106,488726
"Bryce Harper","PHI",99,370,426,106,59,28,1,18,63,65,46,9,87,3,7,0,13,11,4,0.286486486,"Bryce Harper",11579,547180
"Wynton Bernard","COL",12,42,42,12,11,1,0,0,9,3,0,0,8,0,0,0,1,3,1,0.285714285,"Wynton Bernard",13408,592144
"Christian Arroyo","BOS",87,280,300,80,57,16,1,6,32,36,13,2,49,3,2,2,7,5,1,0.285714285,"Christian Arroyo",16434,624414
"Edward Olivares","KCR",53,161,174,46,34,8,0,4,24,15,10,0,36,2,1,0,1,2,3,0.285714285,"Edward Olivares",19698,658668
"Dairon Blanco","KCR",5,7,7,2,2,0,0,0,1,2,0,0,4,0,0,0,0,1,0,0.285714285,"Dairon Blanco",19779,680118
"Logan O'Hoppe","LAA",5,14,16,4,4,0,0,0,1,2,2,0,3,0,0,0,0,0,0,0.285714285,"Logan O'Hoppe",24729,681351
"Gio Urshela","MIN",144,501,551,143,100,27,3,13,61,64,41,2,96,2,7,0,21,1,0,0.285429141,"Gio Urshela",10681,570482
"Alejandro Kirk","TOR",139,470,541,134,101,19,0,14,59,63,63,2,58,4,4,0,11,0,0,0.285106382,"Alejandro Kirk",22581,672386
"Luis Robert Jr.","CHW",98,380,401,108,78,18,0,12,54,56,17,1,77,3,1,0,6,11,3,0.284210526,"Luis Robert Jr.",20043,673357
"Donovan Solano","CIN",80,278,304,79,59,16,0,4,22,24,19,1,61,5,2,0,5,0,0,0.284172661,"Donovan Solano",8623,456781
"Julio Rodríguez","SEA",132,511,560,145,89,25,3,28,84,75,40,4,145,8,1,0,7,25,7,0.283757338,"Julio Rodriguez",23697,677594
"Jake McCarthy","ARI",99,321,354,91,64,16,3,8,53,43,23,0,76,6,1,3,3,23,3,0.283489096,"Jake McCarthy",21622,664983
"Mike Trout","LAA",119,438,499,124,54,28,2,40,85,80,54,8,139,6,1,0,6,1,0,0.283105022,"Mike Trout",10155,545361
"Amed Rosario","CLE",153,637,670,180,134,26,9,11,86,71,25,0,111,4,4,0,19,18,4,0.282574568,"Amed Rosario",15518,642708
"Brendan Donovan","STL",126,391,468,110,83,21,1,5,64,45,60,1,70,14,2,1,8,2,3,0.281329923,"Brendan Donovan",24679,680977
"Taylor Ward","LAA",135,495,564,139,92,22,2,23,73,65,60,0,120,4,5,0,5,5,3,0.28080808,"Taylor Ward",17548,621493
"Nico Hoerner","CHC",135,481,517,135,98,22,5,10,60,55,28,4,57,6,2,0,11,20,2,0.28066528,"Nico Hoerner",21479,663538
"Alex Verdugo","BOS",152,593,644,166,115,39,1,11,75,74,42,2,86,3,6,0,14,1,3,0.279932546,"Alex Verdugo",17027,657077
"Alec Bohm","PHI",152,586,631,164,124,24,3,13,79,72,31,1,110,4,10,0,18,2,3,0.279863481,"Alec Bohm",21618,664761
"José Ramírez","CLE",157,601,685,168,90,44,5,29,90,126,69,20,82,6,9,0,5,20,7,0.279534109,"Jose Ramirez",13510,608070
"William Contreras","ATL",97,334,376,93,58,14,1,20,51,45,39,1,104,1,2,0,5,2,0,0.278443113,"William Contreras",20503,661388
"Justin Turner","LAD",128,468,532,130,81,36,0,13,61,81,50,1,89,6,8,0,13,3,0,0.277777777,"Justin Turner",5235,457759
"Wander Franco","TBR",83,314,344,87,58,20,3,6,46,33,26,1,33,0,4,0,5,8,0,0.277070063,"Wander Franco",23667,677551
"Jean Segura","PHI",98,354,387,98,79,9,0,10,45,33,25,1,58,7,1,0,16,13,6,0.276836158,"Jean Segura",5933,516416
"Dansby Swanson","ATL",162,640,696,177,119,32,1,25,99,96,49,0,182,3,4,0,12,18,7,0.2765625,"Dansby Swanson",18314,621020
"Stone Garrett","ARI",27,76,84,21,9,8,0,4,13,10,3,0,27,1,1,0,1,3,1,0.276315789,"Stone Garrett",19273,656448
"J.T. Realmuto","PHI",139,504,562,139,86,26,5,22,75,84,41,1,119,12,5,0,7,21,1,0.27579365,"J.T. Realmuto",11739,592663
"Gavin Lux","LAD",129,421,471,116,83,20,7,6,66,42,47,0,95,0,3,0,3,7,2,0.275534441,"Gavin Lux",19955,666158
"Esteban Quiroz","CHC",14,40,47,11,11,0,0,0,3,3,4,0,9,2,0,1,0,1,1,0.275,"Esteban Quiroz",19780,606019
"Luis García","WSN",93,360,377,99,67,23,2,7,29,45,11,1,84,1,4,1,5,3,4,0.275,"Luis Garcia",20391,671277
"Kevin Newman","PIT",78,288,309,79,57,18,2,2,31,24,16,0,48,2,1,2,6,8,2,0.274305555,"Kevin Newman",17696,621028
"Vladimir Guerrero Jr.","TOR",160,638,706,175,108,35,0,32,90,97,58,6,116,6,4,0,26,8,3,0.27429467,"Vladimir Guerrero Jr.",19611,665489
"Brandon Nimmo","NYM",151,580,673,159,106,30,7,16,102,64,71,0,116,16,3,3,9,3,2,0.274137931,"Brandon Nimmo",12927,607043
"Ty France","SEA",140,551,613,151,103,27,1,20,65,83,35,3,94,21,5,0,18,0,0,0.274047186,"Ty France",17982,664034
"J.D. Martinez","BOS",139,533,596,146,86,43,1,16,76,62,52,1,145,5,5,0,20,0,0,0.2739212,"J.D. Martinez",6184,502110
"Christian Vázquez","- - -",119,398,426,109,77,23,0,9,41,52,22,0,69,3,3,0,10,1,4,0.273869346,"Christian Vazquez",9774,543877
"Manuel Margot","TBR",89,336,363,92,68,18,2,4,36,47,24,1,68,2,1,0,7,7,3,0.273809523,"Manuel Margot",14712,622534
"Joc Pederson","SFG",134,380,433,104,59,19,3,23,57,70,42,3,100,7,4,0,5,3,2,0.27368421,"Joc Pederson",11899,592626
"Austin Riley","ATL",159,615,693,168,89,39,2,38,90,93,57,1,168,17,4,0,13,2,0,0.273170731,"Austin Riley",18360,663586
"Shohei Ohtani","LAA",157,586,666,160,90,30,6,34,90,95,72,14,161,5,3,0,6,11,9,0.273037542,"Shohei Ohtani",19755,660271
"Luis Guillorme","NYM",102,297,335,81,66,12,1,2,33,17,34,1,46,2,0,2,15,1,0,0.272727272,"Luis Guillorme",16451,641645
"Nick Gordon","MIN",138,405,443,110,69,28,4,9,45,50,19,1,105,10,6,3,8,6,4,0.271604938,"Nick Gordon",16337,624503
"Harold Castro","DET",120,420,443,114,84,21,2,7,37,47,17,1,79,1,2,3,5,0,1,0.271428571,"Harold Castro",14691,605612
"Pete Alonso","NYM",160,597,685,162,95,27,0,40,95,131,67,16,128,12,9,0,17,5,1,0.271356783,"Pete Alonso",19251,624413
"Alan Trejo","COL",35,118,125,32,22,6,0,4,15,17,5,0,31,2,0,0,3,1,2,0.27118644,"Alan Trejo",20056,676701
"Andrew Vaughn","CHW",134,510,555,138,92,28,1,17,60,76,31,0,96,9,5,0,13,0,0,0.270588235,"Andrew Vaughn",26197,683734
"Ian Happ","CHC",158,573,641,155,94,42,2,17,72,72,58,4,149,6,4,0,11,9,4,0.270506108,"Ian Happ",17919,664023
"Albert Pujols","STL",109,307,351,83,45,14,0,24,42,68,28,1,55,10,6,0,13,1,2,0.270358306,"Albert Pujols",1177,405395
"Francisco Lindor","NYM",161,630,706,170,114,25,5,26,98,107,59,2,133,10,7,0,11,16,6,0.269841269,"Francisco Lindor",12916,596019
"Seby Zavala","CHW",61,178,205,48,32,14,0,2,22,21,19,0,64,3,2,3,1,0,0,0.269662921,"Seby Zavala",18887,664874
"Mookie Betts","LAD",142,572,639,154,76,40,3,35,117,82,55,0,104,8,4,0,8,12,2,0.269230769,"Mookie Betts",13611,605141
"Reese McGuire","- - -",89,249,274,67,49,14,1,3,25,22,12,0,56,3,3,6,6,1,0,0.269076305,"Reese McGuire",15674,624512
"Yadiel Hernandez","WSN",94,305,327,82,57,16,0,9,30,41,19,0,74,1,2,0,9,2,1,0.268852459,"Yadiel Hernandez",19334,628450
"Josh Rojas","ARI",125,443,510,119,84,25,1,9,66,56,55,2,98,2,5,5,7,23,3,0.268623024,"Josh Rojas",19734,668942
"Eric Hosmer","- - -",104,380,419,102,75,19,0,8,38,44,37,5,64,1,1,0,12,0,0,0.268421052,"Eric Hosmer",3516,543333
"Jose Miranda","MIN",125,444,483,119,79,25,0,15,45,66,28,0,91,10,1,0,19,1,1,0.268018018,"Jose Miranda",20538,669304
"Travis d'Arnaud","ATL",107,396,426,106,62,25,1,18,61,60,19,0,90,11,0,0,12,0,0,0.267676767,"Travis d'Arnaud",7739,518595
"Santiago Espinal","TOR",135,449,491,120,88,25,0,7,51,51,36,1,68,2,3,1,12,6,6,0.267260579,"Santiago Espinal",19997,669289
"George Springer","TOR",133,513,583,137,86,22,4,25,89,76,54,1,100,7,5,0,7,14,2,0.26705653,"George Springer",12856,543807
"Corey Dickerson","STL",97,281,297,75,51,17,1,6,28,36,12,1,48,2,2,0,4,0,0,0.266903914,"Corey Dickerson",10762,572816
"Pablo Reyes","MIL",6,15,16,4,4,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0.266666666,"Pablo Reyes",16357,622569
"Cody Thomas","OAK",10,30,32,8,8,0,0,0,1,0,2,0,12,0,0,0,0,0,0,0.266666666,"Cody Thomas",19828,642137
"Teoscar Hernández","TOR",131,499,535,133,72,35,1,25,71,77,34,0,152,2,0,0,18,6,3,0.266533066,"Teoscar Hernandez",13066,606192
"Josh Bell","- - -",156,552,647,147,98,29,3,17,78,71,81,4,102,5,6,0,22,0,1,0.266304347,"Josh Bell",13145,605137
"Mark Canha","NYM",140,462,542,123,86,24,0,13,71,61,48,1,97,28,4,0,3,3,1,0.266233766,"Mark Canha",11445,592192
"Brendan Rodgers","COL",137,527,581,140,94,30,3,13,72,63,46,0,101,3,5,0,25,0,0,0.265654648,"Brendan Rodgers",17907,663898
"Ronald Acuña Jr.","ATL",119,467,533,124,85,24,0,15,71,50,53,4,126,10,3,0,8,29,11,0.265524625,"Ronald Acuna Jr.",18401,660670
"Jason Vosler","SFG",36,98,111,26,15,6,1,4,14,12,10,1,29,2,1,0,3,1,1,0.265306122,"Jason Vosler",16686,613564
"Jordan Diaz","OAK",15,49,51,13,10,3,0,0,3,1,2,0,7,0,0,0,1,0,0,0.265306122,"Jordan Diaz",22650,672478
"Raimel Tapia","TOR",128,411,433,109,79,20,3,7,47,52,16,0,81,0,1,3,12,8,2,0.265206812,"Raimel Tapia",14350,606132
"Tommy Edman","STL",153,577,630,153,105,31,4,13,95,57,46,2,111,5,1,1,10,32,3,0.265164644,"Tommy Edman",19470,669242
"Zach Reks","TEX",16,34,34,9,8,1,0,0,3,3,0,0,10,0,0,0,0,0,1,0.264705882,"Zach Reks",19667,676646
"Bubba Thompson","TEX",55,170,181,45,39,5,0,1,18,9,7,0,56,2,0,2,2,18,3,0.264705882,"Bubba Thompson",22261,669352
"Charlie Blackmon","COL",135,530,577,140,96,22,6,16,60,78,32,4,109,8,3,4,10,4,1,0.264150943,"Charlie Blackmon",7859,453568
"Nomar Mazara","SDP",55,159,171,42,32,8,0,2,16,18,10,0,40,2,0,0,3,0,0,0.264150943,"Nomar Mazara",14553,608577
"Garrett Stubbs","PHI",50,106,121,28,18,4,1,5,19,16,14,0,30,0,0,1,2,2,0,0.264150943,"Garrett Stubbs",18067,596117
"Nate Eaton","KCR",44,106,122,28,20,4,3,1,16,12,10,0,30,2,3,1,2,11,1,0.264150943,"Nate Eaton",25055,681987
"Luis Rengifo","LAA",127,489,511,129,86,22,4,17,45,52,17,0,79,4,0,1,11,6,2,0.26380368,"Luis Rengifo",19858,650859
"Austin Slater","SFG",125,277,325,73,49,15,2,7,49,34,40,0,89,6,2,0,9,12,1,0.263537906,"Austin Slater",16153,596103
"Nick Castellanos","PHI",136,524,558,138,98,27,0,13,56,62,29,0,130,3,2,0,15,7,1,0.263358778,"Nick Castellanos",11737,592206
"Ildemaro Vargas","- - -",63,209,222,55,37,13,1,4,19,23,8,0,23,3,1,1,6,3,1,0.263157894,"Ildemaro Vargas",13324,545121
"Jared Young","CHC",6,19,22,5,3,2,0,0,2,0,3,0,7,0,0,0,0,1,0,0.263157894,"Jared Young",20404,676724
"Charles Leblanc","MIA",48,156,169,41,27,10,0,4,18,11,12,0,53,1,0,0,0,4,2,0.262820512,"Charles Leblanc",19813,641779
"Randy Arozarena","TBR",153,586,645,154,90,41,3,20,72,89,46,2,156,11,2,0,17,32,12,0.262798634,"Randy Arozarena",19290,668227
"Brandon Drury","- - -",138,518,568,136,75,31,2,28,87,87,38,0,126,8,4,0,8,2,3,0.262548262,"Brandon Drury",11615,592273
"Jordan Groshans","MIA",17,61,65,16,15,0,0,1,9,2,4,0,13,0,0,0,2,0,0,0.262295081,"Jordan Groshans",23794,677954
"Alejo Lopez","CIN",61,145,156,38,31,5,1,1,15,10,9,1,21,2,0,0,1,3,1,0.262068965,"Alejo Lopez",21127,664670
"Bryan Reynolds","PIT",145,542,614,142,92,19,4,27,74,62,56,6,141,14,2,0,13,7,3,0.261992619,"Bryan Reynolds",19326,668804
"Seiya Suzuki","CHC",111,397,446,104,66,22,2,14,54,46,42,3,110,4,3,0,8,9,5,0.261964735,"Seiya Suzuki",30116,673548
"DJ LeMahieu","NYY",125,467,541,122,92,18,0,12,74,46,67,0,71,4,2,1,12,4,3,0.26124197,"DJ LeMahieu",9874,518934
"Leody Taveras","TEX",99,314,341,82,61,14,2,5,39,34,21,0,88,2,3,1,2,11,5,0.261146496,"Leody Taveras",18900,665750
"Garrett Cooper","MIA",119,414,469,108,64,33,2,9,37,50,40,0,119,10,5,0,6,0,0,0.260869565,"Garrett Cooper",15279,643265
"Isiah Kiner-Falefa","NYY",142,483,531,126,102,20,0,4,66,48,35,2,72,5,5,3,13,22,4,0.260869565,"Isiah Kiner-Falefa",16512,643396
"Wil Myers","SDP",77,261,286,68,46,15,0,7,29,41,21,1,86,1,3,0,7,2,1,0.260536398,"Wil Myers",10047,571976
"Danny Jansen","TOR",72,215,248,56,31,10,0,15,34,44,25,1,44,3,5,0,1,1,0,0.260465116,"Danny Jansen",16535,643376
"Thairo Estrada","SFG",140,488,541,127,89,22,2,14,71,62,33,0,89,14,5,1,10,21,6,0.260245901,"Thairo Estrada",16426,642731
"Will Smith","LAD",137,508,578,132,79,26,3,24,68,87,56,4,96,10,4,0,11,1,0,0.259842519,"Will Smith",19197,669257
"Corbin Carroll","ARI",32,104,115,27,12,9,2,4,13,14,8,0,31,3,0,0,1,2,1,0.259615384,"Corbin Carroll",25878,682998
"Joey Wendle","MIA",101,347,371,90,62,24,1,3,27,32,15,0,50,5,3,1,7,12,3,0.259365994,"Joey Wendle",13853,621563
"Austin Wynns","SFG",66,162,177,42,32,7,0,3,14,21,10,0,38,3,1,1,9,0,0,0.259259259,"Austin Wynns",15271,642851
"Jake Fraley","CIN",68,216,247,56,35,9,0,12,33,28,26,1,54,3,2,0,1,4,1,0.259259259,"Jake Fraley",19260,641584
"Alex Bregman","HOU",155,548,656,142,81,38,0,23,93,93,87,1,77,11,10,0,18,1,2,0.259124087,"Alex Bregman",17678,608324
"Randal Grichuk","COL",141,506,538,131,88,21,3,19,60,73,24,0,127,6,2,0,12,4,0,0.25889328,"Randal Grichuk",10243,545341
"David Bote","CHC",41,116,127,30,18,8,0,4,15,12,6,0,45,4,1,0,3,1,0,0.258620689,"David Bote",14593,623520
"Gunnar Henderson","BAL",34,116,132,30,18,7,1,4,12,18,16,1,34,0,0,0,1,1,1,0.258620689,"Gunnar Henderson",26289,683002
"Terrin Vavra","BAL",40,89,103,23,19,2,1,1,14,12,12,0,19,0,2,0,2,0,1,0.258426966,"Terrin Vavra",24400,679631
"Cedric Mullins","BAL",156,608,672,157,105,32,4,16,89,64,47,2,126,9,5,1,4,34,10,0.258223684,"Cedric Mullins",17929,656775
"José Azocar","SDP",98,202,216,52,40,9,3,0,24,10,12,0,44,0,1,1,6,5,6,0.257425742,"Jose Azocar",18821,640492
"C.J. Cron","COL",150,575,632,148,88,28,3,29,79,102,43,6,164,8,5,0,16,0,0,0.257391304,"C.J. Cron",12546,543068
"Kyle Tucker","HOU",150,544,609,140,81,28,1,30,71,107,59,4,95,1,2,0,11,25,4,0.257352941,"Kyle Tucker",18345,663656
"Abraham Almonte","BOS",15,35,37,9,6,2,0,1,7,2,1,0,12,1,0,0,1,1,0,0.257142857,"Abraham Almonte",5486,501659
"Gleyber Torres","NYY",140,526,572,135,82,28,1,24,73,76,39,2,129,3,3,1,12,10,5,0.256653992,"Gleyber Torres",16997,650402
"Josh Harrison","CHW",119,386,425,99,71,19,2,7,50,27,21,0,71,14,2,2,9,2,1,0.256476683,"Josh Harrison",8202,543281
"Josh Naylor","CLE",122,449,498,115,67,28,0,20,47,79,38,4,80,6,5,0,13,6,1,0.256124721,"Josh Naylor",18839,647304
"Trayce Thompson","- - -",80,219,255,56,28,14,1,13,36,41,32,0,93,2,2,0,2,4,1,0.255707762,"Trayce Thompson",9952,572204
"Sam Haggerty","SEA",83,176,201,45,30,9,1,5,29,23,18,3,53,4,2,1,4,13,1,0.255681818,"Sam Haggerty",18054,664059
"Mike Brosseau","MIL",70,141,160,36,25,5,0,6,15,23,14,0,48,5,0,0,0,2,0,0.255319148,"Mike Brosseau",19683,670712
"Hunter Renfroe","MIL",125,474,522,121,68,23,1,29,62,72,39,1,121,4,3,2,11,1,1,0.255274261,"Hunter Renfroe",15464,592669
"Kyle Farmer","CIN",145,526,583,134,94,25,1,14,58,78,33,0,99,16,6,2,20,4,3,0.254752851,"Kyle Farmer",14813,571657
"David Fletcher","LAA",61,216,228,55,43,9,1,2,20,17,7,0,16,3,0,2,6,1,0,0.254629629,"David Fletcher",17992,664058
"Miguel Cabrera","DET",112,397,433,101,86,10,0,5,25,43,28,3,101,3,5,0,11,1,0,0.25440806,"Miguel Cabrera",1744,408234
"Luis González","SFG",98,311,350,79,56,17,2,4,31,36,30,1,75,4,5,0,5,10,2,0.254019292,"Luis Gonzalez",20332,670768
"Victor Reyes","DET",92,315,336,80,55,19,3,3,27,34,13,0,77,4,4,0,7,2,2,0.253968253,"Victor Reyes",15487,622682
"Salvador Perez","KCR",114,445,473,113,66,23,1,23,48,76,18,2,109,7,3,0,9,0,0,0.253932584,"Salvador Perez",7304,521692
"Eric Haase","DET",110,323,351,82,50,17,1,14,41,44,24,1,97,1,3,0,9,0,0,0.253869969,"Eric Haase",14111,606992
