Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Jose Quintana",,9.2595,10.6787,12.5083,4.357,29.16,29.16,0,0,162.876,711.558,168.815,85.3961,78.8499,20.3414,59.9972,,6.9042,131.164,7.24769,3.31526,2.18616,1.124,0.184333,0.0843181,0.10001490265130997,0.261868,1.40483,0.301071,0.715884,0.449,,4.41169,1.37818,1.60592,458.25,,,,"11423"
"Drew Rasmussen","TBR",5.641,5.0613,3.7824,3.32461,62.1,8.1,0,4.8089,97.2739,399.061,88.3091,39.3452,35.9331,9.81386,23.6883,,3.1977,99.9508,9.24767,2.19169,4.21942,0.908,0.250465,0.0593601,0.19110485166311264,0.237278,1.15136,0.299132,0.739402,0.46349,,3.25218,1.37314,1.37511,271.8800048828125,,,,"25385"
"Nestor Cortes","NYY",6.5184,6.1,6.0656,3.8556,50.96,12.96,0,0.6675,111.268,463.223,101.584,50.8405,47.667,17.4443,27.7122,,3.6594,113.374,9.17039,2.24153,4.09113,1.411,0.244751,0.0598247,0.18492604792118073,0.235229,1.16203,0.279503,0.748093,0.315426,,4.01257,1.36641,1.23358,280.8800048828125,,,,"17874"
"Luis Garcia","HOU",7.9471,7.9378,9.2709,4.2184,36.06,21.06,0,0.6403,133.286,562.676,126.485,66.7821,62.4725,19.9484,41.7275,,4.1812,130.909,8.8395,2.81762,3.13723,1.347,0.232654,0.074159,0.1584947630763054,0.244762,1.26205,0.291155,0.723033,0.365449,,4.18113,1.34993,1.23381,430,,,,"23735"
"Jameson Taillon","CHC",9.3241,10.9056,12.8792,4.49174,29.16,29.16,0,0,167.813,711.375,175.347,89.5704,83.7527,26.0484,41.2398,,5.3666,134.24,7.19943,2.21173,3.25511,1.397,0.188705,0.057972,0.13073302805423737,0.263772,1.29064,0.295946,0.70518,0.385001,,4.41768,1.33455,1.30412,322.75,,,,"11674"
"Kyle Harrison","SFG",8.4061,9.3229,11.9519,4.07897,25.92,25.92,0,0,145.029,622.176,134.273,70.7081,65.7299,18.9827,53.6539,,7.7187,148.367,9.20711,3.32957,2.76525,1.178,0.238464,0.0862359,0.1522279754281044,0.23943,1.29579,0.293021,0.726483,0.38737,,4.09153,1.32316,1.57919,370.1300048828125,,,,"27758"
"Cody Bradford","TEX",8.1582,8.8282,9.7363,4.30797,37.68,22.68,0,0.6238,141.997,600.764,141.927,72.5561,67.9685,23.5399,34.1105,,5.1408,121.885,7.72528,2.16199,3.57323,1.492,0.202883,0.0567785,0.14610446617007256,0.252758,1.23973,0.284525,0.723233,0.348422,,4.43413,1.29719,1.2519,314.5,,,,"27597"
"Davis Martin","CHW",6.7812,9.9526,10.2592,4.4913,24.3,24.3,0,0,136.926,591.731,137.379,73.3948,68.3309,20.3412,49.5758,,6.5741,116.622,7.66544,3.25855,2.35241,1.337,0.197087,0.083781,0.11330603063106537,0.256504,1.36536,0.293608,0.71657,0.41617,,4.62449,1.2969,1.21818,742.75,,,,"21448"
"Tobias Myers","MIL",8.1606,9.5167,10.7267,4.44745,25.92,25.92,0,0,143.956,619.431,144.087,76.1636,71.1373,23.1289,44.887,,5.8666,128.1,8.00868,2.8063,2.85382,1.446,0.206802,0.0724649,0.13433698564767838,0.253371,1.31272,0.289754,0.720402,0.381284,,4.53313,1.29474,1.37767,295.6300048828125,,,,"22191"
"Brady Basso","ATH",6.2217,6.1763,6.3044,3.69928,48.96,12.96,0,0.6417,108.753,454.028,102.231,48.5489,44.7007,13.0745,30.9399,,4.1058,95.8369,7.93113,2.56048,3.09752,1.082,0.211081,0.0681453,0.142936110496521,0.243998,1.22453,0.287536,0.736698,0.417922,,3.93365,1.28843,1.31163,744.3800048828125,,,,"25582"
"Tyler Anderson","LAA",9.8331,12.7919,14.3468,4.74439,32,32,0,0,190.94,835.257,197.453,107.383,100.655,30.2321,70.3804,,7.9558,151.499,7.14094,3.3174,2.15257,1.425,0.18138,0.084262,0.09711800515651703,0.260864,1.40271,0.290723,0.711505,0.359311,,4.86874,1.27727,1.26169,479.6300048828125,,,,"12880"
"Cade Povich","BAL",8.7123,8.7082,9.7432,4.11855,43.68,22.68,0,0.6408,145.604,623.08,138.02,71.776,66.6308,19.9316,54.1809,,5.533,132.568,8.19425,3.349,2.44677,1.232,0.212763,0.0869566,0.1258063092827797,0.244991,1.32002,0.287412,0.732971,0.391783,,4.35543,1.26568,1.34741,406.25,,,,"30055"
"Eury Pérez","MIA",4.7655,5.1471,6.7747,3.94822,14.58,14.58,0,0,80.6072,338.828,71.5948,37.807,35.3617,11.1775,26.5011,,3.1718,89.8823,10.0356,2.95892,3.39164,1.248,0.265274,0.078214,0.18706011772155762,0.231582,1.21696,0.290335,0.731241,0.345659,,3.84337,1.2596,1.36463,504.3800048828125,,,,"27768"
"Bobby Miller","LAD",7.784,7.1348,8.0012,4.15258,38.44,19.44,0,0.6788,124.151,530.298,119.217,62.0065,57.283,16.1672,45.0401,,5.5098,118.135,8.56386,3.26506,2.62288,1.172,0.22277,0.0849336,0.13783665746450424,0.2485,1.32305,0.29831,0.721992,0.461279,,4.17778,1.25843,1.25658,311.3800048828125,,,,"27483"
