"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Jordan Minch","","0","0","4.79","0","1","0","1.0","1","1","0","1","1","1.54","7.83","4.89","5.02","0.0","0.0","sa827492"
"Joey Gerber","SEA","0","0","4.50","0","2","0","2.0","2","1","0","2","1","1.42","8.65","4.30","4.72","0.0","0.0","24591"
"Jose Fernandez","","0","0","4.98","0","1","0","1.0","1","1","0","1","0","1.50","7.64","4.40","5.22","0.0","0.0","14733"
"Manuel Rondon","","0","0","4.74","0","1","0","1.0","1","1","0","1","1","1.57","8.00","5.28","5.02","0.0","0.0","sa737083"
"Sean Stutzman","","0","0","4.84","0","1","0","1.0","1","1","0","1","1","1.57","8.40","5.34","5.02","0.0","0.0","sa920319"
"William Martin","","0","0","4.85","0","1","0","1.0","1","1","0","1","0","1.46","7.66","4.10","5.04","0.0","0.0","sa3009929"
"Salvador Justo","STL","0","0","4.90","0","1","0","1.0","1","1","0","1","1","1.52","7.73","4.68","5.05","0.0","0.0","sa737459"
"Madison Younginer","","0","0","5.11","0","1","0","1.0","1","1","0","1","1","1.60","7.88","5.36","5.23","0.0","0.0","10636"
"Connor Grey","","0","0","4.98","0","1","0","1.0","1","1","0","1","0","1.44","7.16","3.50","5.03","0.0","0.0","sa918420"
"Travis Neubeck","","0","0","4.89","0","1","0","1.0","1","1","0","1","1","1.59","7.73","5.39","5.04","0.0","0.0","sa875202"
"Alexander Manasa","PIT","0","0","4.97","0","1","0","1.0","1","1","0","1","0","1.55","6.51","4.24","5.01","0.0","0.0","sa3004213"
"Bryan Warzek","LAD","0","0","4.74","0","1","0","1.0","1","1","0","1","1","1.58","9.63","5.97","5.01","0.0","0.0","sa3008165"
"Zachary Schellenger","BOS","0","0","5.03","0","1","0","1.0","1","1","0","1","1","1.64","9.07","6.11","5.01","0.0","0.0","sa873651"
"Jesus Liranzo","","0","0","4.92","0","1","0","1.0","1","1","0","1","1","1.53","9.02","5.26","5.03","0.0","0.0","sa658076"
"Jesus Rios","","0","0","4.97","0","1","0","1.0","1","1","0","1","0","1.53","7.10","4.29","5.04","0.0","0.0","sa736833"
"Jacob Haberer","SEA","0","0","4.80","0","1","0","1.0","1","1","0","1","1","1.55","8.94","5.54","5.06","0.0","0.0","sa3008514"
"Breckin Williams","ARI","0","0","5.06","0","1","0","1.0","1","1","0","1","1","1.59","7.68","5.11","5.04","0.0","0.0","sa875020"
"Eduardo Paredes","","0","0","5.00","0","1","0","1.0","1","1","0","1","0","1.48","7.76","4.27","5.22","0.0","0.0","16344"
"Gregory Weissert","NYY","0","0","4.83","0","1","0","1.0","1","1","0","1","1","1.50","9.02","4.92","5.01","0.0","0.0","sa918484"
"Jordan Watson","","0","0","4.89","0","1","0","1.0","1","1","0","1","1","1.65","8.04","5.89","5.04","0.0","0.0","sa918043"
"David Holmberg","","0","0","5.07","0","1","0","1.0","1","1","0","1","0","1.51","5.92","3.59","5.24","0.0","0.0","7725"
"Tyler Joyner","BAL","0","0","4.90","0","1","0","1.0","1","1","0","1","0","1.51","7.40","4.43","5.14","0.0","0.0","sa3006836"
"Jose Disla","BOS","0","0","5.20","0","1","0","1.0","1","1","0","1","0","1.53","7.76","4.31","5.02","0.0","0.0","sa748874"
"Jesus Tinoco","COL","0","0","5.59","0","1","0","1.0","1","1","0","1","0","1.61","7.66","4.30","5.17","0.0","0.0","16300"
"Franklyn Soriano","","0","0","4.87","0","1","0","1.0","1","1","0","1","1","1.53","7.81","4.69","5.05","0.0","0.0","sa875873"
"Luis Cedeno","","0","0","4.94","0","1","0","1.0","1","1","0","1","1","1.57","8.16","5.26","5.05","0.0","0.0","sa659945"
"Johan Quezada","STL","0","0","4.26","0","5","0","5.0","5","3","1","5","3","1.47","8.40","4.64","4.44","0.0","0.0","20643"
"Stephen Smith","","0","0","5.00","0","1","0","1.0","1","1","0","1","0","1.53","7.24","4.32","5.05","0.0","0.0","sa918532"
"Thomas Pannone","LAA","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.40","7.58","3.46","5.23","0.0","0.0","17281"
"Mark Washington","LAD","0","0","4.88","0","1","0","1.0","1","1","0","1","0","1.50","7.79","4.42","5.03","0.0","0.0","sa3005194"
"Samuel Ryan","TOR","0","0","5.01","0","1","0","1.0","1","1","0","1","0","1.51","7.60","4.28","5.06","0.0","0.0","sa3010627"
"Luis Mora","ATL","0","0","4.95","0","1","0","1.0","1","1","0","1","1","1.66","8.84","6.39","5.08","0.0","0.0","sa828591"
"Victor Santos","PHI","0","0","4.87","0","1","0","1.0","1","1","0","1","0","1.49","7.35","4.09","5.05","0.0","0.0","sa3003083"
"Adam Lau","BOS","0","0","5.12","0","1","0","1.0","1","1","0","1","1","1.53","8.59","4.86","5.03","0.0","0.0","sa876250"
"Kodi Medeiros","CHW","0","0","4.70","0","1","0","1.0","1","1","0","1","1","1.51","8.43","4.95","5.06","0.0","0.0","sa828664"
"Samuel Bragg","","0","0","5.02","0","1","0","1.0","1","1","0","1","0","1.47","7.08","3.72","5.06","0.0","0.0","sa738235"
"Craig Breslow","","0","0","5.09","0","1","0","1.0","1","1","0","1","1","1.57","7.02","4.65","5.26","0.0","0.0","4363"
"Greg Mahle","","0","0","4.90","0","1","0","1.0","1","1","0","1","0","1.45","6.78","3.57","5.24","0.0","0.0","16877"
"Daniel Brown","","0","0","4.80","0","1","0","1.0","1","1","0","1","1","1.58","7.92","5.36","5.07","0.0","0.0","sa918031"
"Reece Karalus","","0","0","5.02","0","1","0","1.0","1","1","0","1","0","1.50","7.98","4.39","5.07","0.0","0.0","sa873637"
"Andrew Case","","0","0","5.02","0","1","0","1.0","1","1","0","1","0","1.47","7.20","3.74","5.07","0.0","0.0","sa829881"
"Alexander Schick","MIN","0","0","4.98","0","1","0","1.0","1","1","0","1","1","1.54","8.60","5.14","5.06","0.0","0.0","sa738140"
"Matthew Hartman","ATL","0","0","5.02","0","1","0","1.0","1","1","0","1","1","1.56","7.75","4.88","5.10","0.0","0.0","sa3008498"
"Dakody Clemmer","CLE","0","0","4.91","0","1","0","1.0","1","1","0","1","0","1.50","7.95","4.50","5.01","0.0","0.0","sa918421"
"Joseph Wentz","DET","0","0","5.14","1","1","0","6.0","6","3","1","5","3","1.49","7.48","4.26","5.30","0.0","0.0","sa917946"
"Yeudy Garcia","","0","0","5.00","0","1","0","1.0","1","1","0","1","1","1.56","8.13","5.11","5.08","0.0","0.0","sa828169"
"Merandy Gonzalez","","0","0","5.19","0","1","0","1.0","1","1","0","1","1","1.58","7.24","4.82","5.28","0.0","0.0","17313"
"Angel German","","0","0","4.93","0","1","0","1.0","1","1","0","1","1","1.58","8.65","5.58","5.08","0.0","0.0","sa739256"
"William Raiden","","0","0","5.05","0","1","0","1.0","1","1","0","1","0","1.51","7.37","4.13","5.08","0.0","0.0","sa3008305"
"Yoel Espinal","","0","0","4.86","0","1","0","1.0","1","1","0","1","1","1.53","8.92","5.36","5.08","0.0","0.0","sa597725"
"Griffin Roberts","STL","0","0","4.90","0","1","0","1.0","1","1","0","1","1","1.57","7.23","5.01","5.11","0.0","0.0","sa3008483"
"Brian Ellington","","0","0","5.14","0","1","0","1.0","1","1","0","1","1","1.56","9.24","5.73","5.28","0.0","0.0","17233"
"Carlos Hiraldo","HOU","0","0","4.79","0","1","0","1.0","1","1","0","1","1","1.54","7.84","4.98","5.07","0.0","0.0","sa828141"
"Tyler Palm","MIN","0","0","5.02","0","1","0","1.0","1","1","0","1","0","1.54","6.98","4.32","5.07","0.0","0.0","sa3007270"
"Jared Miller","","0","0","4.70","0","1","0","1.0","1","1","0","1","1","1.70","9.43","7.19","5.08","0.0","0.0","sa827467"
"Sandro Cabrera","","0","0","4.83","0","1","0","1.0","1","1","0","1","1","1.56","8.06","5.22","5.09","0.0","0.0","sa873292"
"Jhenderson Hurtado","","0","0","4.92","0","1","0","1.0","1","1","0","1","1","1.51","8.21","4.71","5.09","0.0","0.0","sa828710"
"Jonathan Wynkoop","COL","0","0","5.46","0","1","0","1.0","1","1","0","1","0","1.50","6.49","2.68","5.11","0.0","0.0","sa875060"
"Alexander Winkelman","","0","0","4.88","0","1","0","1.0","1","1","0","1","1","1.58","8.28","5.40","5.09","0.0","0.0","sa874113"
"Hector Lujan","MIN","0","0","5.03","0","1","0","1.0","1","1","0","1","0","1.47","7.50","3.89","5.08","0.0","0.0","sa876201"
"Luis Carrasco","","0","0","4.96","0","1","0","1.0","1","1","0","1","1","1.64","7.83","5.69","5.09","0.0","0.0","sa827249"
"Marcos Diplan","BAL","0","0","4.90","0","1","0","1.0","1","1","0","1","1","1.54","8.61","5.39","5.19","0.0","0.0","sa828590"
"Timothy Naughton","BAL","0","0","4.90","0","1","0","1.0","1","1","0","1","1","1.57","8.34","5.56","5.19","0.0","0.0","sa3004713"
"Carlos Sano","","0","0","5.01","0","1","0","1.0","1","1","0","1","0","1.48","8.47","4.44","5.10","0.0","0.0","sa3005415"
"Gerardo Sanchez","","0","0","4.98","0","1","0","1.0","1","1","0","1","1","1.60","6.71","4.84","5.10","0.0","0.0","sa503435"
"Jose Pena","","0","0","4.98","0","1","0","1.0","1","1","0","1","1","1.52","8.58","4.97","5.10","0.0","0.0","sa510341"
"Ryan Wilson","BAL","0","0","4.80","0","1","0","1.0","1","1","0","1","1","1.49","8.31","4.82","5.19","0.0","0.0","sa3004585"
"Stephen Duncan","","0","0","4.93","0","1","0","1.0","1","1","0","1","1","1.55","8.40","5.24","5.10","0.0","0.0","sa3004368"
"Bobby Poyner","BOS","0","0","5.19","0","1","0","1.0","1","1","0","1","0","1.44","7.92","3.78","5.27","0.0","0.0","17987"
"Chris Rowley","","0","0","5.21","0","1","0","1.0","1","1","0","1","0","1.50","6.76","3.88","5.31","0.0","0.0","18820"
"Nattino Diplan","","0","0","4.96","0","1","0","1.0","1","1","0","1","1","1.61","7.72","5.45","5.11","0.0","0.0","sa737469"
"Lisalverto Bonilla","","0","0","5.37","0","1","0","1.0","1","1","0","1","0","1.55","7.39","4.20","5.32","0.0","0.0","11266"
"John Ghyzel","CIN","0","0","5.01","0","1","0","1.0","1","1","0","1","1","1.61","8.99","5.77","5.12","0.0","0.0","sa3004473"
"Connor Walsh","","0","0","4.91","0","1","0","1.0","1","1","0","1","1","1.53","8.76","5.18","5.11","0.0","0.0","sa829031"
"William Brickhouse","LAD","0","0","4.91","0","1","0","1.0","1","1","0","1","1","1.56","8.91","5.48","5.08","0.0","0.0","sa597825"
"Jesus Pirela","","0","0","5.00","0","1","0","1.0","1","1","0","1","1","1.58","7.19","4.83","5.11","0.0","0.0","sa504880"
"Bailey Falter","PHI","0","0","5.55","0","4","0","5.0","7","3","1","6","1","1.49","9.46","1.61","5.12","0.0","0.0","20070"
"Walter Borkovich","","0","0","5.08","0","1","0","1.0","1","1","0","1","0","1.49","6.79","3.71","5.11","0.0","0.0","sa3004801"
"Benjamin Oliver","","0","0","4.93","0","1","0","1.0","1","1","0","1","1","1.62","9.17","6.24","5.11","0.0","0.0","sa918600"
"Alex Troop","WSN","0","0","4.95","0","1","0","1.0","1","1","0","1","1","1.56","7.87","4.94","5.14","0.0","0.0","sa915638"
"Yankory Pimentel","","0","0","5.03","0","1","0","1.0","1","1","0","1","1","1.57","7.58","4.87","5.11","0.0","0.0","sa659446"
"Connor Law","TOR","0","0","5.00","0","1","0","1.0","1","1","0","1","1","1.58","7.77","5.14","5.12","0.0","0.0","sa3004321"
"Claudio Custodio","BAL","0","0","4.97","0","1","0","1.0","1","1","0","1","0","1.47","7.00","3.91","5.21","0.0","0.0","sa547829"
"Wayne Parsons","NYM","0","0","4.82","0","1","0","1.0","1","1","0","1","1","1.62","8.06","5.89","5.12","0.0","0.0","sa3011606"
"Michael Santos","LAA","0","0","4.93","0","1","0","1.0","1","1","0","1","0","1.47","7.24","3.86","5.10","0.0","0.0","sa736667"
"Zach Matson","COL","0","0","5.32","0","1","0","1.0","1","1","0","1","1","1.65","9.41","5.84","5.14","0.0","0.0","sa918537"
"Akeel Morris","","0","0","5.27","0","1","0","1.0","1","1","0","1","1","1.56","7.69","4.77","5.32","0.0","0.0","12185"
"Braden Bristo","NYY","0","0","4.96","0","1","0","1.0","1","1","0","1","1","1.51","8.90","4.86","5.10","0.0","0.0","sa918549"
"Jose Meza","","0","0","4.97","0","1","0","1.0","1","1","0","1","1","1.61","7.49","5.34","5.12","0.0","0.0","sa652174"
"Daniel Rodriguez","","0","0","5.05","0","1","0","1.0","1","1","0","1","1","1.55","7.11","4.54","5.13","0.0","0.0","sa737091"
"Ofreidy Gomez","CHW","0","0","4.95","0","1","0","1.0","1","1","0","1","0","1.49","7.87","4.39","5.13","0.0","0.0","sa737451"
"Ryan Valdes","","0","0","5.07","0","1","0","1.0","1","1","0","1","1","1.58","8.08","5.20","5.11","0.0","0.0","sa3004486"
"Severino Gonzalez","","0","0","5.31","0","1","0","1.0","1","1","0","1","0","1.50","6.86","3.73","5.33","0.0","0.0","14697"
"Scott Kuzminsky","","0","0","5.03","0","1","0","1.0","1","1","0","1","1","1.54","8.02","4.89","5.13","0.0","0.0","sa3005312"
"Daniel Quinn","","0","0","5.02","0","1","0","1.0","1","1","0","1","1","1.58","8.20","5.29","5.13","0.0","0.0","sa874229"
"Walker Sheller","","0","0","5.01","0","1","0","1.0","1","1","0","1","0","1.53","6.95","4.32","5.14","0.0","0.0","sa918177"
"Jefry Valdez","NYY","0","0","4.98","0","1","0","1.0","1","1","0","1","0","1.51","7.34","4.15","5.11","0.0","0.0","sa887660"
"Austin Coley","","0","0","5.10","0","1","0","1.0","1","1","0","1","0","1.48","6.90","3.75","5.14","0.0","0.0","sa738368"
"Nathan Griep","COL","0","0","5.50","0","1","0","1.0","1","1","0","1","1","1.64","8.39","5.15","5.16","0.0","0.0","sa875199"
"Elijah Villalobos","MIA","0","0","4.98","0","1","0","1.0","1","1","0","1","1","1.61","7.38","5.44","5.15","0.0","0.0","sa3007997"
"Gabriel Valdez","","0","0","5.10","0","1","0","1.0","1","1","0","1","0","1.51","7.72","4.35","5.14","0.0","0.0","sa828365"
"Graham Spraker","TOR","0","0","5.00","0","1","0","1.0","1","1","0","1","0","1.45","7.08","3.72","5.14","0.0","0.0","sa3004024"
