Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Nola","PHI",11,13,0,32,32,205,10.317073170731707,1.273170731707317,0.8341463414634146,0.28932038834951457,0.7302,0.43560606,0.098445595,92.92221304086539,3.2487804878048783,2.74,2.580722492497142,2.769563366581754,6.312600135803223,"Aaron Nola",16149,605400
"Carlos Rodón","SFG",14,8,0,31,31,178,11.98314606741573,2.6292134831460676,0.6067415730337079,0.29310344827586204,0.7506,0.341404358,0.065217391,95.46002190580504,2.8820224719101124,2.64,2.25287924777256,2.9067500567168336,6.195089817047119,"Carlos Rodon",16137,607074
"Justin Verlander","HOU",18,4,0,28,28,175,9.514285714285714,1.4914285714285713,0.6171428571428571,0.23963133640552994,0.8048,0.379232505,0.062176165,95.09885931558935,1.7485714285714287,2.66,2.48957266671317,3.23078626206943,6.031990051269531,"Justin Verlander",8700,434378
"Sandy Alcantara","MIA",14,9,0,32,32,228.2,8.147218178982794,1.9679270963726554,0.6297366708392497,0.26158940397350994,0.7882,0.534201954,0.085106382,97.9583850931677,2.2827954317922803,2.9,2.985607841137408,3.293087721440561,5.754610061645508,"Sandy Alcantara",18684,645261
"Kevin Gausman","TOR",12,10,0,31,31,174.2,10.56295649060883,1.4427452767660842,0.7728992554104023,0.3634453781512605,0.7398,0.392197125,0.085227272,94.94035346097202,3.3492301067784096,3.34,2.379606811847857,2.7548694603401183,5.674139976501465,"Kevin Gausman",14107,592332
"Shohei Ohtani","LAA",15,9,0,28,28,166,11.873493975903614,2.3855421686746987,0.7590361445783133,0.2887139107611549,0.8311,0.418781725,0.092715231,97.35777381361761,2.3313253012048194,2.68,2.401586436076337,2.651807088342058,5.598509788513184,"Shohei Ohtani",19755,660271
"Max Fried","ATL",14,7,0,30,30,185.1,8.255410862998902,1.553959691858617,0.5827348844469814,0.2796116504854369,0.782,0.511538461,0.077922077,93.98084509966777,2.4766232588996706,2.85,2.702357113107622,3.090726999922773,4.966259956359863,"Max Fried",13743,608331
"Spencer Strider","ATL",11,5,0,31,20,131.2,13.807633407228089,3.075957937253782,0.47848234579503274,0.2915129151291513,0.7407,0.402877697,0.067961165,98.12039318647541,2.665830212286611,2.39,1.8288819295804628,2.295809513318818,4.892041802406311,"Spencer Strider",27498,675911
"Shane Bieber","CLE",13,8,0,31,31,200,8.91,1.62,0.81,0.28677839851024206,0.7576,0.481818181,0.104046242,91.51553828203835,2.88,3.51,2.8724298095703125,2.982954203337431,4.754509925842285,"Shane Bieber",19427,669456
"Corbin Burnes","MIL",12,8,0,33,33,202,10.826732673267326,2.272277227722772,1.0247524752475248,0.25910064239828695,0.7679,0.470225872,0.141104294,96.1558329264323,2.9405940594059405,3.05,3.137182284817838,2.8515443072755744,4.580049991607666,"Corbin Burnes",19361,669203
"Dylan Cease","CHW",14,8,0,32,32,184,11.103260869565217,3.8152173913043477,0.782608695652174,0.26004728132387706,0.8234,0.387614678,0.083769633,96.91581431943352,2.2010869565217392,2.7,3.0961254617442258,3.50238431578745,4.446529865264893,"Dylan Cease",18525,656302
"Max Scherzer","NYM",11,5,0,23,23,145.1,10.713327873053856,1.4862420170710553,0.8050477592468216,0.2761627906976744,0.8333,0.31054131,0.074712643,94.09634092065107,2.291289776317877,2.87,2.617015803879961,3.226548795794245,4.4422101974487305,"Max Scherzer",3137,453286
"Framber Valdez","HOU",17,6,0,31,31,201.1,8.672200109151053,2.9950381820263945,0.4917226866013483,0.2849264705882353,0.7568,0.665454545,0.125,94.0229721069336,2.8162299323531768,3.31,3.057793955503496,2.994580281831265,4.358530044555664,"Framber Valdez",17295,664285
"Logan Webb","SFG",15,9,0,32,32,192.1,7.627396529954814,2.29289834336065,0.5147322811625948,0.2926391382405745,0.7176,0.567084078,0.082706766,92.3763440860215,2.901218312007353,3.59,3.0344400700002225,3.314630572784246,4.1911702156066895,"Logan Webb",17995,657277
"Zac Gallen","ARI",12,4,0,31,31,184,9.391304347826088,2.2989130434782608,0.7336956521739131,0.23660714285714285,0.7799,0.459518599,0.09090909,93.94121813031161,2.5434782608695654,3.17,3.047212418265965,3.3149400192434375,4.171889781951904,"Zac Gallen",19291,668678
"Zack Wheeler","PHI",12,7,0,26,26,153,9.588235294117647,2,0.7647058823529411,0.28717948717948716,0.7713,0.458852867,0.098484848,96.1036036036036,2.823529411764706,3.1,2.8902075873480904,3.0628187171773975,4.166669845581055,"Zack Wheeler",10310,554430
"Yu Darvish","SDP",16,8,0,30,30,194.2,9.107860768287567,1.7106134437900509,1.0171215071184085,0.2504970178926441,0.7822,0.368522072,0.096491228,94.99972021349862,3.097597317133335,3.49,3.3127719246087874,3.577457274338249,4.109620094299316,"Yu Darvish",13074,506433
"Alek Manoah","TOR",16,7,0,31,31,196.2,8.237273862228426,2.3338942609647204,0.7322021210869711,0.24427480916030533,0.8262,0.374531835,0.071428571,93.87744372037915,2.242368995828849,3.31,3.346327709361984,3.9748215602875456,4.08774995803833,"Alek Manoah",26410,666201
"Tyler Anderson","LAD",15,5,0,30,28,178.2,6.951479278418935,1.7126833004800275,0.705222535491776,0.255859375,0.7779,0.401151631,0.06392694,90.74022633744856,2.569024950720041,3.1,3.3083249583180283,4.10423088288663,4.039697110652924,"Tyler Anderson",12880,542881
"Martín Pérez","TEX",12,8,0,32,32,196.1,7.747042309172255,3.1629936055200334,0.5042453574017445,0.2950530035335689,0.7702,0.514184397,0.06547619,92.91145833333333,2.8879506833009,3.59,3.2652314330253867,3.8036177850595516,3.987989902496338,"Martin Perez",6902,527048
"José Quintana","- - -",6,7,0,32,32,165.2,7.442654507471137,2.55331942957039,0.4346075624800664,0.30165289256198347,0.7417,0.464212678,0.052631578,91.28507296954315,2.9336010467404483,3.86,2.9917054866591837,3.7221902758522605,3.963819980621338,"Jose Quintana",11423,500779
"Clayton Kershaw","LAD",12,3,0,22,22,126.1,9.759920196725362,1.638526748355353,0.7124029340675447,0.26791277258566976,0.7944,0.47112462,0.09090909,90.75994798714478,2.279689389016143,2.51,2.566254226785195,2.826212055214586,3.8497800827026367,"Clayton Kershaw",2036,477132
"Patrick Sandoval","LAA",6,9,0,27,27,148.2,9.14123465148099,3.632278669462645,0.48430382259501936,0.3164251207729469,0.7676,0.473557692,0.0625,93.22849462365592,2.905822935570116,3.91,3.0922504836288534,3.6672805743366723,3.71016001701355,"Patrick Sandoval",19447,663776
"Luis Castillo","- - -",8,6,0,25,25,150.1,9.997785072901673,2.694013941799852,0.778270694297735,0.27486910994764396,0.7526,0.469072164,0.1,97.1119347594397,2.993348824222058,3.31,3.0725184919140185,3.2284969289911136,3.69963002204895,"Luis Castillo",15689,622491
"Alex Cobb","SFG",7,8,0,28,28,149.2,9.08015749889102,2.5857402149159863,0.541201440331253,0.33647058823529413,0.6796,0.615023474,0.102272727,95.2947998046875,3.7282765889486313,3.15,2.798399344192919,2.88708289667204,3.6623599529266357,"Alex Cobb",6562,502171
"Nestor Cortes","NYY",12,4,0,28,28,158.1,9.265283099492692,2.160004648961486,0.9094756416679942,0.23232323232323232,0.828,0.334951456,0.082051282,91.71875,2.4442157869827343,2.7,3.1250614157045904,3.634577012735772,3.6262199878692627,"Nestor Cortes",17874,641482
"Blake Snell","SDP",8,10,0,24,24,128,12.0234375,3.5859375,0.7734375,0.30666666666666664,0.7468,0.365695792,0.083333333,95.73384615384616,3.375,3.19,2.7999298095703127,3.209379050694406,3.587980031967163,"Blake Snell",13543,605483
"Brandon Woodruff","MIL",13,4,0,27,27,153.1,11.152198698535182,2.4652228702025143,1.0565240872296489,0.28493150684931506,0.7858,0.375661375,0.109756097,96.36877878710338,3.052180696441208,3.15,3.079821041445941,3.1370918441082107,3.554960012435913,"Brandon Woodruff",16162,605540
"Shane McClanahan","TBR",12,8,0,28,28,166.1,10.497015494001861,2.056116436969437,1.0280582184847185,0.25064599483204136,0.8052,0.502487562,0.157024793,97.0366038340935,2.5430913825674613,2.79,3.0042131549929745,2.596148456987523,3.5405399799346924,"Shane McClanahan",21483,663556
"Triston McKenzie","CLE",11,11,0,31,30,191.1,8.93729814799175,2.0696900974296684,1.1759602826304933,0.23689727463312368,0.8026,0.327272727,0.103305785,92.66697896127111,2.963419912228843,3.54,3.593266902912559,3.767051647543675,3.4258778179064393,"Triston McKenzie",18000,663474
"Joe Musgrove","SDP",10,7,0,30,30,181,9.149171270718233,2.088397790055249,1.0939226519337018,0.27615062761506276,0.798,0.446464646,0.122905027,92.90697908763278,2.9337016574585637,3.27,3.587567931117274,3.47147472052943,3.3613500595092773,"Joe Musgrove",12970,605397
"Cristian Javier","HOU",11,9,0,30,25,148.2,11.744424201836415,3.147989992244812,1.029150574387727,0.22784810126582278,0.836,0.259938837,0.091397849,93.88379097732843,2.542607301428502,2.43,3.159515129967137,3.525097356002683,3.338135927915573,"Cristian Javier",17606,664299
"Gerrit Cole","NYY",13,8,0,33,33,200.2,11.526558498257877,2.242521108610482,1.480063931682918,0.2682926829268293,0.7822,0.424430641,0.168367346,97.77149587750294,3.498332929432352,3.31,3.4662498067066334,2.774324923216605,3.260809898376465,"Gerrit Cole",13125,543037
"Julio Urías","LAD",17,7,0,31,31,175,8.537142857142857,2.1085714285714285,1.1828571428571428,0.2290748898678414,0.8665,0.3970276,0.10798122,93.1,2.16,2.81,3.7124298095703128,3.8056862645489833,3.209130048751831,"Julio Urias",14765,628711
"Merrill Kelly","ARI",13,8,0,33,33,200.1,7.951760614632178,2.7404372739692815,0.9434292254648347,0.26887661141804786,0.7627,0.427549194,0.099056603,92.37222562636165,3.369390090945838,3.62,3.651532224121647,3.8553903309615465,3.177309989929199,"Merrill Kelly",11156,518876
"Logan Gilbert","SEA",13,6,0,32,32,185.2,8.434454896102219,2.375220056948326,0.9210036955513917,0.2915057915057915,0.7762,0.366729678,0.091787439,96.1495673671199,3.1992759950732554,4.11,3.457132947086623,3.777263218525857,3.1352100372314453,"Logan Gilbert",22250,669302
"Ross Stripling","TOR",10,4,1,32,24,134.1,7.436743009076635,1.3399536953291236,0.8039722171974741,0.26854219948849106,0.7365,0.4375,0.076923076,91.94646937315362,3.014895814490528,3.54,3.1124298095703127,3.670286056973733,3.120292628183961,"Ross Stripling",13273,548389
